"Percentage of employed workers at 15 years of age and above among population by province by Cities, provincies and Year"

"Cities, provincies";"2005";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
" WHOLE COUNTRY";51.9;53.7;54.6;55.5;56.4;57.3;57.9;58.2;58.1;57.6
"Red River Delta";53.9;55.1;54.7;55.2;56.6;56.7;57.0;57.3;56.7;56.1
"Ha Noi";47.1;48.5;51.4;50.9;53.1;52.1;53.1;52.9;52.0;51.9
"Ha Tay";55.4;55.1;..;..;..;..;..;..;..;..
"Vinh Phuc";55.8;58.1;58.3;59.6;59.5;59.0;58.8;59.0;60.0;58.8
"Bac Ninh";52.0;56.2;54.5;56.4;58.1;55.1;56.7;56.7;57.1;56.2
"Quang Ninh";51.8;53.8;53.4;53.6;55.4;57.0;58.0;59.4;57.5;54.7
"Hai Duong";59.8;57.3;56.9;58.9;60.1;61.7;60.4;60.8;58.3;57.0
"Hai Phong";52.7;52.4;52.6;52.6;55.3;55.4;55.2;55.9;55.8;55.5
"Hung Yen";56.6;57.6;57.0;59.3;59.9;60.8;60.4;60.5;59.9;59.1
"Thai Binh";59.0;62.2;59.0;59.8;60.4;62.4;61.4;60.7;61.3;61.4
"Ha Nam";55.2;55.1;58.5;58.0;59.9;58.3;58.6;59.0;58.3;57.8
"Nam Dinh";51.2;57.3;57.6;57.6;57.2;58.3;59.9;61.4;61.8;61.1
"Ninh Binh";57.0;54.6;56.1;57.4;58.7;60.2;59.2;62.2;62.0;61.0
"Northern midlands and mountain areas";55.4;57.8;58.3;60.4;60.9;62.0;62.8;63.7;63.4;63.1
"Ha Giang";57.8;54.0;57.1;59.8;61.8;62.3;60.8;64.5;63.9;63.6
"Cao Bang";54.0;61.4;60.7;62.5;65.0;65.7;66.3;68.5;68.3;68.4
"Bac Kan";55.7;58.6;59.4;63.1;64.5;66.4;67.7;70.6;71.3;70.8
"Tuyen Quang";52.6;56.3;59.4;62.4;59.7;60.9;62.3;63.5;63.5;63.2
"Lao Cai";54.6;53.2;55.9;56.8;56.4;58.9;61.0;61.3;61.8;61.9
"Yen Bai";57.2;55.4;56.4;58.9;60.1;62.5;62.3;64.1;64.0;64.2
"Thai  Nguyen";56.6;58.0;58.0;59.2;59.3;59.9;61.6;61.4;60.3;59.9
"Lang Son";53.0;60.8;58.9;61.9;62.8;64.2;64.9;65.9;66.7;65.9
"Bac Giang";57.5;58.2;60.4;62.3;62.0;62.0;62.7;62.0;62.3;62.5
"Phu Tho";54.0;57.0;57.8;61.8;63.4;63.0;63.4;63.6;61.1;59.2
"Dien Bien";51.3;53.6;53.9;54.5;54.2;58.4;58.6;61.6;63.7;64.2
"Lai Chau";53.4;56.9;58.5;56.7;59.5;57.3;59.8;60.7;60.2;59.9
"Son La";56.9;59.7;56.8;59.0;59.0;60.7;62.4;62.5;62.8;63.2
"Hoa Binh";55.7;62.4;61.3;62.6;63.2;66.6;66.8;67.9;67.1;67.0
"Northern Central area and Central coastal area";49.9;51.4;53.1;54.2;56.3;57.4;57.8;58.9;59.5;58.5
"Thanh Hoa";53.5;53.4;56.2;59.6;62.7;63.7;61.1;63.1;63.1;62.6
"Nghe An";52.6;54.0;54.4;55.3;58.9;59.1;61.2;63.7;63.4;61.0
"Ha Tinh";48.5;48.9;53.5;52.5;53.3;56.5;56.7;55.8;57.0;57.8
"Quang Binh";49.7;49.9;50.6;53.6;55.1;55.8;59.1;58.8;60.0;58.1
"Quang Tri";45.1;50.1;50.0;50.5;51.9;54.0;53.7;55.3;55.5;55.0
"Thua Thien-Hue";43.5;47.0;47.4;48.4;50.7;52.8;54.1;55.4;56.9;53.7
"Da Nang";45.4;46.2;47.6;45.5;47.3;49.8;49.7;51.2;51.9;50.9
"Quang  Nam";51.3;51.0;53.2;56.2;55.7;55.3;56.4;57.3;59.0;58.3
