"Percentage of literate population at 15 years of age and above by province by Cities, provinces and Year"

"Cities, provinces";"2006";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"WHOLE COUNTRY";93.6;94.0;93.7;94.2;94.7;94.8;94.7;94.9
"Red River Delta";96.8;97.5;97.3;97.6;98.0;98.1;98.1;98.2
"Ha Noi";98.3;97.9;97.8;98.0;98.3;98.2;98.6;98.5
"Ha Tay";95.7;..;..;..;..;..;..;..
"Vinh Phuc";96.9;97.3;97.0;97.4;98.1;98.1;97.7;97.8
"Bac Ninh";96.5;97.1;96.5;97.2;97.8;97.6;97.8;97.5
"Quang Ninh";96.3;95.5;96.9;96.9;95.5;95.5;97.2;96.8
"Hai Duong";96.9;97.3;97.4;97.6;98.4;98.7;98.0;98.2
"Hai Phong";96.8;97.9;98.1;98.3;98.3;98.5;98.1;98.2
"Hung Yen";95.9;97.4;95.5;96.5;97.9;98.0;98.0;98.0
"Thai Binh";96.9;97.6;97.3;97.7;98.5;98.5;98.5;98.4
"Ha Nam";96.0;97.1;97.0;97.7;98.4;98.2;98.1;98.2
"Nam Dinh";96.7;97.5;96.6;97.1;98.2;98.6;97.6;98.0
"Ninh Binh";97.1;97.4;96.5;97.0;97.3;97.4;97.3;97.8
"Northern midlands and mountain areas";88.8;88.1;88.3;89.3;89.2;89.5;89.0;89.9
"Ha Giang";71.7;68.3;74.6;81.0;73.3;72.4;73.0;74.9
"Cao Bang";81.9;82.5;84.6;84.9;85.0;86.5;81.5;85.5
"Bac Kan";91.0;90.2;90.7;89.2;91.2;91.8;92.6;93.9
"Tuyen Quang";95.2;93.0;94.2;94.0;93.5;93.2;94.8;94.5
"Lao Cai";81.8;77.4;75.5;78.4;80.4;80.7;78.5;83.3
"Yen Bai";85.7;87.0;84.8;86.3;86.8;88.1;87.6;89.0
"Thai  Nguyen";96.4;97.3;97.3;97.8;97.8;98.1;97.8;98.4
"Lang Son";93.4;93.7;93.6;94.7;96.2;96.6;95.1;96.7
"Bac Giang";96.6;96.7;96.9;97.4;97.7;97.7;97.8;97.7
"Phu Tho";96.3;97.2;97.0;97.1;98.2;98.1;97.6;97.8
"Dien Bien";73.1;68.4;63.4;65.0;70.8;71.4;70.2;75.1
"Lai Chau";60.1;59.4;63.6;61.7;65.8;64.3;66.6;59.2
"Son La";80.4;76.4;77.0;78.3;74.9;75.5;75.8;77.7
"Hoa Binh";94.2;95.4;95.9;97.0;96.4;97.5;96.7;96.8
"Northern Central area and Central coastal area";94.3;94.5;93.3;93.9;94.5;94.7;95.2;95.2
"Thanh Hoa";95.5;95.4;94.5;95.3;95.4;95.6;95.8;96.0
"Nghe An";94.7;95.8;95.4;95.5;95.7;95.8;97.2;97.0
"Ha Tinh";97.0;97.3;97.4;97.4;98.4;98.3;97.5;97.6
"Quang Binh";95.4;96.2;96.6;97.0;96.7;96.5;97.6;97.1
"Quang Tri";91.3;91.6;91.0;92.0;92.5;92.8;92.7;92.2
"Thua Thien-Hue";91.7;91.3;91.0;92.1;93.5;92.9;92.5;92.6
"Da Nang";96.9;97.6;97.4;97.7;97.7;98.1;97.8;97.5
"Quang  Nam";93.9;94.6;92.1;93.7;95.1;94.9;94.5;94.8
"Quang  Ngai";90.2;92.1;86.7;86.1;86.0;88.9;92.6;93.7
"Binh Dinh";95.1;95.8;92.7;93.8;95.7;95.8;95.7;96.1
"Phu Yen";95.1;94.1;94.9;94.1;95.2;95.2;93.5;93.2
"Khanh  Hoa";94.5;94.4;92.6;94.2;94.2;93.0;95.6;94.8
"Ninh  Thuan";86.2;85.7;78.9;80.5;86.1;85.0;87.5;87.5
"Binh Thuan";93.8;92.0;92.8;93.9;93.3;93.9;93.0;93.3
"Central Highlands";88.2;88.8;89.9;90.8;92.1;91.2;90.3;90.4
"Kon Tum";82.5;85.5;84.3;88.2;87.6;88.2;86.8;87.9
"Gia Lai";83.1;81.8;82.5;83.9;87.9;83.9;85.6;84.0
"Dak Lak";89.2;90.8;92.6;93.2;94.6;94.2;91.4;92.9
"Dak Nong";91.3;91.2;94.6;93.9;94.2;94.0;92.3;93.7
"Lam Dong";92.6;93.0;93.5;94.1;93.6;94.3;94.0;92.6
"South East";96.1;96.7;96.3;96.7;97.0;97.1;97.2;97.3
"Binh Phuoc";94.3;91.8;94.1;94.9;92.8;93.3;92.7;93.4
"Tay Ninh";92.1;92.9;92.1;92.7;91.8;93.4;93.1;93.4
"Binh  Duong";96.5;97.2;95.3;96.2;97.1;97.2;97.2;97.3
"Dong Nai";96.1;96.5;96.8;97.1;97.0;97.2;97.3;97.1
"Ba Ria - Vung Tau";95.6;96.0;96.2;96.4;96.0;96.2;96.2;96.8
"Ho Chi Minh city";96.9;97.9;97.2;97.5;98.2;98.1;98.4;98.3
"Mekong River Delta";91.8;92.0;92.2;92.3;93.1;93.4;92.6;92.9
"Long An";94.7;95.1;94.9;95.2;95.0;95.2;95.6;95.2
"Tien Giang";93.7;94.3;95.0;95.2;95.7;95.2;94.5;94.9
"Ben Tre";95.0;94.1;95.3;94.0;95.1;96.1;95.1;94.6
