"Percentage of trained employed workers at 15 years of age and above by kinds of economic activity (*) by Economic activity and Year"

"Economic activity";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"TOTAL";14.8;14.6;15.4;16.6;17.9;18.2;19.9
"Agriculture, forestry and fishing";3.9;2.4;2.7;3.0;3.5;3.6;4.2
"Mining and quarrying";41.7;33.3;35.0;42.5;42.3;52.5;42.1
"Manufacturing";14.9;13.4;14.8;16.8;18.3;17.9;17.7
"Electricity, gas, stream and air conditioning supply";53.0;67.2;69.5;77.8;76.2;73.1;75.3
"Water supply, sewerage, waste management and remediation activities";37.4;29.4;33.5;33.2;36.3;40.2;44.7
"Construction";12.4;12.6;11.7;12.6;14.1;13.9;14.9
"Wholesale and retail trade; repair of motor vehicles and motorcycles";13.3;13.7;14.3;14.9;16.6;17.5;21.1
"Transportation and storage";41.2;33.6;36.2;43.5;46.4;44.5;55.5
"Accommodation and food service activities";8.4;8.1;9.0;9.3;10.2;11.7;13.7
"Information and communication";61.8;69.8;71.8;72.7;78.5;77.7;75.2
"Financial, banking and insurance activities";67.3;79.3;78.8;78.8;80.2;80.7;82.9
"Real estate activities";29.3;38.8;33.2;30.8;33.8;32.5;41.9
"Professional, scientific and technical activities";63.4;65.2;73.0;75.9;73.8;76.9;75.9
"Administrative and support service activities";30.2;31.6;35.6;35.3;39.4;36.4;42.1
"Activities of Communist Party, socio-political organizations; public administration and defence; compulsory security";63.0;71.8;71.9;74.0;76.6;76.9;80.0
"Education and training";78.0;90.8;90.3;91.2;91.1;90.8;91.5
"Human health and social work activities";76.4;86.8;86.9;86.2;85.5;88.8;89.1
"Arts, entertainment and recreation";14.0;16.6;16.4;19.5;19.0;22.7;22.5
"Other service activities";16.2;13.5;15.2;17.0;23.9;21.5;19.0
"Activities of households as employers; undifferentiated goods and services producing activities of households for own use";4.2;3.8;2.9;3.6;2.9;2.5;2.7
"Activities of extraterritorial organizations and bodies";85.4;97.2;82.0;81.9;84.7;90.0;88.8
