"Population growth rate by province by Cities, provincies and Year"

"Cities, provincies";"2005";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
" WHOLE COUNTRY";1.17;1.09;1.07;1.06;1.07;1.05;1.08;1.07;1.08;1.08
"Red River Delta";0.90;0.63;1.28;0.74;1.19;1.08;1.04;1.02;1.09;1.06
"Ha Noi";2.02;1.37;..;1.41;2.50;1.93;1.54;1.63;1.70;1.69
"Ha Tay";2.03;1.14;..;..;..;..;..;..;..;..
"Vinh Phuc";1.03;0.69;..;0.66;0.72;0.38;1.09;0.68;1.22;1.21
"Bac Ninh";0.80;0.95;0.87;0.82;1.73;1.84;2.10;2.06;2.08;2.07
"Quang Ninh";1.33;1.19;1.12;0.97;0.97;0.93;0.83;0.82;1.01;0.99
"Hai Duong";0.30;0.30;0.36;0.35;0.56;0.78;0.69;0.58;0.65;0.64
"Hai Phong";0.89;0.98;0.98;0.89;0.94;1.19;1.29;1.11;1.08;0.89
"Hung Yen";0.60;0.43;0.44;0.21;0.33;0.54;0.50;0.66;0.56;0.55
"Thai Binh";-0.04;-0.19;-0.07;0.02;0.09;0.07;0.08;0.04;0.03;0.02
"Ha Nam";-0.07;-0.21;-0.18;-0.10;0.02;0.07;0.68;0.48;0.43;0.42
"Nam Dinh";-0.45;-0.53;-0.19;0.12;0.09;0.19;0.09;0.26;0.31;0.27
"Ninh Binh";0.14;0.16;0.23;0.16;0.24;0.66;1.26;0.87;0.93;0.92
"Northern midlands and mountain areas";1.10;0.92;-0.06;0.69;1.00;1.04;1.03;1.04;1.14;1.17
"Ha Giang";1.90;1.66;1.60;1.24;1.20;1.75;2.01;1.86;1.68;1.67
"Cao Bang";0.43;0.35;0.38;0.13;0.37;0.18;0.23;0.53;0.43;0.42
"Bac Kan";0.65;0.62;0.63;0.35;0.96;0.99;0.86;0.70;0.69;1.89
"Tuyen Quang";0.66;0.52;0.56;0.24;0.57;0.76;0.80;0.87;0.88;0.87
