"Productivity of employed population by industry(*) by Industry and Year"

"Industry";"2005";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"TOTAL";21.4;25.3;32.0;37.9;44.0;55.2;63.1;68.7;74.7;79.4
"Agriculture, forestry and fishing";7.5;9.7;13.6;14.1;16.3;22.3;25.6;26.4;28.6;30.6
"Mining and quarrying";346.6;373.8;503.1;567.1;742.2;982.8;1298.6;1474.3;1683.3;1695.6
"Manufacturing";34.2;42.7;50.1;51.3;42.0;53.2;60.7;65.8;70.0;71.0
"Electricity, gas, stream and air conditioning supply";220.0;312.2;337.7;468.6;504.8;580.4;751.3;862.2;1024.7;1146.6
"Water supply, sewerage, waste management and remediation activities";37.3;85.3;125.5;84.7;94.6;128.4;141.8;164.4;179.0;179.9
"Construction";26.9;33.6;38.8;42.5;42.7;48.5;53.4;55.6;60.7;66.5
"Wholesale and retail trade; repair of motor vehicles and motorcycles";24.3;31.2;40.9;46.7;31.1;40.3;47.4;51.7;58.3;63.4
"Transportation and storage";21.7;29.1;35.4;38.8;43.8;55.9;62.2;67.0;73.2;71.9
"Accommodation and food service activities";35.6;41.0;43.6;42.8;45.5;51.1;55.3;60.7;64.2;63.7
"Information and communication";66.0;76.3;85.9;84.9;77.3;78.4;80.3;82.8;84.9;87.0
"Financial, banking and insurance activities";257.3;84.0;103.3;435.6;457.8;493.0;547.7;581.9;588.2;631.1
"Real estate activities";3232.2;541.0;699.8;1769.2;1300.0;1370.6;1204.8;1263.6;1278.6;1284.7
"Professional, scientific and technical activities";82.0;107.2;117.6;111.2;128.8;160.4;166.5;190.2;204.2;220.7
"Administrative and support service activities";32.3;34.7;40.8;41.6;42.5;50.8;51.3;55.0;56.3;56.6
"Activities of Communist Party, socio-political organizations; public administration and defence; compulsory security";13.7;18.8;25.0;29.5;35.2;45.5;51.9;57.9;62.5;66.9
"Education and training";21.4;23.0;25.6;27.0;30.0;38.3;47.6;58.0;64.9;72.1
"Human health and social work activities";35.0;41.5;51.8;58.3;53.4;55.2;69.2;119.5;134.4;133.8
"Arts, entertainment and recreation";76.9;70.2;61.6;61.9;62.8;67.3;73.0;78.1;80.7;84.6
"Other service activities";17.9;25.6;37.0;51.1;50.0;59.0;68.5;76.9;85.6;90.0
"Activities of households as employers; undifferentiated goods and services producing activities of households for own use";7.5;11.0;15.6;15.8;15.0;20.5;25.4;28.7;32.9;35.9
