"Sex ratio of population by province by Cities, provincies and Year"

"Cities, provincies";"2005";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
" WHOLE COUNTRY";96.8;96.9;97.2;97.8;97.8;97.8;97.8;97.7;97.4;97.3
"Red River Delta";96.3;96.3;96.1;96.8;96.7;97.5;96.6;97.1;96.2;96.5
"Ha Noi";100.2;100.5;95.9;96.6;95.9;97.8;95.4;96.4;95.0;95.6
"Ha Tay";94.2;93.0;..;..;..;..;..;..;..;..
"Vinh Phuc";98.1;98.1;98.1;97.6;97.6;97.6;97.6;97.6;96.8;96.8
"Bac Ninh";94.6;94.9;95.8;96.4;96.9;96.7;96.8;96.6;96.7;96.8
"Quang Ninh";103.7;102.6;103.7;104.3;104.8;105.4;103.4;106.0;100.5;100.5
"Hai Duong";95.1;95.5;95.6;95.8;96.1;96.1;96.1;95.7;95.8;95.9
"Hai Phong";97.7;97.7;98.1;98.4;98.4;98.5;98.6;98.7;98.7;98.8
"Hung Yen";94.2;93.6;93.5;96.0;96.6;97.1;97.5;97.6;97.3;97.0
"Thai Binh";92.3;92.5;93.1;93.3;93.4;94.6;93.8;93.7;93.7;93.6
"Ha Nam";93.7;94.1;94.5;95.4;95.4;95.5;96.1;96.8;97.3;97.7
"Nam Dinh";94.9;95.3;94.5;95.8;95.8;95.8;95.8;96.0;96.1;96.2
"Ninh Binh";95.4;96.9;97.9;98.7;98.9;99.1;99.3;99.1;96.2;99.5
"Northern midlands and mountain areas";98.6;98.8;98.6;99.3;100.6;99.4;99.3;99.0;99.3;99.1
"Ha Giang";98.1;98.1;98.1;100.3;99.9;99.8;99.9;100.6;100.4;101.2
"Cao Bang";96.1;96.4;96.4;98.5;98.4;98.3;98.1;98.0;98.0;98.0
"Bac Kan";99.9;100.3;101.2;101.6;102.1;102.6;102.4;103.1;101.0;98.9
"Tuyen Quang";97.8;98.1;97.7;100.4;100.3;100.5;100.1;99.7;98.7;97.8
"Lao Cai";99.1;100.0;100.8;101.3;101.4;101.3;101.3;101.0;102.4;102.2
"Yen Bai";99.1;98.9;99.4;99.9;100.0;99.7;99.3;99.4;99.5;99.5
"Thai  Nguyen";100.1;99.9;99.4;97.8;108.6;97.2;97.2;97.2;97.2;96.6
"Lang Son";98.5;98.9;99.2;99.1;99.3;99.6;99.8;99.6;100.0;100.3
"Bac Giang";97.8;97.8;98.6;98.3;99.3;98.5;98.4;96.6;98.7;98.7
"Phu Tho";96.8;96.7;97.1;96.7;97.6;97.3;97.3;97.3;97.3;97.3
"Dien Bien";100.6;100.7;100.7;100.1;100.1;100.1;100.2;100.3;100.2;100.0
"Lai Chau";101.3;101.1;102.8;104.6;104.9;104.7;104.9;103.0;101.1;99.2
"Son La";100.8;101.1;98.5;101.1;101.0;101.0;101.0;101.2;101.5;101.3
"Hoa Binh";98.2;98.9;95.2;98.5;98.4;98.3;98.2;97.7;98.5;98.5
"Northern Central area and Central coastal area";96.6;96.7;97.3;97.8;97.8;97.9;97.9;97.8;97.9;98.1
"Thanh Hoa";95.9;96.2;98.1;97.7;97.7;97.7;97.6;97.2;97.9;98.6
"Nghe An";96.5;96.2;97.6;98.6;98.5;98.5;98.4;98.0;98.7;99.3
"Ha Tinh";97.6;98.6;92.3;97.8;97.8;97.8;97.7;97.0;96.5;96.5
"Quang Binh";98.8;99.3;99.9;100.4;100.1;100.1;100.1;100.2;100.2;100.2
"Quang Tri";97.9;97.8;98.4;97.4;97.7;97.9;98.1;97.3;97.1;96.7
"Thua Thien-Hue";96.2;96.5;96.9;97.7;98.1;98.0;97.8;97.6;98.1;98.5
"Da Nang";96.6;93.7;96.7;97.3;94.8;95.7;97.3;97.3;96.6;96.6
"Quang  Nam";93.8;93.9;94.5;95.0;95.3;95.6;95.7;95.7;95.7;95.7
"Quang  Ngai";95.8;96.3;96.8;97.2;97.3;97.3;97.3;97.4;97.1;96.8
"Binh Dinh";95.0;95.2;95.4;95.1;95.1;95.1;95.1;95.1;95.5;95.5
"Phu Yen";98.2;98.5;99.4;100.2;100.2;100.2;100.2;100.2;100.1;100.1
"Khanh  Hoa";98.3;98.6;98.5;97.5;97.8;98.0;97.7;97.9;97.6;97.2
"Ninh  Thuan";97.4;97.9;98.6;99.4;100.1;100.9;101.6;101.9;101.8;101.8
"Binh Thuan";99.2;99.5;100.8;100.3;100.6;100.9;101.1;100.9;100.2;100.2
"Central Highlands";101.9;101.4;100.6;102.1;102.7;103.4;104.2;103.8;101.7;100.4
"Kon Tum";100.5;100.9;99.3;102.6;106.1;109.7;113.5;113.8;113.9;114.0
"Gia Lai";98.8;103.6;99.7;100.8;102.0;103.1;104.3;105.5;99.3;93.6
"Dak Lak";104.9;101.8;102.0;102.0;101.9;101.9;101.8;101.3;101.3;101.3
"Dak Nong";105.3;98.4;100.0;108.2;110.1;112.2;114.1;109.3;102.3;102.3
"Lam Dong";100.1;100.1;100.5;100.9;100.5;100.1;100.1;99.6;100.3;101.0
"South East";95.4;95.7;95.7;95.1;94.5;94.0;94.9;94.8;94.1;94.0
"Binh Phuoc";103.2;103.8;103.3;103.2;101.9;101.9;101.9;101.9;99.1;96.5
"Tay Ninh";96.2;96.8;98.0;99.0;98.6;98.2;97.7;96.9;97.9;99.0
"Binh  Duong";90.5;91.9;92.8;92.7;92.4;92.7;93.1;93.3;93.3;93.3
"Dong Nai";98.1;98.4;98.8;98.1;97.5;96.8;96.2;95.6;95.0;94.5
"Ba Ria - Vung Tau";100.3;100.4;100.5;99.9;99.9;99.9;99.8;99.4;99.7;99.9
"Ho Chi Minh city";93.6;93.7;93.4;92.4;91.7;91.1;93.1;93.2;92.2;92.3
"Mekong River Delta";96.0;96.3;97.7;98.8;98.8;98.8;98.7;98.4;98.6;98.4
"Long An";96.4;98.8;98.7;98.7;98.7;98.7;98.7;98.7;98.7;98.7
"Tien Giang";94.0;94.3;95.5;96.3;96.9;97.2;96.2;96.3;96.3;96.3
"Ben Tre";94.2;94.7;95.6;96.3;96.3;96.3;96.1;96.0;96.2;96.4
"Tra Vinh";98.7;98.1;97.9;97.1;97.1;97.1;97.0;96.6;96.3;95.9
"Vinh Long";94.6;94.6;95.9;96.9;97.0;97.1;97.2;96.8;97.0;97.1
"Dong Thap";95.0;95.3;99.6;99.4;99.3;99.3;99.2;98.8;99.8;99.2
