"Total fertility rate by province by Cities, provincies and Year"

"Cities, provincies";"2005";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
" WHOLE COUNTRY";2.11;2.07;2.08;2.03;2.00;1.99;2.05;2.10;2.09;2.10
"Red River Delta";2.06;2.11;2.13;2.11;2.04;2.06;2.11;2.11;2.30;2.23
"Ha Noi";1.83;1.91;2.06;2.08;2.00;2.02;2.06;2.03;2.18;2.04
"Ha Tay";2.29;2.23;..;..;..;..;..;..;..;..
"Vinh Phuc";2.15;2.00;2.10;2.13;2.06;2.02;2.07;2.11;2.44;2.25
"Bac Ninh";2.40;2.28;2.29;2.32;2.26;2.23;2.71;2.29;2.72;2.72
"Quang Ninh";2.24;2.12;2.12;2.20;1.99;2.07;2.27;2.18;2.49;2.20
"Hai Duong";2.10;2.04;2.13;1.99;1.98;2.01;2.07;1.99;2.06;2.00
"Hai Phong";2.13;1.86;1.95;2.16;1.98;2.00;2.37;2.03;2.35;2.02
"Hung Yen";2.32;2.08;2.25;2.11;2.13;2.19;2.10;2.46;2.29;2.40
"Thai Binh";2.19;2.21;2.14;2.08;2.10;2.15;1.78;2.07;1.87;2.39
"Ha Nam";2.30;2.18;2.12;2.07;2.09;2.16;1.83;1.87;1.99;2.22
"Nam Dinh";2.31;2.39;2.19;2.25;2.20;2.24;1.76;2.32;2.73;2.81
"Ninh Binh";2.37;2.26;2.36;2.04;1.88;1.86;2.66;2.28;2.87;2.76
"Northern midlands and mountain areas";2.33;2.23;2.30;2.24;2.22;2.21;2.31;2.18;2.56;2.69
"Ha Giang";3.06;2.89;2.86;3.08;3.05;2.57;2.78;2.70;2.51;2.93
"Cao Bang";2.55;2.28;2.26;2.18;2.09;2.15;2.13;2.05;2.53;2.52
"Bac Kan";2.29;2.12;2.07;1.84;1.85;1.91;2.30;2.11;2.07;2.42
"Tuyen Quang";2.17;2.05;2.05;2.10;2.07;2.10;2.18;2.35;2.73;2.74
"Lao Cai";2.97;2.59;2.69;2.70;2.73;2.57;2.43;2.52;2.36;2.26
"Yen Bai";2.55;2.36;2.56;2.38;2.32;2.26;2.38;2.13;2.77;2.76
"Thai  Nguyen";1.99;1.99;1.95;1.89;1.90;1.96;2.13;2.06;2.45;2.52
"Lang Son";2.28;2.14;2.15;1.86;1.84;1.88;2.11;1.86;2.26;2.38
"Bac Giang";2.21;2.07;2.22;1.94;1.86;1.94;2.09;1.77;2.57;2.77
"Phu Tho";2.03;1.99;2.11;2.10;2.08;2.22;2.18;2.22;2.51;2.61
"Dien Bien";3.17;2.72;2.72;2.55;2.57;2.67;2.76;2.48;3.11;2.81
"Lai Chau";3.52;3.02;3.01;2.96;2.91;2.93;2.60;2.45;3.20;3.11
"Son La";2.76;2.36;2.29;2.61;2.58;2.43;2.52;2.25;2.57;2.82
"Hoa Binh";2.09;2.06;2.01;1.98;1.98;2.03;2.08;1.90;2.30;2.84
"Northern Central area and Central coastal area";2.37;2.27;2.30;2.21;2.21;2.21;2.32;2.37;2.31;2.34
"Thanh Hoa";2.39;2.12;2.17;1.89;1.89;2.01;2.22;2.11;2.43;2.75
"Nghe An";2.75;2.49;2.52;2.55;2.56;2.49;2.59;2.68;2.70;2.69
"Ha Tinh";2.38;2.46;2.65;2.46;2.46;2.50;2.75;2.95;3.12;2.65
"Quang Binh";2.58;2.57;2.57;2.37;2.39;2.41;2.61;2.22;2.49;2.52
"Quang Tri";2.90;2.77;2.71;2.85;2.84;2.67;2.65;2.75;2.75;2.94
"Thua Thien-Hue";2.98;2.79;2.54;2.26;2.28;2.22;2.38;2.21;2.33;2.26
"Da Nang";1.87;1.90;1.92;2.14;2.16;1.99;2.18;2.32;2.03;2.13
"Quang  Nam";2.40;2.32;2.12;2.30;2.27;2.16;2.35;2.65;2.27;2.17
"Quang  Ngai";2.21;2.11;2.18;2.09;2.11;2.21;2.13;2.45;2.01;1.93
"Binh Dinh";2.25;2.17;2.09;2.22;2.17;2.28;2.26;2.55;2.29;2.14
"Phu Yen";2.25;2.18;2.32;1.96;1.98;2.11;2.07;2.04;2.15;2.05
"Khanh  Hoa";2.12;2.14;2.18;2.04;2.06;1.93;2.04;2.04;1.65;1.75
"Ninh  Thuan";2.53;2.28;2.24;2.40;2.42;2.38;2.25;2.37;2.18;2.23
"Binh Thuan";2.38;2.40;2.38;2.07;2.09;2.14;2.39;2.15;1.57;2.04
"Central Highlands";3.07;2.77;2.68;2.65;2.63;2.58;2.43;2.49;2.30;2.26
"Kon Tum";3.94;3.49;3.58;3.45;3.46;3.25;3.16;2.70;3.04;2.49
"Gia Lai";3.10;2.97;2.86;2.88;2.90;2.85;2.36;2.48;2.27;2.45
"Dak Lak";2.98;2.84;2.57;2.45;2.47;2.42;2.31;2.70;2.25;2.22
"Dak Nong";3.38;3.05;2.87;2.72;2.68;2.57;2.65;2.31;2.46;2.36
"Lam Dong";2.67;2.37;2.31;2.43;2.28;2.32;2.36;2.24;2.09;1.98
"South East";1.85;1.74;1.73;1.69;1.68;1.59;1.57;1.83;1.56;1.63
"Binh Phuoc";2.61;2.47;2.38;2.45;2.43;2.31;2.22;2.43;2.30;2.05
"Tay Ninh";1.98;1.89;1.79;1.79;1.77;1.80;1.93;1.78;1.76;1.88
"Binh  Duong";1.66;1.74;1.85;1.70;1.72;1.76;1.70;1.78;1.44;1.59
"Dong Nai";1.92;1.91;1.83;2.07;2.09;1.99;1.80;2.09;1.75;2.02
"Ba Ria - Vung Tau";2.06;2.09;2.13;2.01;1.88;1.82;1.70;1.92;1.97;1.56
"Ho Chi Minh city";1.52;1.49;1.63;1.45;1.45;1.30;1.33;1.68;1.39;1.45
"Mekong River Delta";2.00;1.87;1.87;1.84;1.80;1.80;1.92;1.92;1.84;1.76
"Long An";1.95;1.91;1.95;1.85;1.87;1.83;2.02;2.03;1.66;1.61
"Tien Giang";2.02;1.98;1.97;1.94;1.93;1.92;1.79;1.78;1.75;1.62
"Ben Tre";1.76;1.70;1.71;1.81;1.79;1.71;2.20;1.98;1.89;1.97
"Tra Vinh";2.03;1.89;1.79;1.86;1.80;1.80;2.06;1.89;1.94;2.04
"Vinh Long";1.83;1.76;1.75;1.63;1.65;1.63;2.14;2.02;1.98;1.61
"Dong Thap";1.98;1.77;1.74;1.87;1.89;1.83;1.57;1.89;1.84;1.61
"An Giang";2.00;1.86;1.86;1.97;1.97;1.92;2.17;2.07;2.10;1.73
"Kien  Giang";2.22;2.10;2.09;1.84;1.80;1.86;2.16;1.98;1.96;2.05
"Can Tho";1.70;1.64;1.75;1.72;1.62;1.62;1.58;1.81;1.89;1.88
"Hau Giang";1.95;1.94;1.89;1.96;1.75;1.77;1.78;1.78;1.61;1.64
"Soc Trang";2.02;1.90;2.06;1.79;1.81;1.83;1.85;2.08;1.65;1.72
"Bac Lieu";2.11;2.10;2.00;1.75;1.59;1.69;1.97;1.82;1.82;1.67
"Ca Mau";2.10;2.00;2.01;1.75;1.64;1.73;1.62;1.70;1.65;1.80
