"Under five mortality rate by province by Cities, provincies and Year"

"Cities, provincies";"2010";"2012";"2013";"2014";"Prel. 2015"
" WHOLE COUNTRY";23.8;23.2;23.1;22.4;22.1
"Red River Delta";18.4;18.4;18.3;17.7;17.5
"Ha Noi";15.5;15.7;15.8;15.2;15.2
"Vinh Phuc";18.9;20.6;20.3;19.7;19.3
"Bac Ninh";19.3;20.6;20.2;19.6;19.2
"Quang Ninh";23.8;24.0;23.8;23.0;22.7
"Hai Duong";18.3;18.5;18.5;17.8;17.5
"Hai Phong";17.2;19.1;18.9;18.3;18.0
"Hung Yen";19.3;19.5;19.3;18.6;18.3
"Thai Binh";17.2;16.4;16.1;15.6;15.3
"Ha Nam";23.6;18.9;18.9;18.3;18.0
"Nam Dinh";19.8;20.1;19.8;19.1;18.8
"Ninh Binh";23.1;22.7;22.6;21.9;21.5
"Northern midlands and mountain areas";36.9;35.7;35.2;33.9;33.4
"Ha Giang";57.6;55.4;54.6;52.7;51.8
"Cao Bang";43.1;38.4;38.2;36.9;36.3
"Bac Kan";29.4;28.2;27.9;27.0;26.5
"Tuyen Quang";28.7;28.6;28.4;27.5;28.0
"Lao Cai";48.6;46.5;46.4;44.8;44.0
"Yen Bai";40.4;45.3;45.1;43.3;41.1
"Thai  Nguyen";21.0;23.1;23.1;22.5;22.1
"Lang Son";25.1;29.5;29.0;28.1;27.6
"Bac Giang";25.1;24.1;23.8;23.0;23.0
"Phu Tho";27.4;23.7;23.8;23.0;22.6
"Dien Bien";58.0;55.3;54.9;53.0;52.1
"Lai Chau";73.3;69.9;69.6;67.1;65.9
"Son La";39.0;37.3;36.5;35.3;34.7
"Hoa Binh";29.3;26.6;26.6;25.7;26.2
"Northern Central area and Central coastal area";25.7;25.8;25.5;24.9;24.5
"Thanh Hoa";22.5;24.4;24.1;23.3;23.3
"Nghe An";25.3;26.1;26.2;25.3;25.3
"Ha Tinh";26.3;27.3;27.1;26.2;25.8
"Quang Binh";27.3;27.0;26.9;26.0;25.5
"Quang Tri";55.8;52.2;51.7;49.9;49.0
"Thua Thien-Hue";29.1;31.7;31.8;30.7;30.2
"Da Nang";15.1;14.2;13.9;13.4;13.2
"Quang  Nam";29.4;26.1;26.3;25.5;25.0
"Quang  Ngai";27.1;28.5;28.3;27.4;26.9
"Binh Dinh";22.8;24.1;23.9;23.1;22.7
"Phu Yen";29.0;24.1;24.0;23.2;22.8
"Khanh  Hoa";22.5;22.1;22.1;21.4;21.0
"Ninh  Thuan";28.3;26.1;25.9;25.0;24.6
"Binh Thuan";21.0;20.0;19.8;19.1;18.8
"Central Highlands";40.9;40.2;39.8;39.5;37.7
"Kon Tum";59.4;62.6;62.7;60.4;59.3
"Gia Lai";39.1;47.2;47.0;44.2;40.0
"Dak Lak";33.3;37.4;37.6;36.8;36.4
"Dak Nong";40.6;43.6;43.5;41.3;39.1
"Lam Dong";21.8;24.8;24.8;25.0;24.6
"South East";14.3;13.7;13.5;13.1;12.9
"Binh Phuoc";24.4;22.3;22.2;21.4;21.1
"Tay Ninh";19.5;18.8;18.5;17.9;17.6
"Binh  Duong";13.5;14.1;14.1;13.6;13.4
"Dong Nai";13.5;12.2;12.1;11.7;11.6
"Ba Ria - Vung Tau";13.3;13.1;12.9;12.5;12.3
"Ho Chi Minh city";11.6;12.2;12.3;12.5;12.3
"Mekong River Delta";18.9;18.0;17.9;17.4;17.0
"Long An";14.6;14.9;15.0;14.5;14.3
"Tien Giang";15.8;14.1;14.3;13.9;13.6
"Ben Tre";17.2;15.3;15.4;14.9;14.6
"Tra Vinh";22.5;19.3;19.4;18.7;18.4
"Vinh Long";17.2;16.3;15.9;15.4;15.1
"Dong Thap";21.0;18.7;18.7;18.1;17.8
"An Giang";23.8;22.9;22.7;21.9;21.6
"Kien  Giang";20.4;19.4;19.5;18.8;18.8
"Can Tho";13.5;14.8;14.6;14.1;13.9
"Hau Giang";15.8;15.8;15.8;15.3;15.0
"Soc Trang";22.5;20.8;20.7;20.0;19.6
"Bac Lieu";19.2;19.4;19.1;18.5;18.1
"Ca Mau";21.0;17.8;17.8;17.2;16.9
