"Unemployment and underemployment rate of labour force at working age by region and by residence by Year, Region, Items and Residence"

"Year";"Region";"Unemployment rate General";"Unemployment rate Urban";"Unemployment rate Rural";"Underemployment rate General";"Underemployment rate Urban";"Underemployment rate Rural"
"2015";"Whole country";2.33;3.37;1.82;1.89;0.84;2.39
"2015";"Red River Delta";2.42;3.42;1.94;1.60;0.76;1.99
"2015";"Northern midlands and mountain areas";1.10;3.11;0.72;1.53;0.96;1.64
"2015";"North Central area and Central coastal area";2.71;4.51;2.05;2.60;1.36;3.05
"2015";"Central Highlands";1.03;2.27;0.57;1.72;0.91;2.02
"2015";"South  East";2.74;3.05;2.17;0.50;0.32;0.82
"2015";"Mekong River Delta";2.77;3.22;2.63;3.05;1.56;3.52
"2014";"Whole country";2.10;3.40;1.49;2.35;1.20;2.90
"2014";"Red River Delta";2.82;4.86;1.87;2.44;0.99;3.12
"2014";"Northern midlands and mountain areas";0.76;2.35;0.46;1.45;1.03;1.52
"2014";"North Central area and Central coastal area";2.23;3.71;1.70;2.58;1.86;2.84
"2014";"Central Highlands";1.22;1.94;0.93;2.49;1.89;2.73
"2014";"South  East";2.47;3.00;1.60;0.61;0.30;1.11
"2014";"Mekong River Delta";2.06;2.79;1.83;4.20;2.32;4.80
"2013";"Whole country";2.18;3.59;1.54;2.75;1.48;3.31
"2013";"Red River Delta";2.65;5.13;1.60;2.66;1.33;3.20
"2013";"Northern midlands and mountain areas";0.81;2.26;0.54;1.67;1.23;1.75
"2013";"North Central area and Central coastal area";2.15;3.81;1.58;2.90;2.39;3.07
"2013";"Central Highlands";1.51;2.07;1.30;2.42;2.09;2.54
"2013";"South  East";2.70;3.34;1.69;0.92;0.43;1.68
"2013";"Mekong River Delta";2.42;2.96;2.24;5.20;2.80;6.00
"2012";"Whole country";1.96;3.21;1.39;2.74;1.56;3.27
"2012";"Red River Delta";1.91;3.49;1.25;2.51;1.09;3.09
"2012";"Northern midlands and mountain areas";0.75;2.25;0.46;1.96;1.30;2.09
"2012";"North Central area and Central coastal area";2.21;3.91;1.60;3.23;2.45;3.51
"2012";"Central Highlands";1.47;1.89;1.30;2.82;2.66;2.89
"2012";"South  East";2.64;3.24;1.73;0.94;0.57;1.51
"2012";"Mekong River Delta";2.17;2.87;1.94;4.57;3.02;5.07
"2011";"Whole country";2.22;3.60;1.60;2.96;1.58;3.56
"2011";"Red River Delta";1.99;3.41;1.41;3.19;1.46;3.90
"2011";"Northern midlands and mountain areas";0.87;2.62;0.54;1.87;1.42;1.95
"2011";"North Central area and Central coastal area";2.28;3.96;1.71;3.40;2.71;3.63
"2011";"Central Highlands";1.31;1.95;1.06;3.10;2.25;3.44
"2011";"South  East";3.20;4.13;1.81;0.81;0.40;1.41
"2011";"Mekong River Delta";2.77;3.37;2.59;4.79;2.83;5.39
"2010";"Whole country";2.88;4.29;2.30;3.57;1.82;4.26
"2010";"Red River Delta";2.61;3.73;2.18;3.50;1.58;4.23
"2010";"Northern midlands and mountain areas";1.21;3.42;0.82;2.15;1.97;2.18
"2010";"North Central area and Central coastal area";2.94;5.01;2.29;4.47;2.88;4.95
"2010";"Central Highlands";2.15;3.37;1.66;3.70;3.37;3.83
"2010";"South  East";3.91;4.72;2.90;1.22;0.60;1.99
"2010";"Mekong River Delta";3.59;4.08;3.45;5.57;2.84;6.35
"2009";"Whole country";2.90;4.60;2.25;5.61;3.33;6.51
"2009";"Red River Delta";2.69;4.59;2.01;5.46;2.49;6.57
"2009";"Northern midlands and mountain areas";1.38;3.90;0.95;3.39;2.79;3.50
"2009";"North Central area and Central coastal area";3.11;5.54;2.40;5.47;5.44;5.47
"2009";"Central Highlands";2.00;3.05;1.61;5.73;4.99;6.00
"2009";"South  East";3.99;4.54;3.37;3.31;1.50;5.52
"2009";"Mekong River Delta";3.31;4.54;2.97;9.33;5.46;10.49
"2008";"Whole country";2.38;4.65;1.53;5.10;2.34;6.10
"2008";"Red River Delta";2.29;5.35;1.29;6.85;2.13;8.23
"2008";"Northern midlands and mountain areas";1.13;4.17;0.61;2.55;2.47;2.56
"2008";"North Central area and Central coastal area";2.24;4.77;1.53;5.71;3.38;6.34
"2008";"Central Highlands";1.42;2.51;1.00;5.12;3.72;5.65
"2008";"South  East";3.74;4.89;2.05;2.13;1.03;3.69
"2008";"Mekong River Delta";2.71;4.12;2.35;6.39;3.59;7.11
