"Annual average consumer price index, gold, USD price index and core inflation (Previous year = 100) by Commondity group and Year"

"Commondity group";"2000";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
" Consumer price index";98.38;103.18;107.71;108.29;107.48;108.30;122.97;106.88;109.19;118.58;109.21;106.60;104.09;100.63
"Food and foodstuffs";96.13;102.52;112.44;111.32;108.70;111.16;136.57;108.71;110.71;126.49;108.12;102.68;104.00;101.48
"     Food";90.52;100.59;112.89;109.48;108.91;115.02;149.16;104.57;112.95;122.80;103.26;97.86;103.80;98.94
"     Foodstuffs";97.68;103.34;113.09;112.13;108.48;110.07;132.36;108.39;110.21;129.34;108.14;103.11;104.16;102.03
"Beverage  and  cigarette";100.54;104.21;103.97;104.07;104.97;106.02;110.75;109.56;108.22;111.70;106.58;104.20;103.73;102.15
"Garment, footwear, hat";100.45;102.38;103.85;104.20;105.88;106.15;110.33;108.87;106.92;112.10;109.98;107.88;104.33;103.29
"Housing & material construction";104.50;108.01;106.43;107.05;108.90;111.02;120.51;103.46;114.68;119.66;110.64;104.72;103.74;98.38
"Household equipment & goods";101.78;101.20;103.02;104.34;105.56;106.15;109.06;108.53;105.36;108.83;107.60;105.01;102.96;102.02
"Medicaments, health";102.88;113.15;113.82;105.38;104.89;105.12;108.87;106.10;103.44;105.65;116.34;145.63;105.36;102.14
"Transport";101.78;102.02;99.79;109.68;107.22;105.28;122.35;98.66;112.00;115.97;108.22;104.49;101.61;88.08
"Post and Communication";..;..;..;99.56;..;95.35;88.24;90.35;95.43;95.94;98.89;99.52;99.61;100.33
"Education";103.16;104.65;100.91;101.74;104.40;103.30;104.16;105.72;110.37;123.18;117.07;114.17;110.17;106.45
"Culture, sport, entertainments";101.13;99.09;101.53;101.58;103.00;103.18;105.87;105.70;103.59;107.57;105.64;103.90;102.41;101.64
"Other consumer goods & services";102.58;102.92;105.08;105.79;106.12;107.72;113.17;111.33;111.68;112.00;110.68;107.00;104.00;102.89
" Gold price index";102.21;119.01;116.37;107.80;136.09;113.65;131.93;119.16;136.72;139.00;107.83;88.74;88.51;95.27
" USD price index";101.66;101.69;101.57;100.56;100.95;100.62;102.35;109.17;107.63;108.47;100.18;100.66;100.56;103.16
"Core infilation(*)";..;..;..;..;..;..;..;..;7.78;13.62;8.19;4.77;3.31;2.05
