"Average expenditure per day of domestic visitors by accommodation by Items and Year"

"Items";"2003";"2005";"2006";"2009";"2011";"2013"
"AVERAGE EXPENDITURE";439.5;506.2;550.8;703.4;977.7;1148.5
"1-Star hotel";439.3;459.0;491.7;643.8;832.4;924.8
"2-Star hotel";462.8;507.2;611.2;677.1;971.3;1098.7
"3-Star hotel";565.7;618.6;747.8;880.6;1205.6;1477.7
"4-Star hotel";686.7;776.5;928.7;1385.6;1717.2;1718.0
"5-Star hotel";667.1;1488.5;1794.5;1491.9;1827.2;2918.4
"Non-Star hotel";410.9;480.4;458.2;607.9;872.6;993.8
"Guest house";269.8;504.1;434.7;607.3;861.9;867.4
"Tourist villa";..;370.5;557.4;566.0;1226.1;762.4
"Tourist village";133.4;431.2;365.6;627.7;818.7;701.5
"Tourist household";524.1;714.2;900.6;1170.7;1293.5;1207.6
"Others";411.9;235.7;275.0;243.0;504.2;594.6
