"Average expenditure per day of foreign visitors in Vietnam by some nationalities by Nationalities and Year"

"Nationalities";"2003";"2005";"2006";"2009";"2011";"2013"
"AVERAGE EXPENDITURE";74.6;76.4;83.5;91.2;105.7;95.8
"Belgium";77.7;69.1;58.6;72.8;100.6;75.1
"Cambodia";52.9;..;103.5;149.3;115.5;100.3
"Canada";56.7;74.8;89.5;73.0;113.6;105.0
"China, PR";67.4;73.3;67.8;90.1;108.0;84.6
"Taiwan";91.0;78.3;103.3;113.0;101.5;112.8
"Denmark";83.5;87.6;57.0;174.3;97.5;101.4
"Germany";75.8;70.5;76.1;96.8;93.3;92.3
"Netherlands";60.6;73.2;80.2;62.6;85.4;77.1
"Korea, Republic of";65.3;97.3;99.5;118.5;131.6;99.5
"United States";92.8;77.0;83.1;99.5;113.1;110.2
"Indonesia";83.7;99.6;94.8;147.3;160.1;112.8
"Italy";94.4;50.9;73.8;91.4;101.8;92.7
"Lao PDR";..;79.2;57.0;73.1;105.5;116.9
"Russian Federation";85.5;47.9;96.9;93.3;108.1;124.0
"Malaysia";95.0;103.6;109.0;105.1;142.2;147.2
"Norway";..;56.4;82.9;95.8;75.0;92.7
"Japan";80.6;86.2;127.2;133.1;167.8;105.1
"New Zealand";59.3;85.2;86.1;101.2;88.0;86.9
"Australia";79.1;88.2;78.1;100.7;109.8;102.3
"Frence";61.7;77.1;77.9;75.2;77.6;85.0
"The Philippines";78.7;64.3;55.0;90.3;116.9;103.4
"Spain";86.3;103.6;90.7;82.5;98.4;72.3
"Thailand";96.1;73.6;85.1;134.3;130.0;95.1
"Sweden";63.1;65.4;97.5;74.0;123.6;121.9
"Switzerland";57.5;53.6;105.6;59.6;114.4;101.4
"United Kingdom";84.7;75.0;69.1;77.4;94.4;88.4
"Singapore";124.3;120.8;111.9;127.0;140.2;138.0
