"Commodity term of trade (*) (Previous year = 100) by Commodity group and Year"

"Commodity group";"2011";"2012";"2013";"2014";"2015"
"Commodity term of trade";99.54;99.79;99.94;102.18;102.15
"Fishery products";99.40;100.78;93.52;104.67;104.32
"Vegetables and fruit";108.58;100.19;96.56;101.21;97.83
"Wood and articles of wood";95.81;101.31;99.74;95.81;106.80
"Confectionery and cereal preparations";84.11;102.17;94.86;99.40;104.80
"Petroleum oil, refined";98.03;104.09;102.74;97.94;84.12
"Iron, Steel";95.83;106.31;110.47;94.06;109.48
"Iron and steel producs";92.07;101.65;96.15;98.43;106.83
"Plastic materials";95.69;105.09;87.90;88.87;90.36
"Articles of plastics";85.57;101.59;92.98;99.20;105.16
"Chemicals";91.64;99.15;100.90;110.99;113.13
"Chemical products";88.44;98.22;103.97;106.63;108.17
"Precious stones, precious metals and their products";91.05;100.39;104.73;99.78;104.13
"Machinery, apparatus, accessory";93.50;102.92;96.08;99.17;98.37
"Electrical wire and cable";85.91;103.00;99.66;108.10;98.31
