"Commodity term of trade (Year 2010 = 100) by Commodity group and Year"

"Commodity group";"2011";"2012";"2013";"2014";"2015"
"Commodity term of trade";99.54;99.32;99.27;101.43;103.61
"Fishery products";99.40;100.17;93.68;98.06;102.29
"Vegetables and fruit";108.58;108.78;105.04;106.31;104.01
"Wood and articles of wood";95.81;97.06;96.81;92.76;99.06
"Confectionery and cereal preparations";84.11;85.94;81.52;81.04;84.92
"Petroleum oil, refined";98.03;102.04;104.84;102.68;86.37
"Iron, Steel";95.83;101.88;112.54;105.86;115.89
"Iron and steel producs";92.07;93.59;89.98;88.57;94.62
"Plastic materials";95.69;100.57;88.39;78.56;70.98
"Articles of plastics";85.57;86.93;80.83;80.18;84.32
"Chemicals";91.64;90.85;91.67;101.74;115.09
"Chemical products";88.44;86.87;90.31;96.30;104.16
"Precious stones, precious metals and their products";91.05;91.40;95.73;95.52;99.46
"Machinery, apparatus, accessory";93.50;96.23;92.46;104.27;96.58
"Electrical wire and cable";85.91;88.48;88.18;95.33;85.61
