"Consumer price index, gold and USD price index of December as compared to the same period of previous year by Commondity group and Year"

"Commondity group";"2005";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
" Consumer price index";108.40;112.63;119.89;106.52;111.75;118.13;106.81;106.04;101.84;100.60
"Food and foodstuffs";110.80;118.92;131.86;105.78;116.18;124.80;101.01;105.08;102.61;100.97
"     Food";107.80;115.40;143.25;107.54;117.96;118.98;94.34;101.98;101.30;98.35
"     Foodstuffs";112.00;121.16;126.53;104.29;116.69;127.38;100.95;106.02;102.84;101.47
"Beverage  and  cigarette";104.90;106.78;113.10;107.56;109.57;110.87;104.67;104.19;103.14;102.05
"Garment, footwear, hat";105.00;106.70;112.90;106.05;108.38;112.90;109.08;106.20;103.77;102.81
"Housing & material construction";109.80;117.12;108.46;112.58;115.74;117.29;109.18;105.49;98.05;100.95
"Household equipment & goods";104.80;105.15;112.68;104.94;106.60;109.76;106.16;103.95;102.48;101.53
"Medicaments, health";104.90;107.05;109.43;103.26;104.16;105.81;145.23;118.97;102.25;101.79
"Transport";110.25;109.53;111.02;112.45;103.75;119.04;106.76;102.60;94.43;91.26
"Post and Communication";99.01;96.45;84.93;94.62;94.10;97.87;99.65;99.43;100.38;99.52
"Education";105.00;101.97;106.87;106.05;119.38;120.41;116.97;111.71;108.25;102.42
"Culture, sport, entertainments";102.70;101.69;110.33;102.10;105.25;108.06;104.97;103.02;101.86;101.52
"Other consumer goods & services";106.00;109.02;112.97;111.25;111.83;112.68;109.80;105.02;103.27;102.30
" Gold price index";111.30;127.35;106.83;164.32;130.00;124.09;100.40;75.64;96.27;95.03
" USD price index";100.90;99.97;106.31;110.70;109.68;102.24;99.04;101.09;101.03;105.34
