"Expenditure of domestic visitors by Items, Expenditure and Year"

"Items";"Expenditure";"2003";"2005";"2006";"2009";"2011";"2013"
"Value (Thous. Dongs)";"Average expenditure per day of visitor";439.5;506.2;550.8;703.4;977.7;1148.5
"Value (Thous. Dongs)";"Accommodation";104.2;110.3;137.7;171.0;227.2;284.9
"Value (Thous. Dongs)";"Food";68.5;88.6;97.8;166.0;230.8;279.0
"Value (Thous. Dongs)";"Transportion";125.0;162.0;175.1;171.9;216.1;255.9
"Value (Thous. Dongs)";"Sightseeing";20.7;19.7;20.0;38.6;52.1;76.6
"Value (Thous. Dongs)";"Shopping";66.6;75.7;71.0;97.4;132.9;155.7
"Value (Thous. Dongs)";"Health";2.4;4.6;3.7;6.0;15.6;15.4
"Value (Thous. Dongs)";"Others";52.1;45.3;45.5;52.5;103.0;81.0
"Structure (%)";"Average expenditure per day of visitor";100.0;100.0;100.0;100.0;100.0;100.0
"Structure (%)";"Accommodation";23.7;21.8;25.0;24.3;23.2;24.8
"Structure (%)";"Food";15.6;17.5;17.8;23.6;23.6;24.3
"Structure (%)";"Transportion";28.4;32.0;31.7;24.4;22.1;22.3
"Structure (%)";"Sightseeing";4.7;3.9;3.6;5.5;5.3;6.7
"Structure (%)";"Shopping";15.2;15.0;12.9;13.8;13.6;13.6
"Structure (%)";"Health";0.5;0.9;0.7;0.9;1.6;1.3
"Structure (%)";"Others";11.9;8.9;8.3;7.5;10.6;7.0
