"Expenditure of foreign visitors in Vietnam by Items, Expenditure and Year"

"Items";"Expenditure";"2003";"2005";"2006";"2009";"2011";"2013"
"Value (USD)";"Average expenditure per day of visitor";74.6;76.4;83.5;91.2;105.7;95.8
"Value (USD)";"Accommodation";20.8;19.2;21.7;25.7;28.2;26.8
"Value (USD)";"Food";12.6;14.0;16.7;19.2;21.3;21.3
"Value (USD)";"Transport in Vietnam";10.9;14.3;14.5;14.9;18.6;16.7
"Value (USD)";"Sightseeing";5.6;5.8;5.9;7.5;7.9;7.4
"Value (USD)";"Shopping";11.9;12.7;13.0;14.0;15.5;12.7
"Value (USD)";"Health";0.9;1.1;0.6;1.0;1.1;1.0
"Value (USD)";"Others";11.9;9.3;11.1;8.9;13.1;10.0
"Structure (%)";"Average expenditure per day of visitor";100.0;100.0;100.0;100.0;100.0;100.0
"Structure (%)";"Accommodation";27.9;25.1;26.0;28.1;26.7;27.9
"Structure (%)";"Food";16.9;18.3;20.0;21.0;20.2;22.2
"Structure (%)";"Transport in Vietnam";14.6;18.7;17.4;16.3;17.6;17.4
"Structure (%)";"Sightseeing";7.5;7.6;7.1;8.2;7.5;7.7
"Structure (%)";"Shopping";16.0;16.6;15.6;15.4;14.6;13.3
"Structure (%)";"Health";1.2;1.4;0.7;1.1;1.0;1.0
"Structure (%)";"Others";16.0;12.2;13.3;9.8;12.4;10.4
