"Export and import of goods by Items, Year and Export and import"

"Items";"Year";"Total";"Exports";"Imports";"Balance(*)"
"Value (Bill.dongs)";"1990";5156.4;2404.0;2752.4;-348.4
"Value (Bill.dongs)";"1991";4425.2;2087.1;2338.1;-251.0
"Value (Bill.dongs)";"1992";5121.5;2580.7;2540.8;39.9
"Value (Bill.dongs)";"1993";6909.1;2985.2;3923.9;-938.7
"Value (Bill.dongs)";"1994";9880.1;4054.3;5825.8;-1771.5
"Value (Bill.dongs)";"1995";13604.3;5448.9;8155.4;-2706.5
"Value (Bill.dongs)";"1996";18399.4;7255.8;11143.6;-3887.8
"Value (Bill.dongs)";"1997";20777.3;9185.0;11592.3;-2407.3
"Value (Bill.dongs)";"1998";20859.9;9360.3;11499.6;-2139.3
"Value (Bill.dongs)";"1999";23283.5;11541.4;11742.1;-200.7
"Value (Bill.dongs)";"2000";30119.2;14482.7;15636.5;-1153.8
"Value (Bill.dongs)";"2001";31247.1;15029.2;16217.9;-1188.7
"Value (Bill.dongs)";"2002";36451.7;16706.1;19745.6;-3039.5
"Value (Bill.dongs)";"2003";45405.1;20149.3;25255.8;-5106.5
"Value (Bill.dongs)";"2004";58453.8;26485.0;31968.8;-5483.8
"Value (Bill.dongs)";"2005";69208.2;32447.1;36761.1;-4314.0
"Value (Bill.dongs)";"2006";84717.3;39826.2;44891.1;-5064.9
"Value (Bill.dongs)";"2007";111326.1;48561.4;62764.7;-14203.3
"Value (Bill.dongs)";"2008";143398.9;62685.1;80713.8;-18028.7
"Value (Bill.dongs)";"2009";127045.1;57096.3;69948.8;-12852.5
"Value (Bill.dongs)";"2010";157075.3;72236.7;84838.6;-12601.9
"Value (Bill.dongs)";"2011";203655.5;96905.7;106749.8;-9844.1
"Value (Bill.dongs)";"2012";228309.6;114529.2;113780.4;748.8
"Value (Bill.dongs)";"2013";264065.5;132032.9;132032.6;0.3
"Value (Bill.dongs)";"2014";298066.2;150217.1;147849.1;2368.0
"Value (Bill.dongs)";"Prel. 2015";327587.1;162016.7;165570.4;-3553.7
"Index (Previous year = 100) - %";"1990";..;..;..;..
"Index (Previous year = 100) - %";"1991";85.8;86.8;84.9;..
"Index (Previous year = 100) - %";"1992";115.7;123.7;108.7;..
"Index (Previous year = 100) - %";"1993";134.9;115.7;154.4;..
"Index (Previous year = 100) - %";"1994";143.0;135.8;148.5;..
"Index (Previous year = 100) - %";"1995";137.7;134.4;140.0;..
"Index (Previous year = 100) - %";"1996";135.2;133.2;136.6;..
"Index (Previous year = 100) - %";"1997";112.9;126.6;104.0;..
"Index (Previous year = 100) - %";"1998";100.4;101.9;99.2;..
"Index (Previous year = 100) - %";"1999";111.6;123.3;102.1;..
"Index (Previous year = 100) - %";"2000";129.4;125.5;133.2;..
"Index (Previous year = 100) - %";"2001";103.7;103.8;103.7;..
"Index (Previous year = 100) - %";"2002";116.7;111.2;121.8;..
"Index (Previous year = 100) - %";"2003";124.6;120.6;127.9;..
"Index (Previous year = 100) - %";"2004";128.7;131.4;126.6;..
"Index (Previous year = 100) - %";"2005";118.4;122.5;115.0;..
"Index (Previous year = 100) - %";"2006";122.4;122.7;122.1;..
"Index (Previous year = 100) - %";"2007";131.4;121.9;139.8;..
"Index (Previous year = 100) - %";"2008";128.8;129.1;128.6;..
"Index (Previous year = 100) - %";"2009";88.6;91.1;86.7;..
"Index (Previous year = 100) - %";"2010";123.6;126.5;121.3;..
"Index (Previous year = 100) - %";"2011";129.7;134.2;125.8;..
"Index (Previous year = 100) - %";"2012";112.1;118.2;106.6;..
"Index (Previous year = 100) - %";"2013";115.7;115.3;116.0;..
"Index (Previous year = 100) - %";"2014";112.9;113.8;112.0;..
"Index (Previous year = 100) - %";"Prel. 2015";109.9;107.9;112.0;..
