"Exports and Imports of services by Items, Services and Year"

"Items";"Services";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Pre. 2015"
"Exports";"Total";4265;5100;6460;7006;5766;7460;8691;9620;10710;11050;11250
"Exports";"Transportation";1167;1540;1879;2356;2062;2306;2227;2070;2230;2320;2430
"Exports";"Postal and telecomunication";100;120;110;80;124;137;145;138;140;145;148
"Exports";"Travel";2300;2850;3750;3930;3050;4450;5710;6850;7250;7410;7350
"Exports";"Finance";220;270;332;230;175;192;208;150;183;175;180
"Exports";"Insurance";45;50;65;60;65;70;81;64;60;58;55
"Exports";"Government services";33;40;45;50;100;105;110;110;125;137;142
"Exports";"Other services";400;230;279;300;190;200;210;238;722;805;945
"Imports  (*)";"Total";4450;5122;7177;7956;8187;9921;11859;11050;13820;15000;16500
"Imports  (*)";"Transportation";2190;2580;4079;4974;5508;6596;8226;6953;7340;7738;8600
"Imports  (*)";"Postal and telecomunication";31;30;47;54;59;79;67;57;85;82;85
"Imports  (*)";"Travel";900;1050;1220;1300;1100;1470;1710;1856;2050;2650;3500
"Imports  (*)";"Finance";230;270;300;230;153;195;217;175;460;480;486
"Imports  (*)";"Insurance";249;302;461;473;406;481;567;874;911;1020;1140
"Imports  (*)";"Government services";30;40;40;75;141;150;152;167;185;195;200
"Imports  (*)";"Other services";820;850;1030;850;820;950;920;968;2789;2835;2489
