"Exports of goods by Standard International Trade Classification (SITC) by SITC and Year"

"SITC";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"TOTAL";5449.0;7255.9;9185.0;9360.3;11541.4;14482.7;15029.2;16706.1;20149.3;26485.0;32447.1;39826.2;48561.4;62685.1;57096.3;72236.7;96905.7;114529.2;132032.9;150217.1
"Primary products";3664.1;4537.7;4780.9;5006.4;5996.2;8078.8;8009.8;8289.5;9397.2;12554.1;16100.7;19226.8;21657.7;27698.7;22266.1;25187.5;33736.7;35200.9;33782.6;35734.5
"Food, foodstuff and live animals";2064.2;2424.1;2691.9;3158.1;3283.8;3779.5;4051.6;4117.6;4432.0;5277.6;6345.7;7509.2;9191.7;12164.3;11514.6;13432.5;17442.9;18812.6;18561.2;21546.6
"Beverages and tobacco";5.0;7.0;33.8;4.9;15.0;18.8;45.5;75.2;159.8;174.0;150.0;143.5;155.1;190.8;237.8;301.3;358.0;464.3;538.1;540.4
"Crude materials, inedible, except fuels";370.5;499.6;376.7;283.1;302.2;384.0;412.6;516.5;631.3;830.9;1229.1;1845.3;2199.8;2491.7;1928.3;3373.8;4716.1;4254.2;4742.3;4146.4
"Mineral fuels, lubricants and related materials";1210.6;1572.0;1653.5;1543.5;2372.5;3824.7;3468.5;3567.8;4151.1;6233.2;8358.0;9709.4;10061.0;12750.5;8507.1;7979.7;11007.8;11353.2;9685.2;9238.2
"Animal and vegetable oils, fats and wax";13.8;34.9;25.0;16.7;22.6;71.8;31.6;12.5;23.0;38.4;17.9;19.4;50.1;101.4;78.3;100.2;211.9;316.6;255.8;262.9
"Manufactured products";1784.8;2710.5;4401.3;4350.1;5540.6;6397.5;7019.0;8414.6;10747.8;13927.6;16341.0;20592.0;26886.1;34625.5;34007.6;47012.5;63106.1;79241.6;98172.4;114472.0
"Chemical and related products, n.e.s";30.9;65.9;106.6;93.6;147.0;158.5;222.1;262.2;339.9;421.3;536.0;791.9;1028.5;1449.9;1270.4;1881.9;2875.7;3749.5;3831.6;4220.4
"Manufactured goods classified chiefly by materials";349.8;382.6;563.0;441.1;864.8;911.1;989.7;1124.9;1354.8;1889.6;2165.4;2926.3;3975.7;6398.4;5226.0;8485.6;10874.6;12203.5;13844.2;16517.8
"Machinery, transport and equipments";89.4;414.6;752.7;808.8;978.0;1276.0;1399.0;1336.9;1792.8;2562.1;3145.1;4194.7;5601.2;7368.4;7398.8;11476.1;18834.9;30703.7;43027.1;48619.0
"Miscellaneous manufactured articles";1314.7;1847.4;2979.1;3006.7;3550.8;4051.9;4408.2;5690.6;7260.3;9054.6;10494.5;12679.1;16280.7;19408.8;20112.4;25168.9;30520.9;32584.9;37469.5;45114.8
"Commodities not clasified elsewhere in SITC";0.0;7.7;2.8;3.7;4.6;6.4;0.4;2.0;4.3;3.3;5.4;7.4;17.6;360.9;822.6;36.7;62.9;86.7;77.9;10.6
