"Exports of goods by country group, country and territory by Country and territory and Year"

"Country and territory";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"TOTAL";5448.90;7255.90;9185.00;9360.30;11541.40;14482.70;15029.20;16706.10;20149.30;26485.00;32447.10;39826.20;48561.40;62685.10;57096.30;72236.70;96905.70;114529.20;132032.90;150217.10;162016.70
"ASEAN";996.90;1652.83;1913.55;1944.98;2516.30;2619.00;2553.60;2434.90;2953.30;4056.10;5743.50;6632.60;8110.30;10337.70;8761.30;10364.70;13656.00;17426.50;18584.40;19106.80;18253.70
"APEC";3998.20;5262.21;6322.59;6129.10;7486.20;10097.60;10084.00;11966.90;14832.00;19502.30;24169.70;29337.90;35048.80;44213.10;38802.10;49354.60;65182.40;78028.30;87072.50;98499.20;106454.50
"EU";664.20;848.52;1607.84;2079.04;2515.30;2845.10;3002.90;3162.50;3852.60;4968.40;5517.00;7094.00;9096.40;10895.80;9402.30;11385.50;16541.30;20302.00;24324.10;27895.50;30937.10
"OPEC";131.70;212.40;199.31;554.75;713.40;643.20;757.70;861.50;759.30;813.50;877.50;1415.90;1687.30;1866.10;956.30;1316.70;1709.90;3249.90;5245.50;5973.80;7125.10
"Brunei Darusalem";..;..;..;..;..;..;..;..;..;..;0.60;..;..;..;7.70;14.20;15.40;16.90;17.50;49.60;25.60
"Cambodia";94.60;99.00;108.90;75.20;90.20;141.60;146.00;178.40;267.30;384.00;555.60;780.60;1041.10;1531.60;1166.50;1563.80;2519.00;2929.90;2934.00;2685.40;2412.70
"Indonesia";53.80;45.70;47.60;317.20;420.00;248.60;264.33;332.00;467.20;452.90;468.80;957.90;1153.20;751.20;754.10;1433.40;2358.90;2357.70;2502.20;2890.40;2851.20
"Laos";20.60;24.90;30.40;73.40;165.30;70.70;64.30;64.70;51.80;68.40;69.20;95.00;109.70;160.30;172.20;200.00;286.60;432.60;423.20;484.00;534.80
"Malaysia";110.60;77.70;141.60;115.20;256.50;413.90;337.22;347.80;453.80;624.30;1028.30;1254.00;1555.00;2030.40;1775.20;2093.10;2770.80;4500.30;4984.50;3926.40;3583.80
"Myanmar";..;..;..;..;..;5.70;5.40;7.10;12.50;14.00;12.00;16.50;21.80;32.60;33.90;49.50;82.50;117.80;229.70;345.00;378.10
"Philippines";41.50;132.00;240.60;401.10;393.20;478.40;368.40;315.20;340.00;498.60;829.00;782.80;965.10;1824.70;1461.90;1706.40;1535.30;1871.50;1732.30;2310.30;2020.00
"Singapore";689.80;1290.00;1215.90;740.90;876.40;885.90;1043.73;961.10;1024.70;1485.30;1917.00;1811.70;2234.40;2713.80;2075.60;2121.30;2149.30;2367.70;2691.50;2942.00;3263.30
"Thailand";101.30;107.40;235.30;295.40;312.70;372.30;322.77;227.30;335.40;518.10;863.00;930.20;1030.00;1288.50;1314.20;1182.80;1938.30;2832.20;3069.60;3473.50;3184.20
"Taiwan";439.40;539.90;814.50;670.20;682.40;756.60;806.00;817.70;749.20;890.60;935.00;968.70;1139.40;1401.40;1120.60;1442.80;1843.30;2081.50;2223.60;2306.50;2083.30
"Korea, Rep.";235.30;558.30;417.00;229.10;319.90;352.60;406.08;468.70;492.10;608.10;663.60;842.90;1243.40;1793.50;2077.80;3092.20;4866.70;5580.90;6682.90;7167.50;8921.10
"Hong Kong SAR (China)";256.70;311.20;430.70;318.10;235.70;315.90;317.24;340.20;368.70;380.10;353.10;453.00;582.50;877.20;1034.10;1464.20;2205.70;3705.40;4113.50;5264.70;6961.70
"Japan";1461.00;1546.40;1675.40;1514.50;1786.20;2575.20;2509.80;2437.00;2908.60;3542.10;4340.30;5240.10;6090.00;8467.80;6335.60;7727.70;11091.70;13064.50;13544.20;14674.90;14132.00
"China";361.90;340.20;474.10;440.10;746.40;1536.40;1417.40;1518.30;1883.10;2899.10;3228.10;3242.80;3646.10;4850.10;5403.00;7742.90;11613.30;12836.00;13177.70;14928.30;17109.30
"India";10.40;9.10;13.20;12.60;17.00;47.20;45.40;52.00;32.30;78.60;97.80;137.80;179.70;389.00;419.60;991.60;1553.90;1782.20;2354.70;2510.70;2472.40
"Bangladesh";..;..;..;..;..;14.60;7.10;9.80;5.60;19.50;22.10;21.50;24.90;47.10;59.60;256.10;445.20;353.00;485.70;709.90;570.00
"Iran";2.10;79.78;24.28;35.95;25.50;13.50;9.60;10.40;14.10;19.80;82.60;16.40;30.30;79.00;27.50;44.30;..;..;..;..;..
"Pakistan";..;..;..;..;..;10.00;8.90;21.50;23.10;39.70;42.40;65.50;82.30;96.00;110.40;133.60;168.40;174.80;187.30;282.50;419.90
"Sri Lanka";..;..;..;..;..;9.70;9.80;6.80;5.80;22.10;20.10;20.60;38.20;40.00;26.40;62.00;83.60;95.30;130.40;166.70;192.40
"Saudi Arabia";5.60;5.05;10.23;15.95;15.30;14.70;13.70;18.00;17.00;21.90;30.50;49.30;51.50;118.30;103.90;144.00;261.70;599.10;470.90;534.20;534.10
"United Arab Emirates";..;..;..;..;..;23.80;33.10;41.20;66.00;93.60;121.60;140.60;234.00;357.60;360.10;508.30;922.00;2078.30;4138.40;4627.00;5691.70
"Kuwait";..;..;..;..;..;2.40;2.70;2.60;6.90;3.70;11.80;11.10;19.30;61.50;40.90;29.90;28.90;29.20;35.30;72.20;88.20
"Georgia";..;..;..;..;..;3.00;..;4.30;2.90;9.40;4.10;6.70;12.70;23.80;15.20;15.40;12.60;15.10;19.10;38.10;..
"Iraq";35.70;66.20;101.10;165.90;211.30;321.50;405.47;439.90;151.30;184.50;101.00;117.50;14.80;124.30;90.20;188.30;149.60;158.90;..;..;..
"Israel";..;..;..;..;..;15.10;18.10;19.50;19.90;32.20;31.60;44.20;58.10;82.70;76.90;97.50;170.80;279.30;404.50;495.80;533.70
"Cyprus";..;..;..;..;..;1.50;2.50;1.50;2.10;2.90;4.80;5.90;7.00;19.70;12.00;13.90;19.30;17.70;16.60;28.70;33.40
"Turkey";..;..;..;..;..;15.70;11.70;23.60;31.30;46.80;60.20;141.90;201.80;330.50;284.30;528.70;771.70;862.70;1173.90;1507.60;1359.60
"Yemen";..;..;..;..;..;8.00;9.30;0.20;1.40;10.90;6.60;14.60;14.30;22.50;16.10;15.00;14.60;21.80;23.80;24.50;..
"Poland";16.60;22.20;41.00;38.50;63.10;61.50;79.47;67.90;83.60;82.20;81.80;160.10;220.90;266.70;185.30;241.20;445.50;328.20;350.80;509.10;585.20
