"Exports of goods by kinds of economic sectors and by commodity group by Items, Kinds of economic sectors and commodity group and Year"

"Items";"Kinds of economic sectors and commodity group";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015 (***)"
"Value (Mill.USD)";"TOTAL";5448.90;7255.90;9185.00;9360.30;11541.40;14482.70;15029.20;16706.10;20149.30;26485.00;32447.10;39826.20;48561.40;62685.10;57096.30;72236.70;96905.70;114529.20;132032.90;150217.10;162016.70
"Value (Mill.USD)";"By economic sector";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Value (Mill.USD)";"Domestic economic sector";3975.80;5100.90;5972.00;6145.30;6859.40;7672.40;8230.90;8834.30;9988.10;11997.30;13893.40;16764.90;20786.80;28162.30;26724.00;33084.30;41781.40;42277.20;43882.70;49037.30;47749.90
"Value (Mill.USD)";"Foreign invested sector(*)";1473.10;2155.00;3213.00;3215.00;4682.00;6810.30;6798.30;7871.80;10161.20;14487.70;18553.70;23061.30;27774.60;34522.80;30372.30;39152.40;55124.30;72252.00;88150.20;101179.80;114266.80
"Value (Mill.USD)";"By commodity group";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Value (Mill.USD)";"Heavy industrial products and minerals";1377.70;2085.00;2574.00;2609.00;3609.50;5382.10;5247.30;5304.30;6485.10;9641.90;11701.40;14428.60;16646.70;23209.40;17621.80;22402.90;34722.60;48228.20;59364.20;66159.10;73300.00
"Value (Mill.USD)";"Light industrial and handicraft goods";1549.80;2101.00;3372.40;3427.60;4243.20;4903.10;5368.30;6785.70;8597.30;10870.80;13288.00;16382.40;20693.60;24896.40;25580.30;33336.90;40339.60;43298.70;49939.70;59057.70;65147.90
"Value (Mill.USD)";"Agricultural products";1745.80;2159.60;2231.40;2274.30;2545.90;2563.30;2421.30;2396.60;2672.00;3383.60;4467.40;5352.40;7032.80;9239.60;8352.80;10639.50;14447.50;15463.40;14053.30;15213.00;17000.00
"Value (Mill.USD)";"Forest products";153.90;212.20;225.20;191.40;169.20;155.70;176.00;197.80;195.30;180.60;252.50;297.60;408.40;468.70;463.40;803.90;1220.70;1363.70;1906.20;1952.60;..
"Value (Mill.USD)";"Aquatic products";621.40;696.50;782.00;858.00;973.60;1478.50;1816.40;2021.70;2199.60;2408.10;2732.50;3358.00;3763.40;4510.10;4255.30;5016.90;6112.40;6088.50;6692.60;7825.30;6568.80
"Value (Mill.USD)";"Non-monetary gold (**)";..;..;..;..;..;..;..;..;..;..;5.30;7.20;16.50;360.90;822.60;36.60;62.80;86.70;76.90;9.40;..
"Structure (%)";"TOTAL";100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;..
"Structure (%)";"By economic sector";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Structure (%)";"Domestic economic sector";73.00;70.30;65.00;65.70;59.43;53.00;54.80;52.90;49.60;45.30;42.80;42.10;42.80;44.90;46.80;45.80;43.10;36.90;33.20;32.60;29.50
"Structure (%)";"Foreign invested sector(*)";27.00;29.70;35.00;34.30;40.57;47.00;45.20;47.10;50.40;54.70;57.20;57.90;57.20;55.10;53.20;54.20;56.90;63.10;66.80;67.40;70.50
"Structure (%)";"By commodity group";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Structure (%)";"Heavy industrial products and minerals";25.28;28.70;28.00;27.90;31.30;37.20;34.90;31.80;32.20;36.40;36.10;36.20;34.40;37.00;30.90;31.00;35.80;42.10;45.00;44.00;45.20
"Structure (%)";"Light industrial and handicraft goods";28.40;29.00;36.70;36.60;36.70;33.90;35.70;40.60;42.70;41.00;41.00;41.20;42.60;39.80;44.80;46.10;41.60;37.80;37.80;39.40;40.20
"Structure (%)";"Agricultural products";32.04;29.80;24.30;24.30;22.10;17.70;16.10;14.30;13.30;12.80;13.70;13.40;14.50;14.70;14.60;14.70;14.90;13.50;10.60;10.10;10.50
"Structure (%)";"Forest products";2.82;2.90;2.50;2.00;1.50;1.10;1.20;1.20;1.00;0.70;0.80;0.80;0.80;0.70;0.80;1.10;1.30;1.20;1.40;1.30;..
"Structure (%)";"Aquatic products";11.40;9.60;8.50;9.20;8.40;10.10;12.10;12.10;10.80;9.10;8.40;8.40;7.70;7.20;7.50;7.00;6.30;5.30;5.10;5.20;4.10
"Structure (%)";"Non-monetary gold (**)";..;..;..;..;..;..;..;..;..;..;0.00;0.00;0.00;0.60;1.40;0.10;0.10;0.10;0.10;0.00;..
