"Imports by Standard International Trade Classification (SITC) by SITC and Year"

"SITC";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"TOTAL";8155.40;11143.60;11592.34;11499.62;11742.06;15636.50;16217.90;19745.60;25255.80;31968.80;36761.10;44891.10;62764.70;80713.80;69948.80;84838.60;106749.80;113780.40;132032.60;147849.10
"Primary products";1914.50;2145.60;2136.45;1982.84;2264.54;3527.60;3686.10;4200.60;5282.70;7317.50;9308.20;11481.30;15420.80;21766.10;16340.80;19962.60;27620.00;26898.80;27712.00;30648.20
"Food, foodstuff and live animal";379.90;408.50;430.31;461.67;505.94;626.50;834.20;939.20;1262.20;1495.20;1955.20;2299.30;3279.60;4525.00;4631.20;6225.10;7379.80;7669.10;9077.10;10666.90
"Beverages and tobacco";80.90;43.10;83.16;122.15;85.74;102.80;108.40;149.30;152.70;162.60;175.80;145.00;183.30;269.40;341.60;292.90;318.50;321.10;377.70;383.20
"Crude materials, inedible, except fuels";456.90;407.30;369.69;381.81;452.76;590.80;690.10;816.10;1001.00;1454.30;1623.20;2084.30;2740.80;4005.80;3388.50;4622.30;6497.50;6739.10;7469.20;8505.70
"Mineral fuels, lubricants and related materials";901.60;1238.00;1194.45;964.35;1120.29;2121.00;1970.30;2165.40;2714.40;3981.80;5365.70;6699.00;8744.20;12329.70;7497.40;8140.30;12531.10;11452.10;10118.80;10355.70
"Animal and vegetable oils, fats and wax";95.00;48.60;58.85;52.85;99.80;86.50;83.10;130.60;152.40;223.60;188.30;253.70;472.90;636.20;482.10;682.00;893.10;717.40;669.20;736.70
"Manufactured products";6240.90;8973.10;9428.59;9511.97;9470.47;12101.20;12531.80;15531.80;19791.90;24084.30;26633.10;31531.00;46027.80;56219.40;53225.40;63910.60;77056.10;86780.50;104202.80;117072.10
"Chemical and related products, n.e.s";1285.20;1814.60;1948.47;2153.78;2040.44;2401.70;2490.00;2932.60;3622.90;4693.50;5309.90;6317.40;8368.70;10297.80;10225.40;12491.30;15550.40;16161.40;18197.50;19714.50
"Manufactured goods classified chiefly by materials";1511.80;2389.20;2676.20;2379.86;2735.99;3402.10;3729.40;5414.80;6672.10;8859.10;10172.20;12164.00;17062.30;20112.80;17777.40;22449.60;25594.80;26221.40;30058.50;34763.90
"Machinery and transport equipment";2343.30;3400.30;3432.62;3487.26;3452.70;4711.00;4865.10;5757.60;7921.50;8736.60;9252.30;10805.70;17859.80;22425.30;21908.00;24713.50;31092.10;38885.30;49419.90;55018.10
"Miscellaneous manufactured articles";1100.60;1369.10;1371.30;1491.07;1241.35;1586.40;1447.30;1426.80;1575.40;1795.10;1898.70;2243.90;2737.00;3383.50;3314.60;4256.20;4818.80;5512.40;6526.90;7575.60
"Commodities not clasified elsewhere in SITC";0.00;24.90;27.30;4.81;7.05;7.70;..;13.20;181.20;567.00;819.80;1878.80;1316.10;2728.30;382.60;965.40;2073.70;101.10;117.80;128.80
