"Imports of good by kinds of economic sector and by commodity group by Items, Economic sector and commodity group and Year"

"Items";"Economic sector and commodity group";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Value (Mill.USD)";"TOTAL";8155.40;11143.60;11592.30;11499.60;11742.10;15636.50;16218.00;19745.60;25255.80;31968.80;36761.10;44891.10;62764.70;80713.80;69948.80;84838.60;106749.80;113780.40;132032.60;147849.10;165570.40
"Value (Mill.USD)";"Domestic economic sector";6687.30;9100.90;8396.10;8831.60;8359.90;11284.50;11233.00;13042.00;16440.80;20882.20;23121.00;28401.70;41052.30;52831.70;43882.10;47870.70;58362.80;53839.20;57597.60;63638.20;68343.90
"Value (Mill.USD)";"Foreign invested sector";1468.10;2042.70;3196.20;2668.00;3382.20;4352.00;4985.00;6703.60;8815.00;11086.60;13640.10;16489.40;21712.40;27882.10;26066.70;36967.90;48387.00;59941.20;74435.00;84210.90;97226.50
"Value (Mill.USD)";"Mean of production";6917.60;9759.90;10421.20;10524.10;10750.40;14668.20;14930.50;18192.40;23288.00;29833.40;32949.20;39504.10;56788.60;71715.90;63093.20;75496.00;94551.50;103430.20;119933.10;134674.50;151149.00
"Value (Mill.USD)";"Machinery, instrument, accessory";2096.90;3075.00;3511.50;3513.30;3503.60;4781.50;4949.00;5879.90;7983.70;9207.50;9285.30;11040.80;17966.20;22566.70;22081.50;25152.40;31592.90;39911.60;50520.20;56306.60;68000.00
"Value (Mill.USD)";"Fuels, raw material";4820.70;6684.90;6909.70;7010.80;7246.80;9886.70;9981.50;12312.50;15304.30;20625.90;23663.90;28463.30;38822.40;49149.10;41011.70;50343.60;62958.60;63518.60;69412.90;78367.90;83149.00
"Value (Mill.USD)";"Consumer goods";1237.80;1383.70;1171.10;975.50;991.70;968.30;1287.40;1553.20;1967.80;2135.40;2992.50;3508.40;4660.10;6269.90;6473.30;8378.00;10125.30;10249.80;11982.40;13046.40;14421.40
"Value (Mill.USD)";"      Food";..;..;..;..;..;0.30;0.00;0.40;0.70;1.30;3.80;7.20;2.50;3.80;41.20;7.90;3.50;8.40;6.50;5.50;..
"Value (Mill.USD)";"Foodstuffs";289.10;319.20;245.30;276.10;297.90;301.80;479.70;486.20;597.40;776.40;1100.20;1238.90;1555.20;2190.20;2085.50;2838.40;3711.00;3761.60;4564.80;5456.30;..
"Value (Mill.USD)";"Pharmaceutical and medicinal products";69.40;216.50;357.50;325.00;270.50;333.80;328.40;361.40;413.30;439.60;527.10;598.80;763.80;890.20;1158.60;1312.00;1589.80;1868.60;1956.90;2115.70;2321.00
"Value (Mill.USD)";"Others";879.30;848.00;568.30;374.40;423.30;332.40;479.30;705.20;956.40;918.10;1361.40;1663.50;2338.60;3185.70;3188.00;4219.70;4821.00;4611.20;5454.20;5468.90;..
"Value (Mill.USD)";"Non-monetary gold";..;..;..;..;..;..;..;..;..;..;819.40;1878.60;1316.00;2728.00;382.30;964.60;2073.00;100.40;117.10;128.20;..
"Structure (%)";"TOTAL";100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
"Structure (%)";"Domestic economic sector";82.00;81.70;72.40;76.80;71.20;72.20;69.26;66.10;65.10;65.30;62.90;63.30;65.40;65.50;62.70;56.40;54.70;47.30;43.60;43.00;41.30
"Structure (%)";"Foreign invested sector";18.00;18.30;27.60;23.20;28.80;27.80;30.74;33.90;34.90;34.70;37.10;36.70;34.60;34.50;37.30;43.60;45.30;52.70;56.40;57.00;58.70
"Structure (%)";"Mean of production";84.82;87.60;89.90;91.50;91.60;93.80;92.07;92.10;92.20;93.30;89.60;88.00;90.50;88.80;90.20;89.00;88.60;90.90;90.80;91.10;91.30
"Structure (%)";"Machinery, instrument, accessory";25.71;27.60;30.30;30.60;29.90;30.60;30.52;29.80;31.60;28.80;25.30;24.60;28.60;28.00;31.60;29.60;29.60;35.10;38.20;38.10;41.10
"Structure (%)";"Fuels, raw material";59.11;60.00;59.60;61.00;61.70;63.20;61.56;62.30;60.60;64.50;64.40;63.40;61.90;60.80;58.60;59.40;59.00;55.80;52.60;53.00;50.20
"Structure (%)";"Consumer goods";15.18;12.40;10.10;8.50;8.40;6.20;7.94;7.90;7.80;6.70;8.20;7.80;7.40;7.80;9.30;9.90;9.50;9.00;9.10;8.80;8.70
"Structure (%)";"      Food";..;..;..;..;..;0.00;..;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.10;0.00;0.00;0.00;0.00;0.00;..
"Structure (%)";"Foodstuffs";3.54;2.90;2.10;2.40;2.50;1.90;2.96;2.50;2.40;2.40;3.00;2.80;2.50;2.80;3.00;3.30;3.50;3.30;3.50;3.70;..
"Structure (%)";"Pharmaceutical and medicinal products";0.85;1.90;3.10;2.80;2.30;2.20;2.02;1.80;1.60;1.40;1.40;1.30;1.20;1.10;1.70;1.60;1.50;1.60;1.50;1.40;1.40
"Structure (%)";"Others";10.78;7.61;4.95;3.21;3.60;2.10;2.96;3.60;3.80;2.90;3.70;3.70;3.70;3.90;4.50;5.00;4.50;4.10;4.10;3.70;..
"Structure (%)";"Non-monetary gold";..;..;..;..;..;..;..;..;..;..;2.20;4.20;2.10;3.40;0.50;1.10;1.90;0.10;0.10;0.10;..
