"Imports of goods by group country, country and territory (*) by Group country, country and territory and Year"

"Group country, country and territory";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"TOTAL";8155.40;11143.60;11592.30;11499.60;11742.10;15636.50;16218.00;19745.60;25255.80;31968.80;36761.10;44891.10;62764.70;80713.80;69948.80;84838.60;106749.80;113780.40;132032.60;147849.10;165570.40
"ASEAN";2270.10;2905.53;3220.49;3344.40;3290.90;4449.00;4172.30;4769.20;5949.30;7768.50;9326.30;12546.60;15908.20;19567.70;16461.30;16407.50;20910.20;20820.30;21287.10;22918.50;23807.70
"APEC";6493.60;8959.07;9391.50;9444.50;9578.80;13242.90;13185.90;16296.80;20560.10;26386.00;30686.80;37467.70;52637.90;67232.20;58925.10;69924.60;86518.60;94259.80;108579.00;122467.50;138219.80
"EU";710.40;1153.20;1335.21;1246.28;1094.90;1317.40;1506.30;1840.60;2477.70;2681.80;2581.20;3129.20;5142.40;5581.50;5343.30;6361.70;7745.80;8791.00;9425.60;8842.70;10426.40
"OPEC";213.70;207.16;317.71;337.15;396.80;525.90;435.80;628.60;878.00;1122.00;1301.00;1408.80;1758.60;2346.90;710.50;1440.00;2282.20;2314.60;2622.80;2801.30;2094.00
"Brunei";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;10.00;189.20;610.60;607.00;102.30;48.10
"Cambodia";23.50;17.86;24.68;42.06;12.70;37.30;22.80;65.40;94.70;130.60;160.20;169.50;205.50;214.30;197.10;276.60;429.60;542.60;503.60;623.40;955.60
"Indonesia";190.00;148.99;199.97;256.49;286.80;345.40;288.90;362.60;551.50;663.30;700.00;1012.80;1353.90;1728.90;1452.70;1909.20;2247.60;2247.40;2367.40;2488.50;2739.70
"Laos";84.00;68.09;52.68;131.42;197.40;105.70;68.00;62.60;60.70;74.30;97.50;166.60;211.30;278.70;254.20;291.70;460.00;450.90;668.70;802.10;586.70
"Malaysia";190.50;200.29;226.79;248.96;305.00;388.90;464.40;683.30;925.00;1215.30;1256.50;1482.00;2289.90;2596.10;2561.30;3413.40;3919.70;3412.00;4095.90;4203.60;4199.00
"Myanmar";..;0.60;1.40;1.50;1.20;3.60;4.00;5.90;18.30;19.30;45.80;64.60;75.40;75.60;59.10;102.80;84.80;109.50;123.50;134.60;56.10
"Philippines";24.70;28.94;36.33;67.68;47.50;62.90;53.50;100.60;140.90;188.40;209.90;342.60;414.20;389.10;450.70;700.30;805.10;964.50;952.30;674.90;906.10
"Singapore";1425.20;2032.60;2127.96;1963.97;1878.50;2694.30;2478.30;2533.50;2875.80;3618.40;4482.30;6273.90;7613.70;9378.00;7015.20;4101.10;6390.60;6691.00;5685.20;6834.70;6037.10
"Thailand";439.80;494.54;575.17;673.51;561.80;810.90;792.30;955.20;1282.20;1858.60;2374.10;3034.40;3744.20;4905.60;4471.10;5602.30;6383.60;5791.90;6283.40;7053.30;8279.30
