"Monthly consumer price index, gold and USD price index as compared to base preriod 2009 by Year, Commondity group and Month"

"Year";"Commondity group";"Jan.";"Feb.";"Mar.";"Apr.";"May";"Jun.";"Jul.";"Aug.";"Sep.";"Oct.";"Nov.";"Dec."
"2015";" Consumer price index";158.25;158.17;158.41;158.63;158.88;159.44;159.65;159.53;159.20;159.37;159.49;159.51
"2015";"Food and foodstuffs";164.38;165.25;165.84;165.15;164.78;164.73;164.90;165.06;164.85;165.16;165.24;165.50
"2015";"     Food";146.58;146.78;146.42;145.97;145.30;144.40;143.85;143.62;143.27;143.03;143.48;144.13
"2015";"     Foodstuffs";167.72;168.98;169.51;168.59;168.10;168.27;168.67;168.94;168.71;169.28;169.26;169.48
"2015";"Beverage  and  cigarette";143.13;143.94;143.78;143.76;144.05;144.40;144.66;144.76;144.90;145.06;145.30;145.53
"2015";"Garment, footwear, hat";152.70;153.38;153.32;153.54;153.75;154.01;154.40;154.83;155.16;155.47;155.69;156.19
"2015";"Housing & material construction";163.68;163.01;163.27;164.64;166.73;167.23;167.60;166.85;165.71;165.70;166.23;167.06
"2015";"Household equipment & goods";134.70;135.12;135.24;135.45;135.63;135.79;135.98;136.13;136.23;136.39;136.64;136.51
"2015";"Medicaments, health";196.35;196.43;196.51;196.88;196.94;197.69;197.98;198.04;198.89;198.91;199.02;199.29
"2015";"Transport";135.05;129.10;128.69;131.87;133.22;137.93;138.16;135.23;130.94;130.87;130.38;128.33
"2015";"Post and Communication";87.65;87.63;87.62;87.54;87.55;87.52;87.50;87.49;87.42;87.40;87.31;87.29
"2015";"Education";211.26;211.32;211.34;211.36;211.36;211.36;211.38;213.22;215.87;215.97;216.11;216.20
"2015";"Culture, sport, entertainments";127.82;127.88;128.11;128.52;129.02;129.36;129.56;129.62;129.65;129.58;129.66;129.59
"2015";"Other consumer goods & services";158.51;159.68;159.67;159.92;160.19;160.39;160.51;160.48;160.79;160.95;161.06;161.30
"2015";" Gold price index";169.10;173.67;170.84;169.06;168.60;168.47;166.38;159.86;165.52;165.43;164.42;159.81
"2015";" USD price index";123.39;123.15;123.34;124.26;124.71;125.48;125.59;125.98;129.39;129.19;128.79;129.68
"2015";"Commondity group";..;..;..;..;..;..;..;..;..;..;..;..
"Year";" Consumer price index";..;..;..;..;..;..;..;..;..;..;..;..
"Year";"Food and foodstuffs";..;..;..;..;..;..;..;..;..;..;..;..
"Year";"     Food";..;..;..;..;..;..;..;..;..;..;..;..
"Year";"     Foodstuffs";..;..;..;..;..;..;..;..;..;..;..;..
"Year";"Beverage  and  cigarette";..;..;..;..;..;..;..;..;..;..;..;..
"Year";"Garment, footwear, hat";..;..;..;..;..;..;..;..;..;..;..;..
"Year";"Housing & material construction";..;..;..;..;..;..;..;..;..;..;..;..
"Year";"Household equipment & goods";..;..;..;..;..;..;..;..;..;..;..;..
"Year";"Medicaments, health";..;..;..;..;..;..;..;..;..;..;..;..
"Year";"Transport";..;..;..;..;..;..;..;..;..;..;..;..
"Year";"Post and Communication";..;..;..;..;..;..;..;..;..;..;..;..
"Year";"Education";..;..;..;..;..;..;..;..;..;..;..;..
"Year";"Culture, sport, entertainments";..;..;..;..;..;..;..;..;..;..;..;..
"Year";"Other consumer goods & services";..;..;..;..;..;..;..;..;..;..;..;..
"Year";" Gold price index";..;..;..;..;..;..;..;..;..;..;..;..
"Year";" USD price index";..;..;..;..;..;..;..;..;..;..;..;..
"Year";"Commondity group";..;..;..;..;..;..;..;..;..;..;..;..
"2014";" Consumer price index";156.78;157.64;156.95;157.07;157.38;157.86;158.22;158.57;159.20;159.38;158.95;158.57
"2014";"Food and foodstuffs";160.98;162.83;161.27;161.51;161.79;162.24;162.66;163.39;163.75;163.83;163.79;163.92
"2014";"     Food";146.58;147.58;147.39;147.00;146.26;145.63;144.71;145.36;145.87;146.16;146.34;146.54
"2014";"     Foodstuffs";163.62;165.52;162.97;163.41;164.02;164.90;165.84;166.74;167.09;167.11;166.94;167.02
"2014";"Beverage  and  cigarette";139.41;140.25;140.58;140.91;141.09;141.51;141.80;141.98;142.09;142.18;142.35;142.61
