"Monthly consumer price index, gold and USD price index as compared to the same period of previous year by Year, Commondity group and Month"

"Year";"Commondity group";"Jan.";"Feb.";"Mar.";"Apr.";"May";"Jun.";"Jul.";"Aug.";"Sep.";"Oct.";"Nov.";"Dec."
"2015";" Consumer price index";100.94;100.34;100.93;100.99;100.95;101.00;100.90;100.61;100.00;100.00;100.34;100.60
"2015";"Food and foodstuffs";102.11;101.48;102.83;102.25;101.85;101.54;101.37;101.02;100.67;100.81;100.89;100.97
"2015";"     Food";100.00;99.45;99.35;99.30;99.35;99.16;99.41;98.80;98.22;97.86;98.05;98.35
"2015";"     Foodstuffs";102.51;102.09;104.01;103.17;102.49;102.04;101.71;101.32;100.97;101.30;101.39;101.47
"2015";"Beverage and cigarette";102.67;102.63;102.27;102.03;102.10;102.04;102.02;101.96;101.98;102.03;102.07;102.05
"2015";"Garment, footwear, hat";103.38;103.63;103.53;103.41;103.35;103.30;103.35;103.31;103.19;103.20;103.00;102.81
"2015";"Housing & material construction";96.01;96.23;97.10;98.47;99.29;98.99;98.77;98.63;98.33;98.40;99.46;100.95
"2015";"Household equipment & goods";102.26;102.35;102.28;102.20;102.08;102.00;102.01;102.03;101.89;101.78;101.81;101.53
"2015";"Medicaments, health";102.37;102.36;102.33;102.49;102.45;102.09;102.19;102.00;102.20;101.67;101.68;101.79
"2015";"Transport";89.60;85.08;84.85;86.66;87.23;90.15;89.90;88.05;86.86;87.71;89.85;91.26
"2015";"Post and Communication";100.31;100.31;100.32;100.37;100.41;100.51;100.50;100.50;100.43;100.43;100.34;99.52
"2015";"Education";108.32;108.35;108.32;108.27;108.26;108.25;108.23;108.93;103.67;102.38;102.41;102.42
"2015";"Culture, sport, entertainments";101.78;101.22;101.30;101.60;101.73;101.72;101.84;101.82;101.76;101.68;101.65;101.52
"2015";"Other consumer goods & services";103.16;103.36;103.11;103.18;103.13;103.02;102.85;102.65;102.72;102.65;102.49;102.30
"2015";" Gold price index";98.59;99.40;94.64;94.64;95.20;95.23;92.77;89.44;94.17;96.85;97.72;95.03
"2015";" USD price index";101.33;101.15;101.29;102.11;102.51;102.65;102.37;102.96;105.90;105.54;104.98;105.34
"2014";" Consumer price index";105.45;104.65;104.39;104.45;104.72;104.98;104.94;104.31;103.62;103.23;102.60;101.84
"2014";"Food and foodstuffs";104.49;103.34;102.89;103.99;104.53;104.91;105.08;104.99;104.54;103.70;103.03;102.61
"2014";"     Food";103.18;103.50;103.97;104.60;104.79;104.99;104.65;104.39;104.32;103.59;102.39;101.30
"2014";"     Foodstuffs";104.77;102.89;102.28;103.85;104.70;105.30;105.71;105.62;104.93;103.86;103.18;102.84
"2014";"Beverage and cigarette";104.62;103.69;104.02;104.16;103.86;103.84;103.75;103.61;103.46;103.40;103.23;103.14
"2014";"Garment, footwear, hat";105.77;104.86;104.73;104.53;104.36;104.15;104.10;103.98;104.01;103.84;103.83;103.77
"2014";"Housing & material construction";106.19;105.04;104.16;104.04;105.04;105.66;105.67;104.43;103.09;102.50;101.32;98.05
"2014";"Household equipment & goods";103.79;103.40;103.33;103.19;103.07;102.94;102.81;102.67;102.65;102.63;102.55;102.48
"2014";"Medicaments, health";110.96;110.37;110.37;106.56;104.97;105.65;105.65;101.70;101.89;102.33;102.30;102.25
"2014";"Transport";103.83;103.67;103.90;103.01;103.97;104.25;103.32;102.13;100.48;99.63;97.22;94.43
"2014";"Post and Communication";99.48;99.49;99.51;99.52;99.56;99.56;99.55;99.55;99.56;99.56;99.57;100.38
"2014";"Education";111.38;111.36;111.35;111.36;111.35;111.33;111.26;110.51;107.48;108.31;108.24;108.25
"2014";"Culture, sport, entertainments";102.90;103.11;102.96;102.64;102.67;102.54;102.26;102.05;102.05;101.93;101.93;101.86
"2014";"Other consumer goods & services";104.91;104.37;104.44;104.19;104.34;104.42;104.52;104.35;103.10;103.04;103.08;103.27
"2014";" Gold price index";75.57;77.23;82.03;83.31;86.60;90.21;97.58;96.94;93.49;93.54;93.11;96.27
"2014";" USD price index";101.11;101.05;100.66;100.59;100.37;100.57;100.25;99.93;100.04;100.40;100.73;101.03
"2013";" Consumer price index";107.07;107.02;106.64;106.61;106.36;106.69;107.29;107.50;106.30;105.92;105.78;106.04
"2013";"Food and foodstuffs";101.34;101.51;101.81;101.70;101.49;101.64;102.22;102.96;103.55;104.13;104.86;105.08
"2013";"     Food";94.61;95.35;95.95;96.76;96.61;96.77;97.94;99.05;99.11;99.64;100.88;101.98
"2013";"     Foodstuffs";101.50;101.77;102.08;101.70;101.50;101.79;102.43;103.35;104.32;105.11;105.92;106.02
"2013";"Beverage and cigarette";103.90;104.56;104.30;104.20;104.18;104.17;104.13;104.16;104.24;104.19;104.24;104.19
"2013";"Garment, footwear, hat";108.36;108.93;108.68;108.56;108.33;108.11;107.88;107.74;107.56;107.35;106.84;106.20
"2013";"Housing & material construction";107.73;105.60;103.31;103.31;103.77;105.06;106.51;105.31;104.00;103.39;103.27;105.49
"2013";"Household equipment & goods";105.71;105.91;105.58;105.42;105.20;105.06;104.92;104.78;104.70;104.63;104.30;103.95
"2013";"Medicaments, health";155.59;156.04;155.40;160.63;162.63;162.03;156.84;154.86;132.39;125.09;119.04;118.97
"2013";"Transport";106.09;106.70;105.30;103.79;101.85;103.46;107.77;107.81;103.58;102.78;102.40;102.60
"2013";"Post and Communication";99.61;99.74;99.71;99.57;99.50;99.39;99.47;99.46;99.44;99.43;99.42;99.43
"2013";"Education";117.29;117.25;116.01;114.20;114.15;114.07;114.04;114.52;113.32;111.82;111.78;111.71
"2013";"Culture, sport, entertainments";104.35;104.23;104.11;104.17;103.76;104.46;104.55;103.85;103.60;103.49;103.24;103.02
"2013";"Other consumer goods & services";109.52;109.72;109.41;109.36;106.16;105.95;105.68;105.60;106.36;105.85;105.60;105.02
"2013";" Gold price index";102.37;98.80;96.53;96.59;94.17;92.17;86.65;86.57;83.87;77.85;78.60;75.64
"2013";" USD price index";98.91;99.35;100.39;100.47;100.59;100.68;101.42;101.63;101.30;101.06;101.07;101.09
"2012";" Consumer price index";117.27;116.44;114.15;110.54;108.34;106.90;105.35;105.04;106.48;107.00;107.08;106.81
"2012";"Food and foodstuffs";123.02;121.19;117.85;111.87;108.45;106.30;103.60;102.04;101.84;102.07;101.42;101.01
"2012";"     Food";116.16;113.97;110.19;105.71;103.31;102.17;101.54;100.64;99.47;98.59;95.53;94.34
"2012";"     Foodstuffs";125.73;123.57;120.14;112.77;108.64;105.69;101.95;100.13;100.34;101.11;101.16;100.95
"2012";"Beverage and cigarette";110.33;108.94;108.17;107.30;106.78;106.32;106.00;105.68;105.21;104.87;104.85;104.67
"2012";"Garment, footwear, hat";113.07;112.15;111.49;110.32;109.68;109.68;109.37;109.13;108.63;108.55;108.74;109.08
"2012";"Housing & material construction";117.73;119.65;118.08;112.63;108.09;106.18;104.82;106.00;107.91;109.12;109.57;109.18
"2012";"Household equipment & goods";109.96;109.71;108.99;108.07;107.64;107.37;107.14;106.97;106.76;106.30;106.25;106.16
"2012";"Medicaments, health";105.70;105.69;105.45;104.63;103.73;103.95;107.01;112.55;131.34;138.52;145.38;145.23
"2012";"Transport";118.86;117.94;111.74;108.19;106.77;104.61;101.51;102.38;106.56;107.35;107.39;106.76
"2012";"Post and Communication";97.92;97.77;97.73;97.70;99.37;99.36;99.30;99.35;99.43;99.58;99.58;99.65
"2012";"Education";117.05;116.10;116.34;117.89;117.68;117.25;117.07;116.32;118.38;116.86;116.92;116.97
"2012";"Culture, sport, entertainments";108.44;107.67;107.01;105.91;105.65;104.56;104.33;104.96;104.66;104.60;104.98;104.97
"2012";"Other consumer goods & services";112.63;112.11;111.06;110.36;111.47;110.91;110.81;110.16;109.34;109.89;109.68;109.80
"2012";" Gold price index";119.66;124.01;117.58;115.89;111.78;109.12;107.84;99.62;92.67;101.24;98.97;100.40
"2012";" USD price index";102.62;101.24;97.62;99.15;100.19;101.18;101.31;100.89;100.15;99.82;99.03;99.04
"2011";" Consumer price index";112.17;112.31;113.89;117.51;119.78;120.82;122.16;123.02;122.42;121.59;119.83;118.13
"2011";"Food and foodstuffs";116.59;117.23;118.33;124.44;128.34;130.15;132.63;134.06;133.38;131.72;128.04;124.80
