"Monthly consumer price index, gold and USD price index of months compared to December of previous year by Year, Commondity group and Month"

"Year";"Commondity group";"Jan.";"Feb.";"March";"April";"May";"June";"July";"Aug.";"Sep.";"Oct.";"Nov.";"Dec."
"2015";" Consumer price index";99.80;99.75;99.90;100.04;100.20;100.55;100.68;100.61;100.40;100.51;100.58;100.60
"2015";"Food and foodstuffs";100.28;100.81;101.17;100.75;100.53;100.50;100.60;100.70;100.57;100.76;100.81;100.97
"2015";"     Food";100.03;100.16;99.92;99.61;99.15;98.54;98.16;98.01;97.77;97.60;97.91;98.35
"2015";"     Foodstuffs";100.42;101.17;101.49;100.94;100.65;100.75;100.99;101.15;101.01;101.35;101.34;101.47
"2015";"Beverage  and  cigarette";100.37;100.93;100.82;100.81;101.01;101.26;101.44;101.51;101.61;101.72;101.89;102.05
"2015";"Garment, footwear, hat";100.51;100.96;100.92;101.06;101.20;101.38;101.63;101.91;102.13;102.33;102.48;102.81
"2015";"Housing & material construction";98.91;98.50;98.66;99.49;100.75;101.06;101.28;100.82;100.14;100.13;100.45;100.95
"2015";"Household equipment & goods";100.18;100.49;100.58;100.74;100.87;100.99;101.14;101.25;101.32;101.44;101.63;101.53
"2015";"Medicaments, health";100.29;100.33;100.37;100.56;100.59;100.97;101.12;101.16;101.59;101.60;101.65;101.79
"2015";"Transport";96.04;91.80;91.52;93.78;94.74;98.09;98.25;96.16;93.12;93.07;92.72;91.26
"2015";"Post and Communication";99.93;99.91;99.89;99.80;99.81;99.78;99.76;99.74;99.67;99.64;99.54;99.52
"2015";"Education";100.08;100.11;100.12;100.13;100.13;100.13;100.14;101.01;102.26;102.31;102.38;102.42
"2015";"Culture, sport, entertainments";100.13;100.18;100.36;100.68;101.07;101.34;101.50;101.54;101.57;101.51;101.58;101.52
"2015";"Other consumer goods & services";100.53;101.27;101.26;101.43;101.60;101.72;101.80;101.78;101.97;102.08;102.15;102.30
"2015";" Gold price index";100.55;103.26;101.58;100.53;100.25;100.17;98.93;95.05;98.42;98.37;97.77;95.03
"2015";" USD price index";100.23;100.03;100.19;100.93;101.29;101.92;102.01;102.33;105.10;104.94;104.61;105.34
"2015";"Mean of transport & communication";..;..;..;..;..;..;..;..;..;..;..;..
"2014";" Consumer price index";100.69;101.24;100.80;100.88;101.08;101.38;101.62;101.84;102.25;102.36;102.08;101.84
"2014";"Food and foodstuffs";100.77;101.93;100.95;101.10;101.27;101.56;101.82;102.28;102.50;102.56;102.52;102.61
"2014";"     Food";101.33;102.02;101.89;101.62;101.10;100.67;100.03;100.48;100.84;101.04;101.16;101.30
"2014";"     Foodstuffs";100.75;101.92;100.35;100.62;100.99;101.54;102.12;102.67;102.88;102.89;102.79;102.84
"2014";"Beverage  and  cigarette";100.83;101.43;101.68;101.91;102.04;102.35;102.56;102.69;102.77;102.83;102.96;103.14
"2014";"Garment, footwear, hat";100.89;101.10;101.15;101.42;101.62;101.84;102.05;102.37;102.70;102.89;103.24;103.77
"2014";"Housing & material construction";101.02;100.37;99.63;99.07;99.50;100.11;100.55;100.23;99.85;99.77;99.04;98.05
"2014";"Household equipment & goods";100.39;100.61;100.77;101.01;101.27;101.47;101.60;101.69;101.91;102.13;102.29;102.48
"2014";"Medicaments, health";100.17;100.22;100.29;100.33;100.39;101.13;101.18;101.41;101.64;102.18;102.22;102.25
"2014";"Transport";101.22;101.89;101.86;102.19;102.56;102.75;103.20;103.14;101.23;100.20;97.44;94.43
"2014";"Post and Communication";100.00;99.98;99.95;99.81;99.78;99.65;99.64;99.62;99.62;99.59;99.58;100.38
"2014";"Education";100.01;100.02;100.05;100.11;100.12;100.13;100.16;100.38;106.78;108.18;108.22;108.25
"2014";"Culture, sport, entertainments";100.21;100.82;100.92;100.94;101.20;101.48;101.52;101.58;101.67;101.69;101.79;101.86
"2014";"Other consumer goods & services";100.63;101.18;101.42;101.51;101.73;101.96;102.21;102.39;102.52;102.69;102.92;103.27
"2014";" Gold price index";98.18;100.02;103.33;102.25;101.38;101.26;102.66;102.31;100.61;97.77;96.32;96.27
"2014";" USD price index";99.94;99.91;99.93;99.87;99.83;100.32;100.68;100.42;100.27;100.45;100.68;101.03
"2014";"Mean of transport & communication";..;..;..;..;..;..;..;..;..;..;..;..
"2013";" Consumer price index";99.94;99.91;99.93;99.87;99.83;100.32;100.68;100.42;100.27;100.45;100.68;101.03
"2013";"Food and foodstuffs";101.34;103.65;103.10;102.16;101.81;101.72;101.83;102.38;103.04;103.93;104.57;105.08
"2013";"     Food";100.15;100.52;99.93;99.07;98.38;97.77;97.48;98.16;98.57;99.46;100.75;101.98
"2013";"     Foodstuffs";101.96;105.02;104.02;102.73;102.27;102.24;102.42;103.06;103.95;105.04;105.62;106.02
"2013";"Beverage  and  cigarette";100.42;101.93;101.84;101.95;102.36;102.69;102.99;103.27;103.50;103.62;103.91;104.19
"2013";"Garment, footwear, hat";101.30;102.39;102.58;103.04;103.41;103.85;104.10;104.56;104.87;105.23;105.60;106.20
"2013";"Housing & material construction";100.36;100.81;100.90;100.46;99.93;99.95;100.38;101.26;102.18;102.69;103.11;105.49
"2013";"Household equipment & goods";100.54;101.14;101.38;101.76;102.13;102.46;102.73;102.96;103.19;103.44;103.69;103.95
"2013";"Medicaments, health";107.40;108.02;108.10;112.01;113.78;113.88;113.94;118.62;118.67;118.79;118.87;118.97
"2013";"Transport";100.03;100.84;100.59;101.80;101.21;101.12;102.48;103.62;103.37;103.19;102.84;102.60
"2013";"Post and Communication";99.95;99.92;99.87;99.72;99.65;99.52;99.52;99.50;99.49;99.46;99.44;99.43
"2013";"Education";100.30;100.33;100.37;100.42;100.44;100.47;100.56;101.47;110.98;111.57;111.68;111.71
"2013";"Culture, sport, entertainments";100.33;100.73;100.98;101.32;101.55;101.96;102.27;102.55;102.64;102.78;102.89;103.02
"2013";"Other consumer goods & services";100.74;101.82;101.98;102.32;102.40;102.55;102.70;103.06;104.43;104.67;104.86;105.02
"2013";" Gold price index";98.27;97.95;95.27;92.83;88.54;84.90;79.57;79.83;81.40;79.06;78.24;75.64
"2013";" USD price index";99.92;99.95;100.36;100.37;100.55;100.84;101.53;101.59;101.32;101.14;101.04;101.09
"2013";"Mean of transport & communication";..;..;..;..;..;..;..;..;..;..;..;..
"2012";" Consumer price index";101.00;102.38;102.55;102.60;102.78;102.52;102.22;102.86;105.13;106.02;106.52;106.81
"2012";"Food and foodstuffs";101.01;103.14;102.29;101.47;101.32;101.09;100.62;100.44;100.52;100.81;100.73;101.01
"2012";"     Food";99.86;99.45;98.25;96.59;96.07;95.32;93.90;93.49;93.82;94.17;94.21;94.34
"2012";"     Foodstuffs";101.41;104.18;102.88;101.98;101.72;101.40;100.94;100.67;100.60;100.88;100.67;100.95
"2012";"Beverage  and  cigarette";101.17;102.04;102.20;102.41;102.85;103.19;103.53;103.78;103.92;104.10;104.34;104.67
"2012";"Garment, footwear, hat";101.97;102.53;102.95;103.53;104.13;104.77;105.26;105.86;106.34;106.93;107.82;109.08
"2012";"Housing & material construction";101.71;104.22;106.63;106.16;105.13;103.86;102.89;104.98;107.27;108.44;109.01;109.18
"2012";"Household equipment & goods";100.96;101.37;101.93;102.47;103.06;103.53;103.94;104.31;104.63;104.95;105.53;106.16
"2012";"Medicaments, health";100.25;100.54;101.02;101.28;101.61;102.08;105.51;111.25;130.18;137.91;145.03;145.23
"2012";"Transport";100.66;100.89;101.98;104.70;106.09;104.35;101.52;102.60;106.53;107.18;107.22;106.76
"2012";"Post and Communication";99.99;99.83;99.81;99.80;99.80;99.78;99.70;99.69;99.70;99.68;99.67;99.65
"2012";"Education";100.02;100.09;101.20;102.85;102.92;103.03;103.14;103.63;114.56;116.71;116.86;116.97
"2012";"Culture, sport, entertainments";100.93;101.45;101.82;102.09;102.74;102.46;102.69;103.66;104.00;104.25;104.62;104.97
"2012";"Other consumer goods & services";101.00;101.90;102.35;102.74;105.91;106.28;106.71;107.15;107.81;108.57;109.03;109.80
"2012";" Gold price index";96.38;99.53;99.09;96.50;94.40;92.49;92.20;92.58;97.44;101.96;99.94;100.40
"2012";" USD price index";100.05;99.64;99.01;98.94;99.00;99.20;99.15;99.00;99.06;99.12;99.01;99.04
"2012";"Mean of transport & communication";..;..;..;..;..;..;..;..;..;..;..;..
"2011";" Consumer price index";101.74;103.87;106.12;109.64;112.07;113.29;114.61;115.68;116.63;117.05;117.50;118.13
"2011";"Food and foodstuffs";102.47;106.21;108.31;113.19;116.59;118.68;121.20;122.83;123.18;123.25;123.94;124.80
"2011";"     Food";102.28;103.82;106.09;108.71;110.63;111.00;109.80;110.53;112.22;113.64;117.34;118.98
"2011";"     Foodstuffs";102.74;107.39;109.08;115.20;119.27;122.21;126.12;128.08;127.72;127.09;126.76;127.38
"2011";"Beverage  and  cigarette";101.67;103.85;104.76;105.82;106.79;107.60;108.28;108.88;109.52;110.06;110.33;110.87
"2011";"Garment, footwear, hat";101.81;103.21;104.25;105.95;107.19;107.85;108.65;109.51;110.51;111.21;111.93;112.90
"2011";"Housing & material construction";101.33;102.17;105.92;110.56;114.09;114.73;115.14;116.16;116.59;116.56;116.70;117.29
