"Monthly consumer price index by Months and Year"

"Months";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"January";103.80;100.90;100.80;101.60;101.70;100.40;100.30;101.10;100.90;101.10;101.10;101.20;101.10;102.38;100.32;101.36;101.74;101.00;101.25;100.69;99.80
"February";103.40;102.50;101.80;102.20;101.90;101.60;100.40;102.20;102.20;103.00;102.50;102.10;102.20;103.56;101.17;101.96;102.09;101.37;101.32;100.55;99.95
"March";100.20;100.80;99.50;99.20;99.30;98.90;99.30;99.20;99.40;100.80;100.10;99.50;99.80;102.99;99.83;100.75;102.17;100.16;99.81;99.56;100.15
"April";101.00;100.10;99.40;101.60;99.40;99.30;99.50;100.00;100.00;100.50;100.60;100.20;100.50;102.20;100.35;100.14;103.32;100.05;100.02;100.08;100.14
"May";101.80;99.50;99.50;101.40;99.60;99.40;99.80;100.30;99.90;100.90;100.50;100.60;100.80;103.91;100.44;100.27;102.21;100.18;99.94;100.20;100.16
"June";100.80;99.50;100.10;100.00;99.70;99.50;100.00;100.10;99.70;100.80;100.40;100.40;100.90;102.14;100.55;100.22;101.09;99.74;100.05;100.30;100.35
"July";100.00;99.30;100.20;99.50;99.60;99.40;99.80;99.90;99.70;100.50;100.40;100.40;100.90;101.13;100.52;100.06;101.17;99.71;100.27;100.23;100.13
"August";100.30;99.60;100.10;101.10;99.60;100.10;100.00;100.10;99.90;100.60;100.40;100.40;100.60;101.56;100.24;100.23;100.93;100.63;100.83;100.22;99.93
"September";100.50;100.30;100.60;101.00;99.40;99.80;100.50;100.20;100.10;100.30;100.80;100.30;100.50;100.18;100.62;101.31;100.82;102.20;101.06;100.40;99.79
"October";100.10;100.10;100.30;100.30;99.00;100.10;100.00;100.30;99.80;100.00;100.40;100.20;100.70;99.81;100.37;101.05;100.36;100.85;100.49;100.11;100.11
"November";100.10;100.90;100.30;100.10;100.40;100.90;100.20;100.30;100.60;100.20;100.40;100.60;101.20;99.24;100.55;101.86;100.39;100.47;100.34;99.73;100.07
"December";100.30;101.00;101.00;100.80;100.50;100.10;101.00;100.30;100.80;100.60;100.80;100.50;102.90;99.32;101.38;101.98;100.53;100.27;100.51;99.76;100.02
"Monthly average";101.00;100.40;100.30;100.70;100.00;100.00;100.10;100.30;100.20;100.80;100.70;100.50;101.00;101.54;100.53;100.93;101.40;100.55;100.49;100.15;100.05
"December of report year compared with December of previous year";112.70;104.50;103.60;109.20;100.10;99.40;100.80;104.00;103.00;109.50;108.40;106.60;112.60;119.89;106.52;111.75;118.13;106.81;106.04;101.84;100.60
"Previous year = 100";..;..;..;..;..;98.40;..;103.90;103.10;107.80;108.30;107.50;108.30;122.97;106.88;109.19;118.58;109.21;106.60;104.09;100.63
"Year 2000 = 100";..;..;..;..;..;100.00;..;104.30;107.60;115.90;125.50;134.90;146.30;179.64;192.00;209.64;248.60;271.49;289.41;301.26;303.16
"Year 2005 = 100";..;..;..;..;..;..;..;..;..;..;100.00;105.74;114.51;140.81;150.49;164.32;194.84;212.79;226.83;236.12;237.61
"Year 2010 = 100";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;100.00;118.58;129.49;138.04;143.69;144.60
