"Number of commercial centers as of annual December 31st by province by Cities, provinces and Year"

"Cities, provinces";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"WHOLE COUNTRY";72;85;101;116;115;130;139;174
"Red River Delta";24;26;33;38;36;33;40;60
"Ha Noi";11;13;18;20;15;16;19;24
"Vinh Phuc";..;..;..;..;2;..;2;2
"Bac Ninh";..;..;..;..;..;1;1;2
"Quang Ninh";2;2;3;4;4;4;4;5
"Hai Duong";1;1;1;1;1;1;1;1
"Hai Phong";7;7;7;9;7;7;9;10
"Thai Binh";1;1;2;2;2;2;1;12
"Ha Nam";2;2;2;2;2;1;2;2
"Ninh Binh";..;..;..;..;3;1;1;2
"Northern midlands and mountain areas";4;6;9;7;10;10;13;16
"Lao Cai";1;2;1;1;1;1;1;1
"Yen Bai";..;..;1;1;1;..;..;..
"Thai Nguyen";..;..;..;..;..;..;..;3
"Lang Son";1;1;3;1;1;3;2;2
"Bac Giang";1;1;1;1;1;1;3;3
"Phu Tho";..;..;..;..;1;..;1;1
"Dien Bien";..;..;1;1;2;1;2;2
"Lai Chau";..;..;..;..;1;2;2;2
"Hoa Binh";1;2;2;2;2;2;2;2
"North Central and Central coastal areas";15;16;18;22;24;35;23;27
"Thanh Hoa";2;2;2;3;4;4;5;3
"Nghe An";4;4;4;4;4;2;2;4
"Ha Tinh";1;1;1;1;3;15;1;2
"Quang Binh";..;..;..;..;..;1;1;1
"Quang Tri";3;3;2;1;2;1;1;1
"Thua Thien - Hue";1;2;2;2;2;2;2;2
"Da Nang";2;2;4;6;6;5;5;6
"Quang Nam";1;1;1;1;..;1;..;1
"Binh Dinh";1;1;2;3;2;2;3;3
"Khanh Hoa";..;..;..;1;1;1;2;2
"Ninh Thuan";..;..;..;..;..;..;..;1
"Binh Thuan";..;..;..;..;..;1;1;1
"Central Highlands";..;1;1;1;1;1;5;3
"Lam Dong";..;1;1;1;..;..;2;1
"Dak Lak";..;..;..;..;1;1;3;2
"South East";26;31;36;44;40;46;52;57
"Binh Phuoc";..;..;2;..;2;3;3;3
"Tay Ninh";2;2;2;3;3;3;3;2
"Binh Duong";5;5;5;7;7;5;7;7
"Dong Nai";..;2;2;6;1;2;3;5
"Ba Ria - Vung Tau";1;1;1;1;1;2;3;3
"TP. Ho Chi Minh";18;21;24;27;26;31;33;37
"Mekong River Delta";3;5;4;4;4;5;6;11
"Tien Giang";2;3;1;1;1;1;..;..
"Ben Tre";..;..;..;..;..;..;..;1
"Vinh Long";..;..;1;1;..;..;..;..
"Dong Thap";..;..;..;..;..;..;..;2
"An Giang";1;1;1;1;1;1;1;2
"Can Tho";..;..;..;..;1;2;4;5
"Ca Mau";..;1;1;1;1;1;1;1
