"Number of foreign visitors to Vietnam by some nationalities by Some nationalities and Year"

"Some nationalities";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"TOTAL";5049.8;6014.0;6847.7;7572.4;7959.9;7943.6
"Belgian";20.4;21.9;18.9;21.6;23.2;23.9
"Cambodian";254.6;423.4;331.9;342.3;404.2;227.1
"Canadian";102.2;106.4;113.6;105.0;104.3;105.7
"Chinese";905.4;1416.8;1428.7;1907.8;1947.2;1780.9
"Taiwanese";334.0;361.1;409.4;399.0;389.0;438.7
"Danish";24.4;25.7;28.0;25.6;27.0;27.4
"German";123.2;113.9;106.6;97.7;142.3;149.1
"Dutch";43.8;45.0;45.9;47.4;49.1;53.0
"Korean";495.9;536.4;700.9;748.7;848.0;1113.0
"American";431.0;439.9;443.8;432.2;443.8;491.2
"Indonesian";51.5;55.4;60.9;70.4;68.6;62.2
"Italian";24.7;28.3;31.3;32.1;36.4;40.3
"Laotian";37.4;118.5;150.7;122.8;136.6;114.0
"Russian";82.8;101.6;174.3;298.1;364.9;338.8
"Malaysian";211.3;233.1;299.0;339.5;333.0;346.6
"Norwegian";16.8;19.5;19.9;21.2;22.7;21.4
"Japanese";442.1;481.5;576.4;604.1;648.0;671.4
"New Zealander";24.6;26.5;26.6;31.0;33.1;32.0
"Australian";278.2;289.8;289.8;319.6;321.1;303.7
"French";199.4;211.4;219.7;209.9;213.7;211.6
"Philippine";69.2;86.8;99.2;100.5;103.4;99.8
"Spanish";29.6;32.5;31.3;33.2;40.7;44.9
"Thai";222.8;181.8;225.9;269.0;246.9;214.6
"Swedish";27.5;30.0;35.7;31.5;32.5;32.0
"Swiss";25.3;25.5;28.7;28.4;29.7;28.8
"British";139.2;156.3;170.3;184.7;202.3;212.8
"Singaporean";170.7;172.5;196.2;195.8;202.4;236.5
