"Percentage of goods export, goods import over GDP by Export and import and Year"

"Export and import";"2005";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015 (*)"
"EXPORTS";56.3;57.2;65.3;72.7;73.8;77.1;80.7;83.8
"Heavy industrial products and minerals";20.3;17.7;20.3;26.1;31.1;34.7;35.5;37.9
"Light industrial and handicraft products";23.1;25.6;30.1;30.3;27.9;29.2;31.7;33.7
"Agricultural products";7.7;8.4;9.6;10.8;9.9;8.2;8.2;8.8
"Forest products";0.4;0.5;0.7;0.9;0.9;1.1;1.1;..
"Fishery products";4.7;4.2;4.5;4.6;3.9;3.9;4.2;3.4
"Non-monetary gold'";0.0;0.8;0.0;0.0;0.1;0.0;0.0;0.0
"IMPORTS";63.8;70.1;76.6;80.1;73.3;77.1;79.4;85.6
"Capital goods";57.2;63.2;68.2;71.0;66.6;70.0;72.3;78.2
"Machinery, instrument, accessory";16.1;22.1;22.7;23.7;25.7;29.5;30.2;35.2
"Fuels, raw materials";41.1;41.1;45.5;47.3;40.9;40.5;42.1;43.0
"Consumer goods";5.2;6.5;7.6;7.6;6.6;7.0;7.0;7.4
"Food";0.0;0.0;0.0;0.0;0.0;0.0;0.0;..
"Foodstuffs";1.9;2.1;2.6;2.8;2.4;2.7;2.9;..
"Pharmaceutical & medicinal products";0.9;1.2;1.2;1.2;1.2;1.1;1.1;1.2
"Others";2.4;3.2;3.8;3.6;3.0;3.2;3.0;..
"Non-monetary gold";1.4;0.4;0.9;1.6;0.1;0.1;0.1;0.0
