"Producer's price index of agricultural, forestry and fishing products (Previous year  = 100) by Items and Year"

"Items";"2005";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"GENERAL INDEX";105.90;104.46;114.40;131.60;97.87;100.57;104.62;99.72
"Agricultural";105.50;104.47;114.30;133.50;95.49;99.41;103.85;100.48
"Non-perennial crops products";..;106.85;116.80;126.80;92.44;101.34;103.32;99.24
"Perennial crops products";..;98.75;124.50;151.18;91.69;98.20;100.00;100.41
"Livestock products";..;100.20;102.00;140.80;98.37;97.62;108.48;102.59
"Support activities to agriculture";..;115.81;111.40;117.23;133.62;113.76;103.44;103.12
"Forestry";104.90;114.85;110.30;113.56;112.25;108.85;108.28;104.31
"Silviculture and other forestry activities";104.10;108.69;108.90;115.13;100.89;103.79;103.08;100.74
"Logging";105.00;115.76;110.40;113.32;113.40;109.92;108.88;104.70
"Gathering";..;..;..;126.62;104.33;101.99;107.09;103.59
"Support services to forestry";..;..;..;111.18;111.05;104.23;106.57;102.47
"Fishing";108.30;102.53;115.00;126.33;106.13;103.66;106.64;96.61
"Fishing'";109.50;107.29;111.40;127.10;111.14;102.57;102.59;100.98
"Aquaculture";106.70;99.78;116.90;125.78;103.07;104.40;109.27;93.96
