"Producer's price index of agricultural, forestry and fishing products (Year 2010  = 100) by Items and Year"

"Items";"2005";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"GENERAL INDEX";50.71;87.41;100.00;131.60;128.80;129.53;135.51;135.13
"Agricultural";47.28;87.49;100.00;133.50;127.48;126.72;131.60;132.23
"Non-perennial crops products";..;85.62;100.00;126.80;117.21;118.78;122.71;121.78
"Perennial crops products";..;80.32;100.00;151.18;138.62;136.13;136.13;136.69
"Livestock products";..;98.04;100.00;140.80;138.50;135.21;146.67;150.47
"Support activities to agriculture";..;89.77;100.00;117.23;156.64;178.19;184.33;190.09
"Forestry";55.81;90.66;100.00;113.56;127.47;138.76;150.24;156.72
"Silviculture and other forestry activities";70.23;91.83;100.00;115.13;116.15;120.56;124.26;125.19
"Logging";52.26;90.58;100.00;113.32;128.50;141.26;153.80;161.02
"Gathering";..;..;100.00;126.62;132.10;134.74;144.29;149.48
"Support services to forestry";..;..;100.00;111.18;123.47;128.69;137.15;140.54
"Fishing";63.18;86.96;100.00;126.33;134.07;138.98;148.21;143.18
"Fishing'";56.39;89.77;100.00;127.10;141.26;144.88;148.64;150.10
"Aquaculture";67.11;85.54;100.00;125.78;129.64;135.35;147.90;138.97
