"Producer's price index of industrial products (Previous year = 100) by Industrial products and Year"

"Industrial products";"2005";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"GENERAL INDEX";104.40;107.41;112.63;118.43;103.43;105.25;103.26;99.42
"Products of mining and quarrying";106.50;104.39;135.10;130.33;121.73;106.68;108.29;88.76
"Coal and lignite";102.30;107.18;119.19;108.77;149.97;115.21;117.40;99.93
"Crude oil, natural gas";108.60;95.02;152.96;157.10;101.08;96.27;97.45;55.47
"Metal ores";103.90;105.67;110.23;136.36;118.26;104.03;110.78;94.83
"Mining products other";103.20;120.40;109.96;120.32;103.81;104.64;103.64;101.79
"Manufacturing of food products";103.80;107.88;107.95;116.49;102.90;103.44;101.09;100.04
"Food products";102.70;110.00;113.59;120.60;103.90;103.51;102.96;98.97
"Beverage";102.70;114.88;107.30;107.16;102.18;102.69;101.73;103.87
"Tobacco";100.60;116.20;109.63;113.32;105.79;109.10;104.09;100.20
"Textile products";107.60;100.31;114.28;124.72;108.05;100.73;100.42;98.89
"Garment";100.50;106.57;106.12;111.83;111.64;106.27;106.90;104.24
"Leather and related products";104.70;119.76;112.51;117.44;109.11;107.94;103.44;102.01
"Wood, banjo, species of bamboo";103.10;111.39;110.41;112.13;107.32;103.76;103.32;101.88
"Paper and paper products";97.80;111.24;105.80;111.53;110.40;101.20;101.14;101.42
"Printing and service activities related to printing";102.90;129.09;107.18;107.23;113.09;105.80;106.09;105.36
"Chemical";100.80;108.44;107.46;119.27;101.12;103.34;100.98;100.62
"Manufacture of pharmaceuticals, medicinal chemical and botanical products";101.00;129.15;115.74;115.88;96.70;101.82;103.04;102.95
"Rubber, plastic products";129.70;104.29;111.75;117.94;107.91;100.55;100.93;99.31
"Non metal products";107.50;107.52;106.18;119.40;99.78;101.80;100.88;101.35
"Metal";108.60;92.28;109.92;120.51;98.20;100.91;97.78;97.43
"Machinery and equipment";100.50;97.84;99.96;101.17;108.19;103.80;99.92;97.37
"Electrical equipment";103.00;94.18;117.73;122.58;96.80;100.35;99.72;98.78
"Machinery and equipment n.e.c";98.70;105.76;103.69;108.09;97.45;106.94;102.02;100.82
"Trailer and motor vehicles";100.50;105.15;99.92;107.73;98.59;99.37;99.57;99.19
"Other transport means";101.50;110.83;100.30;103.32;103.69;107.13;103.79;101.29
"Wardrobe, table, chair products";100.60;108.23;109.26;113.31;100.89;118.67;110.36;100.25
"Electricity power generation and distribution";107.60;116.07;113.47;116.29;100.04;109.20;110.19;105.78
"Water supply; sewerage and remediation activities";100.50;112.13;105.41;108.19;115.02;106.22;102.73;102.79
