"Producer's price index of industrial products (Year 2010 = 100) by Industrial products and Year"

"Industrial products";"2005";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"GENERAL INDEX";60.98;88.79;100.00;118.43;122.50;128.93;133.13;132.35
"Products of mining and quarrying";47.86;74.02;100.00;130.33;158.66;169.26;183.31;162.70
"Coal and lignite";63.59;83.90;100.00;108.77;163.12;187.94;220.64;220.48
"Crude oil, natural gas";37.56;65.38;100.00;157.10;158.79;152.88;148.97;82.64
"Metal ores";63.24;90.72;100.00;136.36;161.26;167.76;185.84;176.24
"Mining products other";55.18;90.94;100.00;120.32;124.90;130.70;135.45;137.88
"Manufacturing of food products";64.00;92.64;100.00;116.49;119.87;123.99;125.34;125.39
"Food products";57.95;88.04;100.00;120.60;125.30;129.70;133.53;132.15
"Beverage";63.14;93.20;100.00;107.16;109.50;112.44;114.38;118.80
"Tobacco";61.57;91.22;100.00;113.32;119.88;130.79;136.15;136.42
"Textile products";70.74;87.50;100.00;124.72;134.76;135.75;136.31;134.79
"Garment";73.56;94.23;100.00;111.83;124.84;132.67;141.82;147.84
"Leather and related products";59.61;88.88;100.00;117.44;128.14;138.31;143.05;145.93
"Wood, banjo, species of bamboo";55.72;90.57;100.00;112.13;120.33;124.85;128.99;131.42
"Paper and paper products";47.48;94.52;100.00;111.53;123.13;124.60;126.01;127.80
"Printing and service activities related to printing";42.18;93.30;100.00;107.23;121.26;128.29;135.98;143.27
"Chemical";58.22;93.06;100.00;119.27;120.60;124.63;125.87;126.64
"Manufacture of pharmaceuticals, medicinal chemical and botanical products";59.82;86.40;100.00;115.88;112.06;114.10;117.57;121.03
"Rubber, plastic products";62.87;89.49;100.00;117.94;127.26;127.96;129.14;128.25
"Non metal products";66.63;94.18;100.00;119.40;119.13;121.27;122.34;124.00
"Metal";62.68;90.98;100.00;120.51;118.34;119.41;116.76;113.76
"Machinery and equipment";106.13;100.04;100.00;101.17;109.46;113.62;113.52;110.54
"Electrical equipment";72.49;84.94;100.00;122.58;118.66;119.08;118.75;117.29
"Machinery and equipment n.e.c";71.43;96.44;100.00;108.09;105.33;112.64;114.91;115.86
"Trailer and motor vehicles";95.09;100.08;100.00;107.73;106.21;105.55;105.09;104.23
"Other transport means";71.57;99.70;100.00;103.32;107.14;114.78;119.12;120.65
"Wardrobe, table, chair products";65.08;91.52;100.00;113.31;114.32;135.67;149.73;150.11
"Electricity power generation and distribution";64.91;88.13;100.00;116.29;116.34;127.04;139.97;148.07
"Water supply; sewerage and remediation activities";73.75;94.87;100.00;108.19;124.44;132.18;135.78;139.56
