"Retail sales of goods and services at current prices by kind of economic activity by Items, Year and Kinds of economic activity"

"Items";"Year";"Total";"Retail sale";"Accommodation, food and beverage service";"Service and tourism"
"Value (Bill.dongs)";"1990";19031.2;16747.4;2283.8;..
"Value (Bill.dongs)";"1991";33403.6;29183.3;4220.3;..
"Value (Bill.dongs)";"1992";51214.5;44778.3;6436.2;..
"Value (Bill.dongs)";"1993";67273.3;58424.4;8848.9;..
"Value (Bill.dongs)";"1994";93490.0;74091.0;11656.0;7743.0
"Value (Bill.dongs)";"1995";121160.0;94863.0;16957.0;9340.0
"Value (Bill.dongs)";"1996";145874.0;117547.0;18950.0;9377.0
"Value (Bill.dongs)";"1997";161899.7;131770.4;20523.5;9605.8
"Value (Bill.dongs)";"1998";185598.1;153780.6;21587.7;10229.8
"Value (Bill.dongs)";"1999";200923.7;166989.0;21672.1;12262.6
"Value (Bill.dongs)";"2000";220410.6;183864.7;23506.2;13039.7
"Value (Bill.dongs)";"2001";245315.0;200011.0;30535.0;14769.0
"Value (Bill.dongs)";"2002";280884.0;221569.7;35783.8;23530.5
"Value (Bill.dongs)";"2003";333809.3;262832.6;39382.3;31594.4
"Value (Bill.dongs)";"2004";398524.5;314618.0;45654.4;38252.1
"Value (Bill.dongs)";"2005";480293.5;373879.4;58429.3;47984.8
"Value (Bill.dongs)";"2006";596207.1;463144.1;71314.9;61748.1
"Value (Bill.dongs)";"2007";746159.4;574814.4;90101.1;81243.9
"Value (Bill.dongs)";"2008";1007213.5;781957.1;113983.2;111273.2
"Value (Bill.dongs)";"2009";1405864.6;1116476.6;158847.9;130540.1
"Value (Bill.dongs)";"2010";1677344.7;1254200.0;212065.2;211079.5
"Value (Bill.dongs)";"2011";2079523.5;1535600.0;260325.9;283597.6
"Value (Bill.dongs)";"2012";2369130.6;1740359.7;305651.0;323119.9
"Value (Bill.dongs)";"2013";2615203.6;1964666.5;315873.2;334663.9
"Value (Bill.dongs)";"2014";2916233.9;2189448.4;353306.5;373479.0
"Value (Bill.dongs)";" Prel. 2015";3186572.2;2413429.0;373475.8;399667.4
"Structure (%)";"1990";100.0;88.0;12.0;..
"Structure (%)";"1991";100.0;87.4;12.6;..
"Structure (%)";"1992";100.0;87.4;12.6;..
"Structure (%)";"1993";100.0;86.8;13.2;..
"Structure (%)";"1994";100.0;79.3;12.5;8.2
"Structure (%)";"1995";100.0;78.3;14.0;7.7
"Structure (%)";"1996";100.0;80.6;13.0;6.4
"Structure (%)";"1997";100.0;81.4;12.7;5.9
"Structure (%)";"1998";100.0;82.9;11.6;5.5
"Structure (%)";"1999";100.0;83.1;10.8;6.1
"Structure (%)";"2000";100.0;83.4;10.7;5.9
"Structure (%)";"2001";100.0;81.5;12.5;6.0
"Structure (%)";"2002";100.0;78.9;12.7;8.4
"Structure (%)";"2003";100.0;78.7;11.8;9.5
"Structure (%)";"2004";100.0;78.9;11.5;9.6
"Structure (%)";"2005";100.0;77.8;12.2;10.0
"Structure (%)";"2006";100.0;77.7;12.0;10.3
"Structure (%)";"2007";100.0;77.0;12.1;10.9
"Structure (%)";"2008";100.0;77.6;11.3;11.1
"Structure (%)";"2009";100.0;79.4;11.3;9.3
"Structure (%)";"2010";100.0;74.8;12.6;12.6
"Structure (%)";"2011";100.0;73.9;12.5;13.6
"Structure (%)";"2012";100.0;73.5;12.9;13.6
"Structure (%)";"2013";100.0;75.1;12.1;12.8
"Structure (%)";"2014";100.0;75.1;12.1;12.8
"Structure (%)";" Prel. 2015";100.0;75.7;11.7;12.6
