"Retail sales of goods and services at current prices by province (*) by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"WHOLE COUNTRY";119569.6;144102.6;159701.6;183212.1;198292.2;220410.6;245315.0;280884.0;333809.3;398524.5;480293.5;596207.1;746159.4;1007213.5;1238145.0;1677344.7;2079523.5;2369130.6;2615203.6;2951498.3;2951499.3
"Red River Delta";23749.4;29532.0;31637.0;36636.2;39745.3;46596.2;52742.0;62230.0;72991.2;87851.4;106737.9;136853.8;171585.0;237424.5;282715.7;363695.4;445164.9;513143.1;585147.3;651414.3;651415.3
"Ha Noi";12190.0;13917.0;14710.0;15986.0;17743.0;21973.0;23682.0;27842.0;30906.6;37045.9;44823.1;55817.7;67987.9;133312.0;157217.8;197469.9;228127.0;268332.9;307745.4;342882.8;342883.8
"Ha Tay";1316.5;1672.6;1771.3;2287.2;2436.6;2763.0;3151.0;3626.0;6539.7;8116.6;10321.9;18850.1;24509.1;..;..;..;..;..;..;..;..
"Vinh Phuc";995.1;1278.8;1226.3;1815.8;2008.5;2133.8;2208.0;2335.0;2577.2;2974.7;3632.1;4914.8;7291.6;9997.4;11896.3;17031.3;21420.5;24310.9;25104.9;29113.5;29114.5
"Bac Ninh";2964.4;3163.1;3178.2;3203.6;3276.5;1490.5;1779.0;2090.0;2664.3;3400.9;4116.0;5050.1;6680.4;9888.2;13520.8;18701.0;19790.4;23069.8;26247.0;29158.0;29159.0
"Quang Ninh";1594.0;2489.0;2588.1;3594.4;3126.9;3476.5;5509.0;6194.0;6844.9;8571.2;10315.6;11782.6;14087.4;18557.7;20486.4;25364.6;32003.8;36680.6;43425.4;47037.2;47038.2
"Hai Duong";286.6;539.2;703.1;974.0;1221.9;2968.9;2922.0;3441.0;3773.9;4117.4;4638.0;5371.0;6532.0;8690.7;9757.5;13394.0;23427.3;27081.0;30869.7;32731.2;32732.2
"Hai Phong";818.2;1476.0;1909.1;2169.5;2843.0;3935.0;4722.0;6626.0;7707.2;9268.2;11551.8;13737.9;17740.4;22493.5;27496.2;38445.6;53967.8;57673.0;62523.5;70611.3;70612.3
"Hung Yen";420.8;714.6;913.0;1085.5;1264.8;1404.1;1752.0;2221.0;2573.3;3015.2;3577.1;4226.4;5271.7;6645.5;7919.1;10086.0;12556.8;14352.2;16589.3;18482.0;18483.0
"Thai Binh";461.1;725.4;916.9;1160.2;1275.5;1364.2;1524.0;1912.0;2796.9;3414.4;4174.9;5337.4;6695.6;8835.5;10995.9;13612.8;17733.7;19859.3;22629.9;26099.1;26100.1
"Ha Nam";1229.8;1764.6;1833.9;2319.9;2385.7;1460.2;1572.0;1714.0;1895.0;2222.4;2593.5;3174.1;4037.5;4452.6;5786.7;7131.7;7419.3;9184.7;10654.8;11984.9;11985.9
"Nam Dinh";1004.5;1211.3;1195.9;1200.3;1197.8;2485.0;2638.0;2776.0;3045.2;3578.0;4203.6;5051.5;6103.0;7906.3;9406.3;11859.6;14653.4;16972.2;20298.5;23413.8;23414.8
"Ninh Binh";468.4;580.4;691.2;839.8;965.1;1142.0;1283.0;1453.0;1667.0;2126.5;2790.3;3540.2;4648.4;6645.1;8232.7;10598.9;14064.9;15626.5;19058.9;19900.5;19901.5
"Northern midlands and mountain areas";5730.0;7561.5;8270.4;8938.3;9280.3;9915.1;12343.0;14424.0;16850.6;20620.2;24783.7;29803.0;38015.8;50541.0;62460.7;78912.1;99890.3;114033.6;129288.1;143134.1;143135.1
"Ha Giang";141.6;176.8;211.4;215.5;246.0;289.6;429.0;556.0;640.1;828.6;959.0;1090.2;1347.2;1788.2;2101.9;2497.2;3473.2;4063.3;4751.6;5623.0;5624.0
"Cao Bang";237.9;323.7;342.6;441.5;467.0;578.8;738.0;900.0;883.5;1090.1;1059.6;1465.6;1868.4;2374.9;3288.1;4007.4;6319.9;6488.2;5342.4;5262.9;5263.9
"Bac Kan";117.0;182.6;190.9;228.0;273.0;302.9;335.0;404.0;474.6;538.2;627.0;750.2;936.6;1202.2;1528.0;1832.5;2758.0;3289.5;3458.5;3773.1;3774.1
"Tuyen Quang";338.6;409.0;514.2;548.1;619.2;697.1;748.0;981.0;1165.6;1408.3;1903.5;2491.6;2908.6;3601.5;4493.2;6708.0;8299.8;9328.8;10126.6;10737.4;10738.4
"Lao Cai";245.5;294.2;373.9;414.8;455.0;490.5;740.0;797.0;1132.6;1356.1;1674.9;2058.4;2639.2;3581.0;4415.9;5590.2;6812.3;8052.2;9558.5;11191.5;11192.5
"Yen Bai";380.9;439.2;469.9;472.8;522.7;605.3;643.0;766.0;944.2;1182.0;1539.1;1851.3;2390.9;3253.0;4021.4;5281.6;6165.2;7553.6;8864.4;10378.4;10379.4
