"Retail sales of goods and services at current prices by types of ownership (*) by Items, Year and Types of ownership"

"Items";"Year";"Total";"State";"Non-State";"Foreign invested sector"
"Bill.dongs";"1990";19031.2;5788.7;13242.5;..
"Bill.dongs";"1991";33403.6;9000.8;24402.8;..
"Bill.dongs";"1992";51214.5;12370.6;38843.9;..
"Bill.dongs";"1993";67273.3;14650.0;52623.3;..
"Bill.dongs";"1994";93490.0;21566.0;71478.0;446.0
"Bill.dongs";"1995";121160.0;27367.0;93193.0;600.0
"Bill.dongs";"1996";145874.0;31123.0;112960.0;1791.0
"Bill.dongs";"1997";161899.7;32369.2;127332.4;2198.1
"Bill.dongs";"1998";185598.1;36083.8;147128.3;2386.0
"Bill.dongs";"1999";200923.7;37292.6;160999.6;2631.5
"Bill.dongs";"2000";220410.6;39205.7;177743.9;3461.0
"Bill.dongs";"2001";245315.0;40956.0;200363.0;3996.0
"Bill.dongs";"2002";280884.0;45525.4;224436.4;10922.2
"Bill.dongs";"2003";333809.3;52381.8;267724.8;13702.7
"Bill.dongs";"2004";398524.5;59818.2;323586.1;15120.2
"Bill.dongs";"2005";480293.5;62175.6;399870.7;18247.2
"Bill.dongs";"2006";596207.1;75314.0;498610.1;22283.0
"Bill.dongs";"2007";746159.4;79673.0;638842.4;27644.0
"Bill.dongs";"2008";1007213.5;98351.2;874824.4;34037.9
"Bill.dongs";"2009";1405864.6;184625.4;1183632.9;37606.3
"Bill.dongs";"2010";1677344.7;237557.1;1395622.3;44165.3
"Bill.dongs";"2011";2079523.5;261319.4;1757323.2;60880.9
"Bill.dongs";"2012";2369130.6;268282.1;2031962.4;68886.1
"Bill.dongs";"2013";2615203.6;284524.0;2229115.9;101563.7
"Bill.dongs";"2014";2951498.3;312174.9;2523255.7;116067.7
"Bill.dongs";"Prel. 2015";3186572.2;..;..;..
"Structure (%)";"1990";100.0;30.4;69.6;..
"Structure (%)";"1991";100.0;26.9;73.1;..
"Structure (%)";"1992";100.0;24.2;75.8;..
"Structure (%)";"1993";100.0;21.8;78.2;..
"Structure (%)";"1994";100.0;23.1;76.4;0.5
"Structure (%)";"1995";100.0;22.6;76.9;0.5
"Structure (%)";"1996";100.0;21.3;77.5;1.2
"Structure (%)";"1997";100.0;20.0;78.6;1.4
"Structure (%)";"1998";100.0;19.4;79.3;1.3
"Structure (%)";"1999";100.0;18.6;80.1;1.3
"Structure (%)";"2000";100.0;17.8;80.6;1.6
"Structure (%)";"2001";100.0;16.7;81.7;1.6
"Structure (%)";"2002";100.0;16.2;79.9;3.9
"Structure (%)";"2003";100.0;15.7;80.2;4.1
"Structure (%)";"2004";100.0;15.0;81.2;3.8
"Structure (%)";"2005";100.0;12.9;83.3;3.8
"Structure (%)";"2006";100.0;12.7;83.6;3.7
"Structure (%)";"2007";100.0;10.7;85.6;3.7
"Structure (%)";"2008";100.0;9.8;86.8;3.4
"Structure (%)";"2009";100.0;13.1;84.2;2.7
"Structure (%)";"2010";100.0;14.2;83.2;2.6
"Structure (%)";"2011";100.0;12.6;84.5;2.9
"Structure (%)";"2012";100.0;11.3;85.8;2.9
"Structure (%)";"2013";100.0;10.9;85.2;3.9
"Structure (%)";"2014";100.0;10.6;85.5;3.9
"Structure (%)";"Prel. 2015";100.0;..;..;..
