"Some main goods for exportation by Main goods and Year"

"Main goods";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Chromium (Mill.USD)";..;..;..;..;..;4.500;3.400;2.900;8.100;9.000;1.900;2.700;..;..;..;..;..;..;..;..;..
"Crude oil (Mill.USD)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;5023.500;..;8211.900;7226.400;7224.200;3710.200
"Coal (Mill.USD)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1614.600;..;1239.800;914.100;554.500;185.100
"Tin (Mill.USD)";..;..;..;..;..;16.800;..;..;..;14.000;13.300;20.500;28.600;41.500;9.100;27.500;59.100;35.100;45.300;49.400;..
"Electronic parts (Including TV parts), computer and their parts (Mill.USD)";..;..;..;..;..;788.600;709.500;605.400;854.700;1062.400;1427.400;1807.800;2165.200;2640.300;2763.000;3590.100;4662.200;7848.800;10636.000;11434.400;15607.600
"Phones all of kinds and their parts (Mill.USD)";..;..;..;..;..;..;..;..;..;..;10.400;..;..;..;593.300;2307.300;6396.700;12746.600;21253.300;23572.700;30166.300
"Articles of plastic (Mill.USD)";..;..;..;..;..;95.500;119.600;143.400;170.200;239.200;357.700;452.300;709.500;933.700;867.400;1130.200;1373.700;1595.500;1817.800;2041.300;2074.900
"Electrical wire and cable (Mill.USD)";..;..;..;..;..;129.500;181.000;187.700;291.700;389.700;518.200;705.700;882.300;1009.000;891.800;1316.000;443.600;618.800;678.500;756.700;896.600
"Bicycles and parts of bicycle (Mill.USD)";..;..;..;..;..;66.600;129.400;122.700;155.400;235.200;158.400;110.600;81.200;89.100;85.800;93.600;44.600;18.000;18.100;29.200;..
"Rucksacks, bag, pockets, wallets, hats and umbrellas (Mill.USD)";..;..;..;..;..;..;183.300;237.200;243.300;382.100;470.900;502.100;627.100;773.100;824.100;985.500;1285.400;1522.500;1933.100;2533.500;2874.900
"Footwear (Mill.USD)";296.400;530.000;978.400;1031.000;1387.100;1471.700;1587.400;1875.200;2260.500;2691.100;3038.800;3595.900;3999.500;4769.900;4071.300;5123.300;6549.400;7263.900;8400.600;10317.800;12006.900
"Textile, sewing products (Mill.USD)";765.500;993.100;1502.600;1450.000;1746.200;1891.900;1975.400;2732.000;3609.100;4429.800;4772.400;5854.800;7732.000;9120.500;9065.600;11209.800;13211.700;14416.200;17933.400;20101.200;22801.600
"Rattan, bamboo and rush products (Mill.USD)";30.800;61.700;48.400;36.800;62.200;92.500;103.100;113.200;141.200;171.700;157.300;214.100;246.700;199.600;22.100;189.900;202.800;211.100;229.700;242.100;259.800
"Pottery and glassware (Mill.USD)";22.000;30.900;54.400;55.100;83.100;108.400;117.100;123.500;135.900;154.600;255.300;274.400;334.900;344.300;267.200;317.100;359.200;440.500;472.300;514.300;477.300
"Fibres of all kinds";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1377.600;..;1843.700;2150.200;2548.700;2539.800
"Cassava and the product of cassava";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;567.200;..;1351.400;1101.800;1138.500;1316.900
"Fine art products (Mill.USD)";18.700;20.700;43.100;12.900;22.500;36.200;34.000;51.000;59.600;90.500;89.900;119.500;217.800;385.500;1296.200;14.200;..;..;..;..;..
"Embroidery products (Mill.USD)";20.400;11.000;13.800;35.300;32.600;50.500;54.700;52.700;60.600;91.600;78.400;98.100;111.800;110.600;129.300;154.000;..;..;..;..;..
"Fresh and processed vegetables & fruit (Mill.USD)";56.100;90.200;71.200;52.600;106.600;213.100;344.300;221.200;151.500;177.700;235.500;259.100;305.600;406.500;438.900;460.300;622.600;827.000;1073.200;1489.000;1839.300
"Pepper (Mill.USD)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;421.500;..;793.700;889.800;1201.900;1259.400
"Coffee (Mill.USD)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1851.400;..;3674.400;2717.300;3557.400;2671.300
"Rubber(Mill.USD)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;2386.200;..;2860.200;2486.900;1780.800;1531.500
"Rice (Mill.USD)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;3249.500;..;3673.700;2922.700;2935.200;2798.900
"Shelled cashew nut (Mill.USD)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1136.900;..;1470.100;1646.100;1993.600;2397.800
"Shelled ground nut (Mill.USD)";..;..;..;..;..;41.000;..;..;..;27.300;33.000;10.500;31.300;13.700;21.500;22.500;7.100;5.600;11.000;11.900;..
"Meat and meat preparations (Mill.USD)";12.100;10.200;28.800;12.000;11.600;25.600;41.700;27.300;21.100;39.900;35.600;26.300;48.400;58.900;45.100;40.100;58.900;68.100;52.900;66.200;..
"Foodstuff processed from starch and cereals (Mill.USD)";..;..;..;..;..;59.700;98.400;91.400;82.500;100.900;129.600;151.200;194.100;258.600;276.200;385.200;377.500;410.800;446.500;454.000;463.400
"Dairy products (Mill.USD)";..;..;..;..;..;80.400;191.500;85.900;67.200;34.300;85.300;90.100;16.300;29.600;23.700;33.700;66.600;122.800;115.500;92.800;..
"Sugars (Mill.USD)";..;..;..;..;..;28.900;32.400;9.400;10.700;0.500;0.300;2.300;4.700;5.000;1.500;0.800;173.800;47.100;251.700;118.400;..
"Tea (Mill.USD)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;200.500;224.800;229.400;228.100;212.700
"Vegetable oils and fats (Mill.USD)";..;..;..;..;..;..;30.100;23.500;22.100;36.100;13.700;15.400;49.300;99.600;77.400;98.000;209.600;314.500;251.500;257.600;..
"Wood and wooden products (Mill.USD)";..;..;..;..;..;311.400;343.600;460.200;608.900;1101.700;1561.400;1943.100;2384.600;2767.200;2989.270;3444.500;3960.500;4665.500;5591.800;6145.300;6891.600
