"Some main goods for importation by Main goods and Year"

"Main goods";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015 (*)"
"Motor vehicles, assembled (Mill. USD)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;594.80;752.20;1568.30;2982.70
"Machinery, apparatus and parts for textile, garment (Mill. USD)";..;..;..;..;..;296.40;242.60;325.10;402.30;378.20;447.20;481.80;641.70;847.90;459.80;578.30;707.10;610.60;817.00;1231.90;..
"Machinery, apparatus and parts for leather, footwear (Mill. USD)";..;..;..;..;..;..;23.00;37.10;58.00;54.80;87.40;57.90;69.30;62.60;27.90;70.30;75.70;59.70;93.70;127.50;..
"Machinery, apparatus and parts for paper or paperboard industry (Mill. USD)";..;..;..;..;..;..;32.10;31.40;74.90;57.10;64.00;52.30;112.50;250.40;241.50;150.30;161.80;121.20;112.70;131.50;..
"Machinery, apparatus and parts for plastic industry (Mill. USD)";..;..;..;..;..;..;56.80;114.90;128.10;131.90;164.80;216.10;318.10;357.80;309.20;348.40;387.50;421.10;545.00;602.60;..
"Machinery, apparatus and parts for construction (Mill. USD)";..;..;..;..;..;118.70;197.80;294.20;280.20;254.90;255.80;290.80;392.60;606.80;818.20;868.80;639.10;433.00;483.30;602.70;..
"Machinery, apparatus and parts for cement production (Mill. USD)";..;..;..;..;..;22.60;67.90;86.50;61.40;52.80;63.30;112.50;273.10;328.20;171.40;211.70;161.20;108.40;150.70;111.40;..
"Machinery, apparatus and parts for aircraft and airfield (Mill. USD)";..;..;..;..;..;13.00;31.90;33.80;568.50;658.20;65.90;7.80;515.00;261.50;235.50;341.50;668.10;1320.70;1195.50;381.20;..
"Machinery, apparatus and parts for telecommunication (Mill. USD)";..;..;..;..;..;141.40;206.40;211.20;302.60;378.10;598.20;945.70;1631.70;2017.00;2586.10;2480.60;2682.30;5030.40;8048.00;8700.70;..
"Machinery, apparatus and parts for manufacture of food or drink (Mill. USD)";..;..;..;..;..;61.70;73.90;86.70;98.90;106.20;130.90;198.30;247.70;335.10;306.40;249.30;327.00;411.20;322.20;363.00;..
"Electronic goods, computers and their parts (Mill. USD)";..;..;..;..;..;892.80;710.10;701.20;1014.10;1349.50;1638.60;1869.70;2958.40;3714.10;3220.60;5208.30;7873.80;13166.40;17784.30;18823.50;23123.10
"Petroleum oil, refined (Mill. USD)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;8960.20;6951.90;7467.20;5335.70
"Lubricating oils (Mill. USD)";..;..;..;..;..;19.20;24.30;12.70;11.70;16.60;18.50;20.20;18.60;19.70;18.70;25.70;54.20;57.80;56.70;61.40;..
"Fertilizers (Mill. USD)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1693.50;1706.20;1240.80;1423.70
"Iron, steel (Mill. USD)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;6019.90;6701.20;7732.10;7477.50
"Of which: Blank (Mill. USD)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;325.20;234.90;342.10;623.50
"Lead (Mill. USD)";..;..;..;..;..;11.70;13.20;16.60;17.40;34.50;43.40;57.60;147.50;141.10;163.70;198.10;246.30;226.40;276.90;302.40;..
"Copper (Mill. USD)";..;..;..;..;..;58.50;82.50;109.00;137.90;259.60;340.20;767.40;898.60;837.90;734.00;1306.80;1162.20;1099.00;1201.70;1389.80;1495.80
"Zinc (Mill. USD)";..;..;..;..;..;35.40;36.90;39.30;44.90;66.80;66.00;143.50;203.80;116.30;105.10;178.80;184.40;159.20;195.80;264.90;..
"Aluminium (Mill. USD)";..;..;..;..;..;112.60;140.50;179.30;247.10;348.00;357.40;512.60;659.60;734.60;657.00;930.50;1055.30;1105.70;1209.10;1402.80;..
