"Spatial cost of living index among provinces (Ha Noi = 100) by Cities, provincies and Year"

"Cities, provincies";"2010";"2012";"2013";"2014";"2015"
"Ha Noi";100.00;100.00;100.00;100.00;100.00
"Vinh Phuc";87.48;87.88;87.85;88.37;88.54
"Bac Ninh";87.89;91.84;92.23;92.86;93.62
"Quang Ninh";93.70;93.53;93.12;93.02;95.56
"Hai Duong";86.89;87.39;88.24;88.08;89.26
"Hai Phong";91.48;91.53;93.89;94.88;95.53
"Hung Yen";84.08;83.68;83.98;84.47;85.01
"Thai Binh";81.48;81.04;80.54;79.40;81.61
"Ha Nam";84.29;84.84;85.03;84.63;86.94
"Nam Dinh";81.15;84.29;84.63;84.38;83.23
"Ninh Binh";88.75;90.09;89.70;88.44;89.68
"Ha Giang";91.17;92.30;93.80;94.30;96.50
"Cao Bang";91.20;90.10;87.90;87.50;91.18
"Bac Kan";83.57;83.67;84.16;83.61;86.70
"Tuyen Quang";87.39;87.12;88.60;88.96;88.91
"Lao Cai";94.78;96.60;96.54;96.95;99.02
"Yen Bai";90.17;91.22;90.98;91.20;92.90
"Thai Nguyen";89.36;90.91;90.71;89.99;92.46
"Lang Son";90.02;91.82;92.92;92.40;94.38
"Bac Giang";87.13;87.51;87.28;87.08;88.79
"Phu Tho";86.23;86.34;87.98;87.42;87.66
"Dien Bien";94.77;95.82;98.41;99.50;98.85
"Lai Chau";96.50;97.61;98.34;99.58;100.30
"Son La";96.33;97.98;99.46;99.01;99.27
"Hoa Binh";89.87;89.18;90.85;90.93;94.83
"Thanh Hoa";85.22;84.07;86.22;86.01;87.96
"Nghe An";85.31;84.90;86.92;86.49;87.52
"Ha Tinh";88.98;90.96;95.21;97.09;97.14
"Quang Binh";88.54;89.14;88.66;89.50;92.10
"Quang Tri";90.34;90.03;90.45;92.21;93.90
"Thua Thien - Hue";86.52;88.50;91.47;91.55;94.30
"Da Nang";91.93;92.42;94.29;93.53;96.44
"Quang Nam";85.20;87.68;86.93;87.14;90.33
"Quang Ngai";86.05;85.05;83.79;84.24;88.05
"Binh Dinh";86.43;86.48;86.05;87.42;90.04
"Phu Yen";82.98;82.65;86.31;87.79;87.79
"Khanh Hoa";87.44;88.13;88.69;88.68;91.56
"Ninh Thuan";86.63;87.56;88.10;89.13;91.61
"Binh Thuan";86.02;87.24;86.75;87.91;91.39
"Kon Tum";87.74;89.05;89.58;89.98;94.06
"Gia Lai";91.65;91.46;89.45;90.12;90.90
"Dak Lak";90.02;90.07;90.12;90.53;95.20
"Dak Nong";89.55;90.25;89.37;89.86;93.84
"Lam Dong";88.34;90.25;90.19;90.52;93.61
"Binh Phuoc";93.80;93.47;92.95;95.09;96.12
"Tay Ninh";83.75;83.96;85.02;85.34;89.36
"Binh Duong";88.74;89.05;89.70;88.63;93.64
"Dong Nai";87.64;89.41;89.47;88.76;93.13
"Ba Ria - Vung Tau";91.27;91.98;91.20;92.17;95.74
"Ho Chi Minh city";100.84;99.70;97.80;96.86;97.39
"Long An";88.73;88.35;88.20;88.07;92.08
"Tien Giang";86.97;85.47;85.95;86.39;88.40
"Ben Tre";90.31;90.67;91.35;91.33;93.02
"Tra Vinh";79.12;78.17;79.17;79.33;80.72
"Vinh Long";84.31;84.55;83.77;83.54;82.93
"Dong Thap";87.37;87.38;87.27;86.96;87.03
"An Giang";90.74;90.46;90.27;89.67;91.82
"Kien Giang";84.27;84.28;84.43;85.09;87.96
"Can Tho";90.88;89.82;89.24;89.33;92.14
"Hau Giang";83.30;81.89;83.11;83.23;83.53
"Soc Trang";81.70;80.90;81.67;82.04;83.50
"Bac Lieu";85.61;85.48;84.79;85.45;87.29
"Ca Mau";83.61;84.03;84.73;85.24;88.42
