"Spatial cost of living index among regions in 2015 by commodity group (Red River Delta  = 100) by Commondity group and Region"

"Commondity group";"Red River Delta";"Northern midlands and mountain areas";"North Central and Central coastal areas";"Central  Highlands";"South East";"Mekong River Delta"
"General index";100.00;104.77;101.90;103.85;104.31;96.29
"Food and foodstuff";100.00;105.87;99.22;105.41;103.50;94.83
"Beverage and cigarette";100.00;104.14;103.02;107.37;100.19;102.10
"Garment, hat, footwear";100.00;108.73;100.37;104.75;102.50;98.69
"Housing and construction materials";100.00;105.17;104.93;100.61;106.19;99.36
"Household equipment and goods";100.00;106.43;104.57;103.35;106.82;102.09
"Medicine and health care services";100.00;107.40;120.18;109.75;112.74;105.47
"Transport";100.00;103.73;106.07;108.13;100.63;88.78
"Post and Communication";100.00;103.67;92.88;93.57;91.41;98.58
"Education";100.00;91.10;93.01;89.67;106.66;91.53
"Culture, entertainments and tourism";100.00;105.56;103.71;103.03;105.93;96.55
"Other consumer goods and services";100.00;99.53;96.39;99.20;103.66;93.41
