"Structure of imports of goods by Standard International Trade Classification (SITC) by SITC and Year"

"SITC";"2005";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"TOTAL";100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
"Primary products";25.3;27.0;23.4;23.5;25.9;23.6;21.0;20.8
"Food, foodstuff and live animals";5.3;5.6;6.6;7.3;6.9;6.7;6.9;7.2
"Beverage and tobacco";0.5;0.3;0.5;0.3;0.3;0.3;0.3;0.3
"Crude materials, inedible, except fuels";4.4;5.0;4.9;5.5;6.1;5.9;5.7;5.8
"Mineral fuels, lubricants and related materials";14.6;15.3;10.7;9.6;11.8;10.1;7.6;7.0
"Animal and vegetable oil, fat and wax";0.5;0.8;0.7;0.8;0.8;0.6;0.5;0.5
"Manufactured products";72.5;69.6;76.1;75.3;72.2;76.3;78.9;79.1
"Chemical and related products, n.e.s";14.4;12.7;14.6;14.7;14.6;14.2;13.8;13.3
"Manufactured goods classified chiefly by materials";27.7;24.9;25.4;26.5;24.0;23.1;22.8;23.5
"Machinery, transports and equipments";25.2;27.8;31.3;29.1;29.1;34.2;37.4;37.2
"Miscellaneous manufactured articles";5.2;4.2;4.8;5.0;4.5;4.8;4.9;5.1
"Commodities are not classified elsewhere in SITC";2.2;3.4;0.5;1.2;1.9;0.1;0.1;0.1
