"Transportation and warehouse price index (Year 2010 = 100) by Items and Year"

"Items";"2011";"2012";"2013";"2014";"2015"
"Transportation and warehouse Price Index";114.48;129.58;137.98;142.29;137.65
"Passenger transportation";118.37;144.41;155.07;158.83;152.71
"Freight transportation";112.84;121.67;127.65;132.83;127.48
"Warehouse and transport service activities'";109.53;118.52;129.72;132.44;134.24
"Road and railway transport services";116.06;128.11;139.40;146.54;137.72
"Railway transport services";120.84;139.56;151.05;152.12;138.30
"Road transport and bus services";115.61;127.15;138.38;146.02;137.67
"Waterway  transport services";109.67;118.28;121.29;123.50;119.88
"Sea and Coastal transport services";109.39;118.00;120.05;122.01;118.17
"Inland waterway transport services";110.88;119.52;125.09;128.28;127.37
"Aviation transport service";118.39;156.24;161.62;161.62;161.62
"Warehouse and transport service activities";109.53;118.52;129.72;132.44;134.24
