"Turnover of travelling at current prices by ownership (*) by Items, Ownership and Year"

"Items";"Ownership";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"Turnover (Bill. Dongs)";"TOTAL";2009.00;2430.40;2633.20;3302.10;4761.20;5304.70;7712.00;8409.60;10278.40;15539.30;18091.60;18852.90;24820.60;27799.40
"Turnover (Bill. Dongs)";"State";1001.10;1386.80;1323.10;1598.10;2097.30;2284.50;2972.20;3247.80;3638.80;4950.40;4750.70;6346.60;6628.50;4459.80
"Turnover (Bill. Dongs)";"Non State";464.90;557.00;758.70;954.50;1598.80;1937.30;3323.30;3735.30;4970.70;9366.80;11096.50;10333.00;15682.40;20003.60
"Turnover (Bill. Dongs)";"Collective";8.40;4.70;1.70;1.30;1.70;4.70;3.60;20.80;0.90;2.30;3.80;3.00;5.90;..
"Turnover (Bill. Dongs)";"Private";425.60;516.80;600.00;809.30;1366.30;1778.20;..;..;..;..;..;..;..;..
"Turnover (Bill. Dongs)";"Household";30.90;35.50;157.00;143.90;230.80;154.40;3319.70;3714.50;4969.80;9364.50;11092.70;10330.00;15676.50;..
"Turnover (Bill. Dongs)";"Foreign invested sector";543.00;486.60;551.40;749.50;1065.10;1082.90;1416.50;1426.50;1668.90;1222.10;2244.40;2173.30;2509.70;3336.00
" Structure (%)";"TOTAL";100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
" Structure (%)";"State";49.90;57.10;50.20;48.40;44.00;43.10;38.50;38.60;35.40;31.86;26.26;33.66;26.71;16.04
" Structure (%)";"Non State";23.10;22.90;28.90;28.90;33.60;36.50;43.10;44.40;48.36;60.28;61.33;54.81;63.18;71.96
" Structure (%)";"Collective";0.40;0.20;0.10;0.00;0.00;0.10;0.10;0.20;0.01;0.02;0.02;0.02;0.03;..
" Structure (%)";"Private";21.20;21.20;22.80;24.50;28.70;33.50;..;..;..;..;..;..;..;..
" Structure (%)";"Household";1.50;1.50;6.00;4.40;4.90;2.90;43.00;44.20;48.35;60.26;61.31;54.79;63.15;..
" Structure (%)";"Foreign invested sector";27.00;20.00;20.90;22.70;22.40;20.40;18.40;17.00;16.24;7.86;12.41;11.53;10.11;12.00
