"Air transport by Items and Year"

"Items";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"Volume of passengers carried (Thous.pers)";2435.0;2754.5;2644.0;2571.0;2699.0;2806.0;3852.8;4445.0;4519.0;5531.0;6495.0;7445.5;8897.6;10200.0;10965.0;14195.4;15142.3;15069.5;16891.0;24431.4
"Volume of passengers carried - Domestic (Thous.pers)";1454.3;1662.3;1641.0;1632.0;1655.0;1683.0;2226.0;2530.9;2688.0;3120.0;3680.0;4313.5;5478.4;6820.9;7844.9;9927.2;10780.6;9751.2;10956.6;17513.5
"Volume of passengers carried - Overseas (Thous.pers)";980.7;1092.2;1003.0;939.0;1044.0;1123.0;1626.8;1914.1;1831.0;2411.0;2815.0;3132.0;3419.2;3379.1;3120.1;4268.2;4361.7;5318.3;5934.4;6917.9
"Volume of passengers traffic (Mill.pers.km)";4094.3;3948.0;3922.0;3867.0;4042.0;4383.0;6110.7;7101.4;7112.0;9367.0;11124.2;12816.6;14681.6;16152.3;16507.6;21162.0;23269.0;23626.0;26877.7;34707.5
"Volume of passengers traffic - Domestic (Mill.pers.km)";1350.3;1347.0;1320.0;1355.0;1365.0;1393.0;1869.5;2073.2;2688.0;2565.0;2985.7;3551.9;4685.6;5541.0;6846.8;8412.3;9085.1;7316.2;8686.5;11022.9
"Volume of passengers traffic - Overseas (Mill.pers.km)";2744.0;2601.0;2602.0;2512.0;2677.0;2990.0;4241.2;5028.2;4424.0;6811.0;8138.5;9264.7;9996.0;10611.3;9660.8;12749.7;14183.9;16309.8;18191.2;23684.6
"Volume of freight (Thous.tons)";32.0;47.8;50.1;44.6;42.5;45.2;66.8;72.0;89.7;98.2;111.0;120.8;129.6;131.4;139.7;190.1;200.3;191.0;183.7;202.0
"Volume of freight - Domestic (Thous.tons)";17.4;27.3;27.8;24.6;23.0;24.2;34.4;39.5;48.2;51.8;65.0;73.2;86.5;83.7;95.6;121.6;128.5;114.4;101.3;111.8
"Volume of freight - Overseas (Thous.tons)";14.6;20.5;22.3;20.0;19.5;21.0;32.4;32.5;41.5;46.4;46.0;47.6;43.1;47.7;44.1;68.5;71.8;76.6;82.4;90.2
"Volume of freight traffic (Mill tons.km)";99.4;107.1;102.2;117.1;106.5;114.1;158.3;171.8;210.6;235.8;239.3;269.4;279.9;295.6;316.6;426.8;426.7;475.1;469.8;534.4
"Volume of freight traffic - Domestic (Mill tons.km)";36.2;30.8;31.2;30.0;26.0;27.4;38.9;44.2;53.8;59.6;71.4;81.2;94.7;88.3;106.0;121.2;127.5;132.2;106.4;109.4
"Volume of freight traffic - Overseas (Mill tons.km)";63.2;76.3;89.0;87.1;80.5;86.7;119.4;127.6;156.8;176.2;167.9;188.2;185.2;207.3;210.6;305.6;299.2;342.9;363.4;425.0
