"Number of passengers carried by the road by province(*) by Cities, provincies and Year"

"Cities, provincies";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"WHOLE COUNTRY";610.3;666.0;715.5;915.7;1024.5;1153.8;1309.4;1451.8;1601.3;1816.4;2113.2;2299.7;2497.5;2654.5;2856.0
"Red River Delta";68.8;74.0;99.0;261.8;331.5;405.5;458.2;508.0;579.5;638.4;748.6;767.9;842.5;906.7;997.6
"Ha Noi";33.2;34.1;55.4;213.2;274.7;335.2;375.5;413.2;495.8;547.8;646.6;651.0;719.3;776.8;855.9
"Ha Tay";7.7;9.8;11.0;10.9;11.6;16.8;22.8;23.3;..;..;..;..;..;..;..
"Vinh Phuc";0.9;0.9;1.3;1.7;2.6;3.9;4.2;6.0;7.0;7.9;9.9;10.9;11.8;12.2;13.5
"Bac Ninh";1.5;1.7;1.8;2.2;2.6;2.8;3.4;3.7;4.1;4.6;5.6;6.2;6.6;7.1;7.9
"Quang Ninh";4.2;4.7;4.9;5.5;6.3;6.8;7.2;9.9;9.9;11.4;12.1;12.9;13.5;14.7;15.9
"Hai Duong";1.3;1.4;1.8;2.8;4.0;4.4;5.5;5.7;8.2;9.6;12.0;14.3;15.1;17.0;19.2
"Hai Phong";9.8;10.5;11.0;12.2;13.3;15.1;18.5;20.5;26.2;25.4;25.6;31.1;31.4;31.3;35.4
"Hung Yen";0.9;1.1;1.2;1.4;1.7;2.1;2.5;3.9;4.1;4.3;5.1;5.9;6.2;6.7;7.3
"Thai Binh";2.0;2.1;2.2;2.5;3.5;4.1;4.3;6.0;7.0;8.4;9.5;10.1;10.8;11.9;12.7
"Ha Nam";0.9;0.9;1.0;1.1;1.6;2.5;2.1;2.5;2.7;2.9;3.4;4.0;4.7;5.1;5.2
"Nam Dinh";4.7;5.0;5.3;5.8;6.0;6.1;6.3;6.7;7.0;8.0;9.1;10.0;11.1;11.2;11.3
"Ninh Binh";1.7;1.8;2.1;2.5;3.6;5.7;5.9;6.6;7.5;8.1;9.7;11.5;12.0;12.7;13.3
"Northern midlands and mountain areas";18.1;19.8;21.4;23.5;27.8;31.5;36.0;39.6;45.7;53.6;60.0;65.1;69.3;71.7;77.6
"Ha Giang";0.4;0.5;0.5;0.5;0.5;0.5;0.6;0.7;0.8;1.0;1.1;1.6;1.8;1.9;2.0
"Cao Bang";1.0;1.1;1.1;1.2;1.3;1.1;0.9;1.0;1.2;1.2;1.2;1.2;1.3;1.4;1.6
"Bac Kan";0.6;0.6;0.7;1.1;1.1;1.2;1.3;1.3;1.5;2.1;2.1;2.4;2.4;2.2;2.5
"Tuyen Quang";1.3;1.4;1.7;1.9;2.3;3.2;3.6;2.9;3.6;4.3;4.3;5.0;5.2;5.3;5.9
"Lao Cai";1.5;1.6;1.7;1.8;2.1;2.4;2.8;3.3;3.9;3.9;4.0;4.4;4.6;4.4;4.6
"Yen Bai";1.2;1.6;1.5;1.8;2.9;3.5;4.0;4.3;4.4;4.9;4.9;5.4;5.9;6.3;6.9
"Thai  Nguyen";1.4;1.5;1.5;1.9;2.3;2.4;3.1;3.9;4.7;5.8;6.3;7.1;8.0;8.5;9.3
"Lang Son";1.7;1.9;2.1;2.0;2.3;3.4;3.6;4.0;5.1;6.5;7.5;8.2;8.6;8.9;9.6
"Bac Giang";3.3;3.4;3.4;3.7;4.1;4.7;5.7;7.5;9.5;11.7;14.8;16.1;17.3;18.3;19.9
"Phu Tho";1.8;1.9;2.6;2.4;2.5;2.9;3.4;3.8;4.2;4.5;5.4;5.1;5.2;5.5;6.1
"Dien Bien";1.0;1.0;1.0;0.5;0.6;0.6;0.7;0.7;0.8;0.9;1.0;1.1;1.1;1.0;1.0
"Lai Chau";..;..;..;0.4;0.4;0.4;0.5;0.7;0.7;0.8;1.0;0.9;1.0;1.1;1.1
"Son La";1.3;1.4;1.4;1.9;2.0;2.0;2.0;2.1;2.2;2.3;2.6;2.5;2.7;2.8;2.8
"Hoa Binh";1.6;1.9;2.2;2.4;3.4;3.2;3.8;3.4;3.1;3.7;3.8;4.1;4.2;4.1;4.3
"Northern Central area and Central coastal area";80.9;80.3;80.4;87.5;97.9;109.1;124.3;137.8;151.1;166.5;186.3;202.3;219.2;228.9;245.4
"Thanh Hoa";2.7;2.8;3.0;3.1;3.3;4.4;5.1;5.9;7.6;9.7;11.5;12.2;12.8;13.8;14.9
"Nghe An";7.4;7.7;7.7;9.1;12.3;15.3;17.2;21.7;23.2;27.8;29.6;35.7;39.9;43.5;47.5
"Ha Tinh";2.2;2.3;2.7;2.8;3.4;3.5;4.1;5.1;6.1;7.5;9.6;11.2;12.3;13.2;14.5
"Quang Binh";2.3;2.6;2.9;3.1;3.5;3.8;2.7;3.2;5.6;5.9;7.0;7.6;8.3;8.9;9.7
"Quang Tri";3.7;3.4;2.9;2.8;2.5;2.7;3.4;3.7;4.7;6.0;6.6;5.4;5.5;5.8;6.2
"Thua Thien-Hue";7.2;7.3;7.0;9.1;7.1;5.1;10.6;11.1;11.9;10.0;10.5;11.6;13.3;14.8;16.5
"Da Nang";13.5;11.9;11.4;12.5;14.3;11.5;12.9;15.1;17.2;18.7;23.7;25.7;27.7;26.0;28.9
"Quang  Nam";5.1;5.0;5.2;5.1;5.1;6.1;7.5;7.6;6.4;7.1;7.7;8.0;9.1;9.7;9.8
"Quang  Ngai";1.0;0.9;0.8;0.8;0.9;1.0;1.1;1.3;1.5;1.8;2.0;2.2;2.5;2.7;2.9
"Binh Dinh";12.8;13.2;13.4;14.1;14.4;17.9;19.4;20.9;22.3;22.6;23.2;24.3;25.9;26.6;27.9
"Phu Yen";5.6;5.8;6.1;6.5;6.9;7.3;7.4;7.8;8.3;9.2;10.0;10.4;11.3;12.0;12.7
"Khanh  Hoa";7.0;6.7;7.6;8.5;13.0;18.6;20.3;21.4;21.9;24.6;27.3;29.7;31.4;31.9;32.6
"Ninh  Thuan";1.6;1.8;2.1;2.2;2.2;2.4;2.5;2.4;3.2;3.8;4.6;4.9;5.0;4.9;5.1
"Binh Thuan";8.8;8.9;7.6;7.8;9.0;9.5;10.2;10.6;11.2;11.8;13.0;13.4;14.2;15.1;16.2
"Central Highlands";14.3;15.6;16.7;18.5;19.1;22.4;24.8;26.9;34.2;43.9;50.8;58.0;61.1;64.3;67.0
"Kon Tum";0.9;1.0;1.0;1.1;1.1;1.2;1.4;1.5;1.6;2.6;3.1;4.4;4.6;4.9;5.3
"Gia Lai";2.1;2.3;2.3;2.4;2.6;3.2;3.4;3.8;4.8;5.8;5.8;8.9;9.6;10.2;10.9
"Dak Lak";6.4;6.5;6.4;6.5;6.6;7.9;8.2;8.6;8.6;12.5;14.8;14.7;15.3;15.5;16.9
"Dak Nong";..;..;..;0.8;0.8;1.2;1.4;1.4;1.6;1.9;2.0;2.1;2.4;2.5;2.6
"Lam Dong";4.9;5.8;7.0;7.7;8.0;8.9;10.4;11.6;17.6;21.1;25.1;27.9;29.2;31.2;31.3
"South East";211.0;245.2;253.1;264.7;274.7;291.6;317.0;360.3;382.9;494.8;615.1;734.5;811.0;880.0;945.4
"Binh Phuoc";2.6;2.6;2.7;2.7;4.0;4.3;4.9;5.3;5.5;6.2;6.7;7.7;8.0;8.5;8.7
"Tay Ninh";4.5;4.7;4.9;5.1;6.7;6.0;8.8;10.8;11.6;12.3;12.9;13.3;13.5;13.9;14.1
"Binh  Duong";2.7;2.9;2.9;3.8;4.4;6.3;8.9;12.1;13.8;18.3;21.7;23.1;24.1;25.9;28.2
"Dong Nai";17.1;23.1;25.3;29.1;33.3;36.7;41.2;43.4;47.4;51.9;57.0;60.3;69.3;75.6;75.9
"Ba Ria - Vung Tau";11.5;13.7;12.6;14.2;16.4;19.2;22.1;24.1;26.4;28.0;28.5;29.0;33.9;35.9;36.4
"Ho Chi Minh city";172.6;198.2;204.7;209.8;209.9;219.1;231.1;264.6;278.2;378.1;488.3;601.1;662.2;720.2;782.1
"Mekong River Delta";217.3;231.0;244.9;259.7;273.5;293.7;349.1;379.2;407.9;419.2;452.4;471.9;494.4;502.9;523.0
"Long An";14.2;15.8;14.7;15.3;15.0;18.6;22.8;29.5;30.4;32.3;35.0;38.7;41.3;42.6;45.1
"Tien Giang";24.3;25.6;26.5;27.9;23.2;18.6;21.7;22.6;19.7;20.4;21.9;22.3;24.1;24.8;25.3
"Ben Tre";9.6;10.9;10.4;12.6;14.2;16.8;18.2;20.5;21.0;22.3;26.6;30.5;31.3;28.2;29.2
"Tra Vinh";6.6;5.5;6.1;5.2;4.9;5.3;4.5;4.9;5.5;4.7;5.0;5.2;5.5;5.9;6.3
"Vinh Long";16.2;16.8;17.7;18.8;20.7;22.5;25.2;27.5;28.3;30.4;33.3;32.0;33.2;33.7;34.5
"Dong Thap";11.5;11.6;11.7;12.0;13.1;10.6;18.3;19.2;20.4;17.5;20.1;19.3;19.8;19.9;18.6
"An Giang";14.9;18.3;23.5;33.9;36.5;36.2;48.4;53.3;61.6;65.8;68.4;71.3;70.8;68.1;75.1
"Kien  Giang";9.3;9.8;10.3;12.6;14.7;19.9;21.0;22.4;21.9;23.0;24.2;24.9;26.1;26.9;28.8
"Can Tho";72.3;75.7;80.6;43.1;49.2;61.1;65.7;66.7;67.1;68.5;76.2;83.3;88.9;95.3;95.7
"Hau Giang";..;..;..;29.1;31.0;27.8;39.0;42.9;46.1;53.0;56.8;61.1;65.5;67.9;69.8
"Soc Trang";10.9;11.2;12.8;14.0;14.4;17.1;18.9;19.3;23.6;27.1;30.7;26.9;28.3;29.3;31.5
"Bac Lieu";11.6;12.7;12.9;16.8;18.6;20.2;24.3;27.2;33.1;35.6;35.6;37.2;38.2;38.8;40.2
"Ca Mau";15.9;17.1;17.7;18.4;18.0;19.0;21.1;23.2;29.2;18.6;18.6;19.2;21.4;21.5;22.9
