"Number of passengers traffic by province(*) by Cities, provincies and Year"

"Cities, provincies";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"WHOLE COUNTRY";24159.6;25329.5;27693.6;32082.8;36173.9;40273.6;45079.4;50641.5;56062.7;62505.0;71942.9;80869.0;86578.1;92707.1;98482.6
"Red River Delta";2803.7;3015.5;3691.3;5411.9;6533.0;7595.2;8580.7;9866.6;11480.3;12422.4;14947.2;16372.1;17829.8;19318.9;20869.3
"Ha Noi";644.6;661.7;1077.6;2446.6;2985.7;3339.2;3739.6;4096.0;5400.0;5728.2;7174.2;7815.5;8581.1;9490.3;10623.3
"Ha Tay";348.8;365.9;397.6;396.2;405.0;402.6;452.8;454.0;..;..;..;..;..;..;..
"Vinh Phuc";83.4;85.2;125.0;163.4;249.9;371.1;403.6;587.4;787.4;889.7;1111.2;1198.2;1322.1;1406.2;1608.0
"Bac Ninh";96.2;102.5;105.5;134.3;107.5;122.5;149.7;202.1;246.3;281.0;335.2;341.2;371.3;391.7;403.2
"Quang Ninh";448.0;499.1;523.2;634.9;772.6;870.5;898.4;1192.6;1204.0;1243.1;1375.0;1499.4;1606.2;1647.6;1599.8
"Hai Duong";90.7;101.0;117.9;141.1;228.6;291.0;377.5;410.5;530.9;577.8;718.1;845.8;954.7;1062.5;1092.9
"Hai Phong";244.7;287.4;326.2;355.3;393.4;598.7;756.0;899.2;1138.2;1054.2;1156.4;1294.2;1390.2;1524.6;1606.9
"Hung Yen";42.8;49.2;52.4;73.7;95.8;129.0;180.0;280.6;294.6;307.9;362.7;438.5;470.4;463.1;479.7
"Thai Binh";187.9;216.9;256.9;285.2;372.7;463.2;495.7;504.6;577.7;814.2;917.6;965.8;1030.6;1093.9;1158.9
"Ha Nam";53.5;58.0;67.6;69.6;104.7;108.5;111.5;141.3;153.2;195.2;232.4;246.8;255.9;264.2;273.0
"Nam Dinh";474.3;495.1;532.8;575.6;614.6;641.3;692.8;742.9;747.6;854.7;1006.8;1151.4;1215.1;1308.6;1344.4
"Ninh Binh";88.8;93.6;108.6;136.0;202.5;257.6;323.1;355.4;400.4;476.4;557.6;575.3;632.2;666.2;679.2
"Northern midlands and mountain areas";1400.0;1483.0;1609.9;2072.5;2377.1;2563.6;2933.8;3265.0;3646.3;4147.8;4629.3;4633.2;4974.4;5162.9;5394.9
"Ha Giang";46.1;49.2;51.2;54.0;58.9;62.8;67.2;77.7;85.8;108.7;120.7;123.7;129.6;133.7;141.1
"Cao Bang";80.2;100.9;101.4;103.8;103.3;63.9;71.9;73.5;96.1;74.0;78.7;73.4;76.3;79.9;82.9
"Bac Kan";34.5;36.6;37.9;66.4;120.5;116.6;120.4;123.6;147.6;196.2;203.7;227.1;221.4;215.9;220.8
"Tuyen Quang";116.6;123.7;150.6;181.5;200.1;276.8;361.5;398.4;411.6;618.0;643.4;651.7;669.8;636.1;662.3
"Lao Cai";44.3;44.8;53.9;61.1;72.8;84.3;101.7;117.8;132.7;141.2;148.0;140.4;143.7;154.2;166.7
"Yen Bai";118.1;125.1;121.4;151.4;185.9;231.8;248.2;265.5;272.4;275.6;308.0;304.5;333.6;356.1;366.2
"Thai  Nguyen";113.1;115.3;146.3;189.8;278.0;284.7;306.2;339.6;434.2;454.9;468.4;523.9;573.2;609.8;653.0
"Lang Son";165.4;176.5;227.1;321.1;244.1;199.4;218.4;242.8;272.7;287.6;322.3;355.4;383.7;410.0;422.1
"Bac Giang";233.7;239.1;204.9;289.2;365.9;389.5;469.5;570.4;654.5;775.4;977.5;977.8;1082.0;1164.4;1225.2
"Phu Tho";160.9;166.4;185.5;238.0;287.9;322.1;397.6;464.1;495.1;527.9;616.1;557.1;608.0;618.6;643.9
"Dien Bien";67.5;74.9;75.4;66.3;78.3;90.5;116.8;133.3;138.9;144.2;157.9;142.9;156.5;168.7;183.6
"Lai Chau";..;..;..;6.7;7.0;11.0;12.4;16.2;16.8;17.7;22.3;22.4;22.9;24.3;24.6
"Son La";128.6;126.2;131.0;187.3;192.8;192.6;201.4;221.8;238.7;249.4;279.3;251.0;272.4;286.4;289.6
"Hoa Binh";91.0;104.3;123.4;155.9;181.6;237.6;240.6;220.3;249.2;277.0;283.0;281.9;301.3;304.8;312.9
"Northern Central area and Central coastal area";4539.5;4644.3;4602.2;5056.8;5706.4;6379.2;7237.2;8413.8;9770.9;11339.5;13074.4;14986.0;16293.6;17445.8;18442.2
"Thanh Hoa";215.3;230.0;244.5;258.0;275.4;304.7;397.7;463.6;580.4;715.8;858.2;963.1;1094.2;1190.0;1268.8
"Nghe An";639.5;654.3;759.3;812.3;982.9;1080.1;1219.5;1526.1;2213.9;2489.6;2837.0;3341.5;3702.1;4002.6;4350.3
"Ha Tinh";180.4;185.8;166.2;217.8;288.7;375.5;440.8;678.3;751.6;1180.2;1516.0;1773.0;1898.6;1973.3;2113.1
"Quang Binh";93.4;107.5;121.8;132.7;162.8;162.7;227.4;274.0;295.0;401.5;473.4;566.8;608.5;634.5;661.3
"Quang Tri";259.5;248.6;186.4;197.4;216.7;218.7;309.8;368.6;429.3;557.0;627.4;568.2;591.7;590.4;522.1
"Thua Thien-Hue";445.8;451.1;444.0;479.2;468.1;534.7;602.6;699.1;633.5;717.5;746.8;732.5;792.3;853.0;839.5
"Da Nang";327.5;307.7;327.8;502.7;538.1;465.0;522.2;628.2;731.5;796.2;1097.0;1209.3;1324.9;1455.0;1520.9
"Quang  Nam";300.7;339.9;352.8;363.5;388.2;415.5;526.5;486.0;509.4;569.8;637.1;655.2;678.8;701.2;735.1
"Quang  Ngai";286.9;260.9;236.8;237.0;257.4;291.5;300.2;348.2;440.2;508.6;537.7;652.9;699.0;739.4;764.8
"Binh Dinh";706.1;742.8;755.0;755.1;784.9;975.6;1057.5;1230.0;1307.4;1333.3;1365.3;2105.8;2261.4;2460.1;2624.8
"Phu Yen";389.3;399.4;400.7;440.3;469.7;470.0;416.3;437.0;473.9;510.9;563.9;579.7;637.7;681.1;722.4
"Khanh  Hoa";314.4;320.2;196.3;220.7;396.7;546.3;623.6;674.0;703.3;796.6;928.0;968.0;1083.7;1187.7;1300.8
"Ninh  Thuan";84.1;95.0;109.1;116.6;124.6;149.7;162.0;162.7;244.3;283.0;340.4;301.7;311.6;331.5;345.2
"Binh Thuan";296.6;301.1;301.5;323.5;352.2;389.2;431.1;438.0;457.2;479.5;546.2;568.3;609.1;646.0;673.1
"Central Highlands";1438.4;1628.4;1683.7;1923.9;2119.4;2337.4;2590.0;2983.9;3155.8;4359.1;4991.4;5301.2;5614.1;5801.1;5966.4
"Kon Tum";141.9;139.1;137.8;147.4;165.0;167.0;181.0;204.2;156.8;162.0;193.9;201.5;209.5;222.6;239.9
"Gia Lai";305.9;312.5;328.0;358.2;377.8;395.1;441.1;531.0;679.1;841.4;854.3;875.5;899.2;919.5;969.5
"Dak Lak";597.0;594.0;597.8;669.9;751.7;840.0;871.9;918.8;914.2;1334.5;1573.0;1698.2;1787.5;1849.5;1970.5
"Dak Nong";..;..;..;65.8;79.9;98.8;117.6;204.8;225.9;225.9;267.9;292.1;305.3;315.4;329.5
"Lam Dong";393.6;582.8;620.1;682.6;745.0;836.5;978.4;1125.1;1179.8;1795.3;2102.3;2233.9;2412.6;2494.1;2457.0
