"Number of passengers traffic by the road by province(*) by Cities, provincies and Year"

"Cities, provincies";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"WHOLE COUNTRY";21766.4;22757.7;24900.3;29628.9;33332.3;37550.3;42382.4;48035.1;53384.2;60097.6;68777.3;76786.3;83743.0;89710.5;95633.3
"Red River Delta";2736.5;2945.4;3618.1;5324.6;6430.3;7495.2;8462.0;9769.8;11380.9;12314.9;14551.3;16040.5;17595.7;19073.7;20384.5
"Ha Noi";637.2;654.5;1071.1;2442.9;2981.9;3339.3;3739.6;4096.0;5395.0;5710.4;7079.5;7716.6;8581.1;9490.3;10252.3
"Ha Tay";343.5;361.9;394.1;390.7;398.3;392.9;442.0;451.4;..;..;..;..;..;..;..
"Vinh Phuc";83.4;85.2;125.0;163.4;249.9;371.1;403.6;587.4;787.4;889.7;1111.2;1197.8;1315.7;1400.1;1608.0
"Bac Ninh";95.9;102.3;105.3;134.1;107.3;122.3;149.4;200.9;244.7;280.0;333.2;338.9;368.8;389.3;401.2
"Quang Ninh";413.8;460.8;481.1;581.0;708.7;809.9;822.0;1134.9;1145.1;1188.0;1285.0;1377.5;1492.2;1527.9;1599.8
"Hai Duong";90.7;101.0;117.9;141.1;228.6;291.0;377.5;410.5;530.9;577.8;718.1;845.8;953.7;1061.6;1092.9
"Hai Phong";225.0;267.5;305.9;332.0;366.0;570.1;725.8;864.8;1106.2;1021.9;1032.1;1197.0;1290.9;1420.3;1497.0
"Hung Yen";42.6;48.7;51.9;73.2;95.3;128.3;179.3;280.2;294.1;307.3;362.5;437.9;469.5;462.0;478.0
"Thai Binh";187.9;216.9;256.9;285.2;372.7;463.2;495.7;504.6;577.7;814.1;888.9;961.8;1028.8;1092.0;1158.9
"Ha Nam";53.5;58.0;67.6;69.6;104.7;108.5;111.5;141.1;152.9;194.9;232.2;246.6;255.7;263.9;272.8
"Nam Dinh";474.3;495.1;532.8;575.6;614.6;641.3;692.8;742.9;746.9;854.8;956.6;1151.4;1215.1;1308.6;1344.4
"Ninh Binh";88.7;93.5;108.5;135.8;202.3;257.3;322.8;355.1;400.0;476.0;552.0;569.2;624.2;657.7;679.2
"Northern midlands and mountain areas";1372.9;1458.4;1586.2;2044.5;2350.5;2553.3;2921.0;3249.9;3625.5;4122.9;4576.5;4617.4;4954.2;5144.3;5392.6
"Ha Giang";46.1;49.2;51.2;54.0;58.9;62.8;67.2;77.7;85.8;108.7;118.0;123.7;129.6;133.7;141.1
