"Number of telephone and internet subscribers by Items, Year and Subscribers"

"Items";"Year";"Number of telephone subscribers";"Of which: Mobi-phone";"Number of internet subscribers (ADSL)"
"Total - Thous. Subcribers";"2005";15845.0;8718.1;210.0
"Total - Thous. Subcribers";"2006";28518.1;19748.9;516.6
"Total - Thous. Subcribers";"2007";56189.7;45024.0;1294.1
"Total - Thous. Subcribers";"2008";89639.9;74872.3;2049.0
"Total - Thous. Subcribers";"2009";112563.2;98224.0;2967.3
"Total - Thous. Subcribers";"2010";124311.1;111570.2;3643.7
"Total - Thous. Subcribers";"2011";138143.7;127318.0;4084.6
"Total - Thous. Subcribers";"2012";141229.8;131673.7;4775.4
"Total - Thous. Subcribers";"2013";130465.6;123735.6;5152.6
"Total - Thous. Subcribers";"2014";142548.1;136148.1;6000.5
"Total - Thous. Subcribers";"Pre. 2015";126224.1;120324.1;7657.6
"Index (Previous year = 100) - %";"2005";..;..;..
"Index (Previous year = 100) - %";"2006";180.0;226.5;246.0
"Index (Previous year = 100) - %";"2007";197.0;228.0;250.5
"Index (Previous year = 100) - %";"2008";159.5;166.3;158.3
"Index (Previous year = 100) - %";"2009";125.6;131.2;144.8
"Index (Previous year = 100) - %";"2010";110.4;113.6;122.8
"Index (Previous year = 100) - %";"2011";111.1;114.1;112.1
"Index (Previous year = 100) - %";"2012";102.2;103.4;116.9
"Index (Previous year = 100) - %";"2013";92.4;94.0;107.9
"Index (Previous year = 100) - %";"2014";109.3;110.0;116.5
"Index (Previous year = 100) - %";"Pre. 2015";88.5;88.4;127.6
