"Some main indicators on capacity of transportation by Year, Indicators and Management"

"Year";"Indicators";"Total";"Central management";"Provincial city management";"District management"
"2014";"Road (Km)";212151;16832;37880;157439
"2014";"Asphalted road (Km)";108323;16602;31777;59944
"2014";"Stone paved road (Km)";6527;29;915;5583
"2014";"Mixed stone & soil road (Km)";48892;151;3619;45122
"2014";"Soil road (Km)";48409;50;1569;46790
"2014";"Inland waterways (Km)";40005;7866;11889;20250
"2014";"Inland waterways weight under 50 tons (Km)";24859;889;5677;18293
"2014";"Inland waterways weight 51 tons - 100 tons (Km)";5426;1146;2960;1320
"2014";"Inland waterways weight 101 tons - 500 tons (Km)";5745;2918;2235;592
"2014";"Inland waterways weight 501 tons - 1000 tons (Km)";2949;1926;978;45
"2014";"Inland waterways weight over 1001 tons (Km)";1026;987;39;..
"2014";"Number of bridges (Unit)";29019;3578;7706;17735
"2014";"Total length of bridges (M)";924573;169327;313290;441956
"2013";"Road (Km)";211496;16514;37671;157311
"2013";"Asphalted road (Km)";108023;16302;31777;59944
"2013";"Stone paved road (Km)";6509;11;915;5583
"2013";"Mixed stone & soil road (Km)";48555;151;3410;44994
"2013";"Soil road (Km)";48409;50;1569;46790
"2013";"Inland waterways (Km)";39755;7827;11804;20124
"2013";"Inland waterways weight under 50 tons (Km)";24749;850;5607;18293
"2013";"Inland waterways weight 51 tons - 100 tons (Km)";5323;1146;2960;1217
"2013";"Inland waterways weight 101 tons - 500 tons (Km)";5746;2918;2235;592
"2013";"Inland waterways weight 501 tons - 1000 tons (Km)";2927;1926;978;23
"2013";"Inland waterways weight over 1001 tons (Km)";1011;987;24;..
"2013";"Number of bridges (Unit)";29019;3578;7706;17735
"2013";"Total length of bridges (M)";924573;169327;313290;441956
"2012";"Road (Km)";216557;16226;39919;160412
"2012";"Asphalted road (Km)";112940;15628;32548;64764
"2012";"Stone paved road (Km)";5511;13;1294;4204
"2012";"Mixed stone & soil road (Km)";42189;333;3966;37890
"2012";"Soil road (Km)";55917;252;2111;53554
"2012";"Inland waterways (Km)";49740;8334;11863;29543
"2012";"Inland waterways weight under 50 tons (Km)";33789;821;5809;27159
"2012";"Inland waterways weight 51 tons - 100 tons (Km)";5614;1105;2955;1554
