"Turnover of postal service, delivery and telecommunications by Items, Year and Telecommunications"

"Items";"Year";"Total";"Postal service";"Telecommunications"
"Turnover - Bill. Dongs";"2007";58864.1;1611.4;57252.7
"Turnover - Bill. Dongs";"2008";89750.2;2315.3;87434.9
"Turnover - Bill. Dongs";"2009";126352.5;3141.8;123210.7
"Turnover - Bill. Dongs";"2010";182182.6;4017.6;178165.1
"Turnover - Bill. Dongs";"2011";150755.1;5129.1;145626.0
"Turnover - Bill. Dongs";"2012";182089.6;5701.2;176388.4
"Turnover - Bill. Dongs";"2013";306654.0;8256.0;298398.0
"Turnover - Bill. Dongs";"2014";336680.0;8708.0;327972.0
"Turnover - Bill. Dongs";"Pre. 2015";366812.0;8811.0;358001.0
"Index (Previous year = 100) - %";"2007";..;..;..
"Index (Previous year = 100) - %";"2008";152.5;143.7;152.7
"Index (Previous year = 100) - %";"2009";140.8;135.7;140.9
"Index (Previous year = 100) - %";"2010";144.2;127.9;144.6
"Index (Previous year = 100) - %";"2011";82.7;127.7;81.7
"Index (Previous year = 100) - %";"2012";120.8;111.2;121.1
"Index (Previous year = 100) - %";"2013";168.4;144.8;169.2
"Index (Previous year = 100) - %";"2014";109.8;105.5;109.9
"Index (Previous year = 100) - %";"Pre. 2015";108.9;101.2;109.2
