"Volume of freight by province(*) by Cities, provincies and Year"

"Cities, provincies";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"WHOLE COUNTRY";194326.7;219650.4;255962.2;309102.8;360153.2;411276.5;460890.3;539930.0;594643.9;656840.0;739941.0;822163.8;909786.2;972311.8;1043632.2
"Red River Delta";59641.2;69463.4;82945.7;100967.6;119965.9;137567.3;153655.3;191553.8;207117.6;231234.0;265370.8;293477.9;322918.0;338266.9;364389.5
"Ha Noi";9118.0;10549.0;12898.4;16791.8;20121.1;22781.0;27494.9;33149.2;56552.4;60132.8;73242.0;77023.4;84603.2;77795.4;86085.6
"Ha Tay";6145.4;7559.3;9302.5;11947.4;15051.3;18062.0;20806.0;21843.0;..;..;..;..;..;..;..
"Vinh Phuc";2043.0;2409.0;3165.0;4379.5;5515.0;6335.0;7418.8;10263.0;10877.3;13364.0;14983.4;16241.8;17287.0;20250.6;20305.9
"Bac Ninh";6138.6;6371.4;7186.1;11730.6;14484.3;16123.1;15258.0;16908.6;16980.7;18106.5;19382.8;20024.0;20181.1;22104.5;23376.2
"Quang Ninh";5270.0;6007.0;6755.0;7085.0;8291.0;9034.0;9976.0;13238.2;11196.2;12233.0;13283.0;15418.4;16923.2;18756.6;20063.3
"Hai Duong";4541.0;4812.0;5262.0;8611.0;10290.7;13231.0;16320.0;20396.0;22413.1;27614.0;31478.6;33590.7;38738.9;43425.8;48807.9
"Hai Phong";8117.5;12833.4;17458.6;17512.7;18402.0;19286.5;19760.8;28313.8;35812.4;36758.6;40254.4;47567.7;51157.6;58955.2;62383.1
"Hung Yen";4151.0;4187.0;4295.0;4449.0;4808.0;5979.0;6777.0;9692.0;10407.0;11467.0;13406.0;14319.4;17059.1;18765.9;19707.6
"Thai Binh";2956.1;3277.6;3730.9;4260.8;5012.5;7121.7;7183.8;7818.1;8700.0;9558.0;12777.8;14948.4;16912.8;14215.9;15134.9
"Ha Nam";1752.7;1928.7;2142.1;2314.8;2938.0;3122.0;4500.0;5447.9;5423.5;6078.1;6644.2;7773.9;8222.4;9155.5;9556.3
"Nam Dinh";4656.0;5013.0;5865.0;6695.0;7326.0;7988.0;8609.0;9480.0;10994.0;13564.0;15854.3;16642.9;19491.3;21511.6;22657.1
"Ninh Binh";4752.0;4516.0;4885.0;5190.0;7726.0;8504.0;9551.0;15004.0;17761.0;22358.0;24064.3;29927.3;32341.4;33329.9;36311.6
"Northern midlands and mountain areas";18882.2;22346.2;25698.3;32611.6;38056.4;42183.4;46686.0;56989.6;61945.3;69195.8;76108.4;87011.9;95818.4;101580.4;109154.6
"Ha Giang";418.0;437.0;456.0;480.7;505.5;536.9;566.8;691.0;755.0;981.0;1090.9;1332.0;1621.5;1714.0;1765.4
"Cao Bang";566.0;598.0;784.0;973.0;1586.0;1479.0;1640.0;1824.0;2165.1;2451.0;2456.0;2524.1;2294.3;2067.2;2138.3
"Bac Kan";1015.6;1091.6;1188.4;1464.7;1596.0;1368.0;1425.0;1563.0;1936.6;2392.9;2584.3;2349.2;2272.2;1808.2;1905.7
"Tuyen Quang";1910.0;3147.0;3656.0;4514.0;5014.0;5997.0;5210.0;5852.2;6619.0;7206.0;7739.7;7882.4;8374.8;8941.6;9605.7
"Lao Cai";428.3;409.9;414.9;441.8;543.6;627.7;768.5;989.0;1226.0;1431.0;1607.5;1902.7;2273.3;2808.0;2915.1
"Yen Bai";1356.0;1601.0;2020.0;2332.0;3081.0;3516.0;3890.0;4119.0;4368.0;4494.0;5199.7;6383.0;7243.0;7402.2;7978.0
"Thai  Nguyen";2543.0;2906.0;3352.0;4125.0;6128.4;7358.2;7942.0;9597.0;10314.0;12203.4;14233.3;16964.6;18212.4;19087.0;20532.1
"Lang Son";2183.0;2344.0;2851.0;2860.0;2432.0;1509.0;1640.0;1883.0;2263.0;3121.0;3768.0;4034.8;4411.3;4886.2;5112.9
"Bac Giang";2713.0;2908.0;3176.0;4524.0;4790.0;4985.0;5260.6;6215.0;7036.0;7925.0;8146.3;9734.4;10573.3;11372.8;12101.2
"Phu Tho";2946.2;3891.7;4670.0;6409.4;7115.0;9120.9;12257.1;17887.0;18027.6;18887.0;20098.4;22835.1;27174.7;30333.0;33360.0
"Dien Bien";540.0;775.0;607.0;613.0;679.9;753.2;821.0;709.4;736.0;818.5;908.5;1099.8;1195.5;1294.3;1335.9
"Lai Chau";..;..;..;240.0;219.0;435.5;510.0;591.0;683.0;757.0;885.2;979.4;1208.8;1021.7;1040.9
"Son La";783.0;1007.0;1149.0;1524.0;2077.0;2082.0;2196.0;2371.0;2578.0;2686.0;2957.4;3097.6;3232.6;3440.8;3766.5
"Hoa Binh";1480.0;1230.0;1374.0;2110.0;2289.0;2415.0;2559.0;2698.0;3238.0;3842.0;4433.2;5892.8;5730.7;5403.4;5596.9
"Northern Central area and Central coastal area";43683.9;47857.7;55511.0;65404.4;78618.1;92370.1;102259.7;109875.3;122506.4;137316.6;153132.7;176241.7;196687.5;220281.0;237996.5
"Thanh Hoa";9280.0;9736.0;10141.0;10578.0;11226.0;12629.0;14631.0;16751.0;18785.0;22147.0;24854.8;30315.1;34457.4;38269.5;41463.7
"Nghe An";6294.0;6725.5;9123.0;10748.0;13594.9;18274.0;21090.0;22567.7;24855.0;27218.0;29313.3;35327.4;40571.0;45372.9;50871.6
"Ha Tinh";3913.0;4082.0;4281.0;4737.0;6602.0;6889.0;8102.9;8773.8;10480.0;11871.0;14540.1;17647.3;19832.0;21852.7;22911.5
"Quang Binh";3379.0;4220.0;4870.0;5530.0;5745.0;6221.0;5070.0;5487.0;6499.0;7377.0;8099.5;9576.9;10790.1;13178.5;14665.8
"Quang Tri";1389.0;1682.0;1982.0;1938.0;2288.0;3139.1;3006.0;3171.0;4019.0;4864.4;5800.3;6082.4;6039.0;6721.1;7308.6
"Thua Thien-Hue";1713.0;2038.2;3085.0;2962.0;3323.7;4661.0;4729.0;5098.4;5772.9;5834.0;5840.4;4392.5;5100.8;5433.0;5819.3
"Da Nang";4936.9;5565.0;7377.0;10583.4;14582.9;14914.0;15688.3;15018.0;16161.5;17666.0;19190.6;22156.9;25077.0;25391.3;27045.0
"Quang  Nam";1618.0;1865.0;2125.0;2453.0;2094.5;3247.0;3688.6;4427.0;4756.0;5567.0;6637.5;7654.8;7414.6;11865.9;12496.3
"Quang  Ngai";742.0;865.0;938.0;950.0;1048.0;1146.0;2040.0;2694.0;2645.0;3028.0;3185.2;5505.9;6716.5;6737.4;7203.2
"Binh Dinh";1421.0;1474.0;2051.0;3132.0;4571.2;5813.0;6581.0;6997.0;7342.0;8080.0;9049.2;10265.6;9574.3;12230.1;12812.0
"Phu Yen";2921.0;3015.0;3141.0;3323.0;3613.0;3943.0;4524.0;4899.0;5499.0;5619.4;6584.1;7415.5;8330.8;8839.0;9395.8
"Khanh  Hoa";4200.0;4523.0;4127.0;6002.0;7200.0;8024.0;8842.0;9177.4;10465.0;12175.8;13480.6;12879.1;14447.7;15146.0;16131.6
"Ninh  Thuan";693.0;790.0;962.0;1000.0;1050.0;1312.0;1885.0;2114.0;2376.0;2916.0;3244.1;3549.4;4022.4;4279.3;4551.6
"Binh Thuan";1184.0;1277.0;1308.0;1468.0;1679.0;2158.0;2382.0;2700.0;2851.0;2953.0;3313.0;3472.9;4313.9;4964.3;5320.5
"Central Highlands";4834.0;5411.0;5954.0;6929.0;7357.8;8820.5;10844.1;12963.2;16189.2;19002.2;23058.9;26874.8;29340.4;34065.2;35922.4
"Kon Tum";516.0;586.0;665.0;720.0;885.0;1032.0;1428.0;1738.0;1794.0;2323.5;2486.1;2890.1;3104.0;3467.2;3678.7
"Gia Lai";1146.0;1264.0;1725.0;2115.0;2115.0;2636.0;3113.0;3696.0;5506.0;6734.0;7819.0;8264.7;8801.9;10667.9;11414.6
"Dak Lak";1695.0;1877.0;1880.0;1990.0;2034.0;2378.0;2910.0;3728.6;4507.0;4988.0;6925.0;8885.2;10004.9;11225.5;11758.6
"Dak Nong";..;..;..;367.0;373.0;399.0;431.0;461.0;530.2;609.7;652.4;774.4;800.7;860.0;885.8
"Lam Dong";1477.0;1684.0;1684.0;1737.0;1950.8;2375.5;2962.1;3339.6;3852.0;4347.0;5176.4;6060.4;6628.9;7844.6;8184.7
"South East";38287.8;42768.8;46761.0;60780.0;69338.0;71007.0;83130.4;103796.9;113913.7;120357.3;135348.5;150399.3;167603.2;175193.9;190255.7
"Binh Phuoc";489.0;511.0;560.0;624.0;844.0;913.0;1006.8;1127.0;1165.0;1279.0;1368.8;1576.2;1625.6;1756.4;1870.8
