"Volume of freight by the road by province(*) by Cities, provincies and Year"

"Cities, provincies";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"WHOLE COUNTRY";142955.0;162179.5;190171.1;222777.1;261800.6;294718.0;334836.3;399595.4;447548.3;492081.7;561515.0;633848.7;705110.0;758930.6;817138.2
"Red River Delta";38996.3;45514.0;56737.3;65892.8;77862.5;89133.4;102720.0;131477.0;148108.1;163433.0;191371.1;215947.4;238811.3;245226.4;265066.6
"Ha Noi";6272.0;7605.0;9660.0;12761.8;15314.1;16634.0;20459.8;32210.0;55203.2;58490.6;71450.4;75108.6;82521.8;75920.1;84005.6
"Ha Tay";4837.4;5905.3;7620.5;9953.4;12901.3;15350.0;17254.0;18520.0;..;..;..;..;..;..;..
"Vinh Phuc";1343.0;1655.0;2246.0;3341.5;4344.0;4889.0;5866.8;7360.0;8449.3;10687.0;11950.5;13169.5;14250.7;16941.0;16804.0
"Bac Ninh";2961.0;3092.0;3578.8;3805.8;4681.1;6085.5;7606.8;7850.8;8855.7;9989.2;11267.9;11910.1;12755.7;14171.6;15245.3
"Quang Ninh";4219.0;4631.0;5279.0;5316.0;6270.0;6811.0;7551.0;9056.6;9962.2;10958.5;11966.7;13996.7;15494.4;17204.9;18385.9
"Hai Duong";2126.0;2222.0;2433.0;3967.0;4363.7;5917.0;7857.0;8142.0;9925.1;14066.0;16697.7;18617.7;21204.7;23433.0;26306.2
"Hai Phong";5262.5;6885.4;11245.6;11041.7;12573.0;12935.5;13519.9;19881.0;23201.1;23363.6;25466.3;31374.5;36833.7;40811.7;43822.3
"Hung Yen";3633.0;3705.0;3776.0;3897.0;4178.0;5308.0;5181.0;7225.0;8782.0;9762.0;11470.5;12147.3;14704.7;16451.5;17191.2
"Thai Binh";2237.8;2487.5;2822.3;3030.8;3287.3;4817.4;4720.7;4772.9;5498.0;5137.0;7857.8;9941.0;9815.5;6514.0;6978.6
"Ha Nam";1416.7;1586.7;1777.1;1954.8;2248.0;2412.0;3700.0;4525.7;5023.5;5576.1;6077.9;7186.8;7603.6;8599.7;8994.3
"Nam Dinh";2043.0;2155.0;2414.0;2722.0;2958.0;3136.0;3346.0;3676.0;4022.0;4783.0;5365.1;5653.6;6623.1;7134.1;7514.2
"Ninh Binh";2645.0;3584.0;3885.0;4101.0;4744.0;4838.0;5657.0;8257.0;9186.0;10620.0;11800.3;16841.6;17003.4;18044.8;19819.0
"Northern midlands and mountain areas";16755.0;19897.6;23019.5;29581.1;34924.6;38659.6;42097.6;50024.4;56339.7;62393.4;69280.7;78977.8;87770.9;90364.6;96401.0
"Ha Giang";418.0;437.0;456.0;480.7;505.5;536.9;566.8;682.0;755.0;981.0;1090.9;1332.0;1621.5;1714.0;1765.4
"Cao Bang";566.0;598.0;784.0;973.0;1586.0;1479.0;1640.0;1824.0;2165.0;2451.0;2456.0;2524.1;2294.3;2067.2;2138.3
"Bac Kan";1015.6;1082.6;1178.4;1440.4;1571.0;1342.0;1399.0;1563.0;1936.6;2392.9;2584.3;2349.1;2272.2;1808.2;1905.7
"Tuyen Quang";1776.0;3017.0;3503.0;4291.0;4883.0;5906.0;5162.0;5852.0;6521.0;7103.0;7729.7;7872.6;8365.9;8936.4;9605.7
"Lao Cai";357.3;365.0;357.0;407.0;529.7;616.8;741.8;983.0;1223.0;1430.0;1605.9;1900.9;2271.6;2805.4;2912.4
"Yen Bai";916.0;1090.0;1559.0;1849.0;2566.0;3307.0;3606.0;3871.0;4109.0;4243.0;4893.2;6077.4;6937.1;6956.7;7529.8
"Thai  Nguyen";2462.0;2869.0;3321.0;4102.0;6107.4;7346.2;7936.0;9594.0;10294.0;12185.0;14216.4;16964.6;18212.4;19087.0;20532.1
"Lang Son";2183.0;2344.0;2851.0;2860.0;2432.0;1509.0;1640.0;1878.0;2263.0;3121.0;3768.0;4034.8;4411.3;4886.2;5112.9
"Bac Giang";2126.0;2222.0;2433.0;3967.0;4086.1;4236.0;4469.0;5390.0;6045.0;6866.0;7490.8;9004.0;9886.4;10726.8;11349.8
"Phu Tho";2241.1;2960.9;3553.1;4784.0;5483.0;6830.0;8982.0;12225.0;14022.1;13773.0;14533.2;16108.0;20363.5;20444.4;22050.8
"Dien Bien";540.0;775.0;607.0;613.0;679.9;753.2;821.0;709.4;736.0;818.5;908.5;1099.8;1195.5;1294.2;1335.9
"Lai Chau";..;..;..;240.0;219.0;435.5;510.0;591.0;683.0;757.0;885.2;979.4;1208.8;1021.7;1040.9
"Son La";754.0;987.0;1128.0;1501.0;2047.0;2022.0;2150.0;2332.0;2543.0;2650.0;2905.6;3039.5;3183.2;3387.3;3703.4
"Hoa Binh";1400.0;1150.0;1289.0;2073.0;2229.0;2340.0;2474.0;2530.0;3044.0;3622.0;4213.0;5691.6;5547.2;5229.1;5417.9
"Northern Central area and Central coastal area";37378.6;40627.7;48518.0;58014.0;70904.2;85168.6;94427.6;101395.9;113661.4;128062.0;143132.4;165721.0;185138.8;208423.8;225330.1
"Thanh Hoa";6416.0;6757.0;7072.0;7430.0;7889.0;8979.0;10733.0;12455.0;13906.0;16746.0;18956.5;23994.6;27099.3;30528.9;33181.3
"Nghe An";5848.0;6258.5;8405.0;9998.0;13211.9;17836.0;20599.0;21884.0;24002.0;26272.0;28242.4;34229.8;39361.4;44102.8;49497.4
"Ha Tinh";2946.0;2676.0;3591.0;3960.0;5609.0;6470.0;7571.0;8347.8;9952.0;11330.0;14022.9;17315.4;19480.4;21556.0;22594.3
"Quang Binh";2749.0;3399.0;4249.0;4851.0;4967.0;5525.0;4572.0;5023.0;6069.0;6996.0;7710.3;9175.2;10404.7;12860.3;14329.3
"Quang Tri";1264.0;1527.0;1829.0;1800.0;2190.0;2997.6;2950.0;3069.0;3960.0;4784.2;5709.6;5984.0;5963.9;6649.6;7233.1
"Thua Thien-Hue";1512.0;1778.2;2713.0;2678.0;3079.7;4526.0;4503.0;4871.0;5552.9;5619.0;5685.8;4171.6;4839.2;5219.9;5608.3
"Da Nang";4550.6;5217.0;6917.0;10012.0;13845.0;14248.0;14884.0;14231.0;15369.5;17010.0;18438.8;21360.0;24300.0;24629.1;26230.0
"Quang  Nam";1203.0;1336.0;1503.0;1764.0;1379.5;2855.0;3125.6;3931.0;4208.0;4946.0;5923.3;6803.7;6672.4;11122.7;11701.1
"Quang  Ngai";703.0;821.0;900.0;903.0;1012.0;1090.0;1983.0;2648.0;2615.0;2994.0;3146.7;5463.7;6674.1;6673.7;7139.3
"Binh Dinh";1371.0;1423.0;1983.0;3056.0;4431.2;5539.0;6209.0;6686.0;7158.0;7928.0;8908.7;10156.9;9463.8;12120.3;12702.1
"Phu Yen";2870.0;2954.0;3087.0;3270.0;3564.0;3894.0;4486.0;4868.0;5496.0;5618.0;6582.9;7414.7;8329.9;8838.0;9394.8
"Khanh  Hoa";4102.0;4425.0;4009.0;5836.0;7015.0;7760.0;8569.0;8644.1;10180.0;11988.8;13283.6;12664.0;14247.0;14916.6;15886.2
"Ninh  Thuan";693.0;790.0;962.0;1000.0;1050.0;1312.0;1885.0;2114.0;2376.0;2916.0;3244.1;3549.4;4022.4;4279.3;4551.6
"Binh Thuan";1151.0;1266.0;1298.0;1456.0;1661.0;2137.0;2358.0;2624.0;2817.0;2914.0;3276.8;3438.0;4280.3;4926.6;5281.3
"Central Highlands";4797.0;5382.0;5934.8;6915.0;7342.3;8800.9;10813.7;12943.5;16164.2;18971.2;23023.7;26841.5;29316.4;34028.2;35889.3
"Kon Tum";516.0;586.0;665.0;720.0;885.0;1032.0;1428.0;1738.0;1794.0;2323.5;2486.1;2890.1;3104.0;3467.2;3678.7
"Gia Lai";1146.0;1264.0;1725.0;2115.0;2115.0;2636.0;3113.0;3696.0;5506.0;6734.0;7819.0;8264.7;8801.9;10667.9;11414.6
"Dak Lak";1667.0;1857.0;1870.0;1985.0;2029.0;2374.0;2903.0;3717.6;4492.0;4968.0;6900.0;8864.0;9980.9;11188.5;11725.6
"Dak Nong";..;..;..;367.0;373.0;399.0;431.0;461.0;530.2;609.7;652.4;774.4;800.7;860.0;885.7
