"Volume of freight by the waterway by province (*) by Cities, provincies and Year"

"Cities, provincies";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"WHOLE COUNTRY";51371.7;57471.0;65791.1;86325.7;98352.7;116558.4;126054.0;140331.6;147095.6;164758.3;178426.0;188315.0;204676.2;213381.1;226494.1
"Red River Delta";20644.9;23949.5;26208.3;35074.8;42103.4;48433.9;50935.3;60077.0;59009.5;67801.0;73999.7;77530.5;84106.7;93040.5;99322.9
"Ha Noi";2846.0;2944.0;3238.4;4030.0;4807.0;6147.0;7035.0;7551.0;1349.2;1642.2;1791.6;1914.8;2081.4;1875.3;2080.0
"Ha Tay";1308.0;1654.0;1682.0;1994.0;2150.0;2712.0;3552.0;3323.0;..;..;..;..;..;..;..
"Vinh Phuc";700.0;754.0;919.0;1038.0;1171.0;1446.0;1552.0;2903.0;2428.0;2677.0;3032.9;3072.3;3036.3;3309.6;3501.9
"Bac Ninh";3177.6;3279.4;3607.3;7924.8;9803.2;10037.6;7651.2;6857.0;8125.0;8117.3;8114.9;8113.9;7425.4;7932.9;8130.9
"Quang Ninh";1051.0;1376.0;1476.0;1769.0;2021.0;2223.0;2425.0;4181.6;1234.0;1274.5;1316.3;1421.7;1428.8;1551.7;1677.4
"Hai Duong";2415.0;2590.0;2829.0;4644.0;5927.0;7314.0;8463.0;7843.0;12488.0;13548.0;14780.9;14973.0;17534.2;19992.8;22501.7
"Hai Phong";2855.0;5948.0;6213.0;6471.0;5829.0;6351.0;6241.0;8432.8;12611.3;13395.0;14788.1;16193.2;14323.9;18143.5;18560.8
"Hung Yen";518.0;482.0;519.0;552.0;630.0;671.0;1596.0;2467.0;1625.0;1705.0;1935.5;2172.1;2354.4;2314.4;2516.4
"Thai Binh";718.3;790.1;908.6;1230.0;1725.2;2304.3;2463.1;3045.3;3202.0;4421.0;4920.0;5007.4;7097.3;7701.9;8156.3
"Ha Nam";336.0;342.0;365.0;360.0;690.0;710.0;800.0;922.3;400.0;502.0;566.3;587.1;618.8;555.8;562.0
"Nam Dinh";2613.0;2858.0;3451.0;3973.0;4368.0;4852.0;5263.0;5804.0;6972.0;8781.0;10489.2;10989.3;12868.2;14377.5;15142.9
"Ninh Binh";2107.0;932.0;1000.0;1089.0;2982.0;3666.0;3894.0;6747.0;8575.0;11738.0;12264.0;13085.7;15338.0;15285.1;16492.6
"Northern midlands and mountain areas";2127.1;2448.7;2678.8;3030.5;3131.9;3523.7;4588.4;6948.2;5605.6;6802.4;6827.7;8034.0;8047.6;11215.8;12753.6
