"Volume of freight by type of transport by Items, Year and Type of transport"

"Items";"Year";"Total";"Railway";"Road";"Inland waterway";"Maritine transport";"Aviation transport"
"Volume of freight (Thous. Tons)";"1995";140709.9;4515.0;91202.3;37653.7;7306.9;32.0
"Volume of freight (Thous. Tons)";"1996";157201.9;4041.5;103058.7;40270.3;9783.7;47.7
"Volume of freight (Thous. Tons)";"1997";176258.8;4752.0;114395.1;46286.2;10775.4;50.1
"Volume of freight (Thous. Tons)";"1998";189184.0;4977.6;121716.4;50632.4;11793.0;64.6
"Volume of freight (Thous. Tons)";"1999";203212.7;5146.0;130480.0;54538.1;13006.1;42.5
"Volume of freight (Thous. Tons)";"2000";223823.0;6258.2;144571.8;57395.3;15552.5;45.2
"Volume of freight (Thous. Tons)";"2001";252146.0;6456.7;164013.7;64793.5;16815.3;66.8
"Volume of freight (Thous. Tons)";"2002";292869.2;7051.9;192322.0;74931.5;18491.8;72.0
"Volume of freight (Thous. Tons)";"2003";347232.7;8385.0;225296.7;86012.7;27448.6;89.7
"Volume of freight (Thous. Tons)";"2004";403002.2;8873.6;264761.6;97936.8;31332.0;98.2
"Volume of freight (Thous. Tons)";"2005";460146.3;8786.6;298051.3;111145.9;42051.5;111.0
"Volume of freight (Thous. Tons)";"2006";513575.1;9153.2;338623.3;122984.4;42693.4;120.8
"Volume of freight (Thous. Tons)";"2007";596800.9;9050.0;403361.8;135282.8;48976.7;129.6
"Volume of freight (Thous. Tons)";"2008";653235.3;8481.1;455898.4;133027.9;55696.5;131.4
"Volume of freight (Thous. Tons)";"2009";715522.4;8247.5;513629.9;137714.5;55790.9;139.6
"Volume of freight (Thous. Tons)";"2010";800886.0;7861.5;587014.2;144227.0;61593.2;190.1
"Volume of freight (Thous. Tons)";"2011";885681.5;7285.1;654127.1;160164.5;63904.5;200.3
"Volume of freight (Thous. Tons)";"2012";961128.4;6952.1;717905.7;174385.4;61694.2;191.0
"Volume of freight (Thous. Tons)";"2013";1010413.9;6525.9;763790.0;181212.7;58701.6;183.7
"Volume of freight (Thous. Tons)";"2014";1078580.9;7178.9;821700.0;190600.0;58900.0;202.0
"Volume of freight (Thous. Tons)";"Prel. 2015";1141138.7;6667.0;874028.4;202838.7;57400.0;204.6
"Index (Previous year = 100) (%)";"1995";110.2;112.9;112.4;113.1;114.1;152.4
"Index (Previous year = 100) (%)";"1996";111.7;89.5;113.0;106.9;133.9;149.1
"Index (Previous year = 100) (%)";"1997";112.1;117.6;111.0;114.9;110.1;105.0
"Index (Previous year = 100) (%)";"1998";107.3;104.7;106.4;109.4;109.4;128.9
"Index (Previous year = 100) (%)";"1999";107.4;103.4;107.2;107.7;110.3;65.8
"Index (Previous year = 100) (%)";"2000";110.1;121.6;110.8;105.2;119.6;106.4
"Index (Previous year = 100) (%)";"2001";112.7;103.2;113.4;112.9;108.1;147.8
"Index (Previous year = 100) (%)";"2002";116.2;109.2;117.3;115.6;110.0;107.8
"Index (Previous year = 100) (%)";"2003";118.6;118.9;117.1;114.8;148.4;124.6
"Index (Previous year = 100) (%)";"2004";116.1;105.8;117.5;113.9;114.1;109.5
"Index (Previous year = 100) (%)";"2005";114.2;99.0;112.6;113.5;134.2;113.0
"Index (Previous year = 100) (%)";"2006";111.6;104.2;113.6;110.7;101.5;108.8
"Index (Previous year = 100) (%)";"2007";116.2;98.9;119.1;110.0;114.7;107.3
"Index (Previous year = 100) (%)";"2008";109.5;93.7;113.0;98.3;113.7;101.4
"Index (Previous year = 100) (%)";"2009";109.5;97.2;112.7;103.5;100.2;106.3
"Index (Previous year = 100) (%)";"2010";111.9;95.3;114.3;104.7;110.4;136.2
"Index (Previous year = 100) (%)";"2011";110.6;92.7;111.4;111.1;103.8;105.4
"Index (Previous year = 100) (%)";"2012";108.5;95.4;109.8;108.9;96.5;95.4
"Index (Previous year = 100) (%)";"2013";105.1;93.9;106.4;103.9;95.1;96.2
"Index (Previous year = 100) (%)";"2014";106.7;110.0;107.6;105.2;100.3;109.9
"Index (Previous year = 100) (%)";"Prel. 2015";105.8;93.3;106.4;106.4;97.5;99.0
