"Volume of freight by types of ownership by Items, Year and Types of ownership"

"Items";"Year";"Total";"State";"Non-state";"FDI"
"Volume of freight (Thous. Tons)";"1995";140709.9;26272.8;114437.1;..
"Volume of freight (Thous. Tons)";"1996";157201.9;29779.8;127422.1;..
"Volume of freight (Thous. Tons)";"1997";176258.8;34212.4;142046.4;..
"Volume of freight (Thous. Tons)";"1998";189184.0;33679.1;155504.9;..
"Volume of freight (Thous. Tons)";"1999";203212.7;34371.0;168841.7;..
"Volume of freight (Thous. Tons)";"2000";223823.0;40014.0;183809.0;..
"Volume of freight (Thous. Tons)";"2001";252146.0;48158.9;201835.6;2151.5
"Volume of freight (Thous. Tons)";"2002";292869.2;55953.4;234410.5;2505.3
"Volume of freight (Thous. Tons)";"2003";347232.7;58009.6;277780.5;11442.6
"Volume of freight (Thous. Tons)";"2004";403002.2;65449.6;324911.5;12641.1
"Volume of freight (Thous. Tons)";"2005";460146.3;75961.6;376739.5;7445.2
"Volume of freight (Thous. Tons)";"2006";513575.1;84726.5;423539.0;5309.6
"Volume of freight (Thous. Tons)";"2007";596800.9;92070.9;500700.0;4030.0
"Volume of freight (Thous. Tons)";"2008";653235.3;94065.9;555853.4;3316.0
"Volume of freight (Thous. Tons)";"2009";715522.4;97804.1;615349.3;2369.0
"Volume of freight (Thous. Tons)";"2010";800886.0;105724.5;692766.4;2395.1
"Volume of freight (Thous. Tons)";"2011";885681.5;112490.9;770684.1;2506.5
"Volume of freight (Thous. Tons)";"2012";961128.4;112315.5;846218.8;2594.1
"Volume of freight (Thous. Tons)";"2013";1010413.9;109395.3;898351.9;2666.7
"Volume of freight (Thous. Tons)";"2014";1078580.9;109048.2;966732.7;2800.0
"Index (Previous year = 100) (%)";"1995";..;..;..;..
"Index (Previous year = 100) (%)";"1996";111.7;113.3;111.3;..
"Index (Previous year = 100) (%)";"1997";112.1;114.9;111.5;..
"Index (Previous year = 100) (%)";"1998";107.3;98.4;109.5;..
"Index (Previous year = 100) (%)";"1999";107.4;102.1;108.6;..
"Index (Previous year = 100) (%)";"2000";110.1;116.4;108.9;..
"Index (Previous year = 100) (%)";"2001";112.7;120.4;109.8;..
"Index (Previous year = 100) (%)";"2002";116.2;116.2;116.1;116.4
"Index (Previous year = 100) (%)";"2003";118.6;103.7;118.5;456.7
"Index (Previous year = 100) (%)";"2004";116.1;112.8;117.0;110.5
"Index (Previous year = 100) (%)";"2005";114.2;116.1;116.0;58.9
"Index (Previous year = 100) (%)";"2006";111.6;111.5;112.4;71.3
"Index (Previous year = 100) (%)";"2007";116.2;108.7;118.2;75.9
"Index (Previous year = 100) (%)";"2008";109.5;102.2;111.0;82.3
"Index (Previous year = 100) (%)";"2009";109.5;104.0;110.7;71.4
"Index (Previous year = 100) (%)";"2010";111.9;108.1;112.6;101.1
"Index (Previous year = 100) (%)";"2011";110.6;106.4;111.2;104.7
"Index (Previous year = 100) (%)";"2012";108.5;99.8;109.8;103.5
"Index (Previous year = 100) (%)";"2013";105.1;97.4;106.2;104.1
"Index (Previous year = 100) (%)";"2014";106.7;99.7;107.6;103.7
