"Volume of freight traffic by province(*) by Cities, provincies and Year"

"Cities, provincies";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
" WHOLE COUNTRY";18487.0;21125.6;23621.2;31260.0;36451.0;43172.2;49044.3;53956.9;61980.5;68807.9;73572.1;82470.0;89640.0;97587.4;102933.5
"Red River Delta";5149.0;7474.6;9046.8;10556.2;12622.6;16235.5;18567.5;21050.6;25778.7;29402.7;31668.5;35096.1;38591.2;43891.1;46241.6
"Ha Noi";1093.1;1131.4;1334.1;1656.9;2060.5;2719.5;3151.0;2542.9;4044.8;4813.0;5426.6;6111.4;6445.1;6377.8;6870.4
"Ha Tay";240.1;425.6;551.0;532.4;698.6;935.7;1158.7;1116.0;..;..;..;..;..;..;..
"Vinh Phuc";102.2;117.6;148.8;154.9;195.5;258.6;359.0;592.7;641.3;871.7;1011.3;1107.5;1489.5;1511.2;1479.7
"Bac Ninh";153.6;196.3;232.7;426.8;368.8;446.4;599.7;762.2;934.0;1047.2;1139.3;1231.2;1280.1;1361.8;1363.6
"Quang Ninh";400.8;458.3;542.8;606.2;760.7;1080.2;1442.9;1621.9;1494.3;1563.0;1642.3;1779.3;1617.2;1775.5;1969.2
"Hai Duong";303.3;358.6;474.5;545.1;687.9;806.5;1018.6;1592.3;1557.5;1800.1;1918.4;2067.4;2865.5;3258.4;3290.3
"Hai Phong";1822.6;3397.5;3822.4;4178.9;4737.4;6134.5;6361.0;7641.9;9998.2;10253.8;10665.2;11887.3;11936.5;13665.4;14494.3
"Hung Yen";119.2;133.0;155.0;162.0;184.0;211.0;249.0;387.1;424.8;464.8;489.4;527.2;631.4;678.8;718.2
"Thai Binh";130.1;232.4;414.9;790.1;1272.9;1731.6;1967.8;2219.8;2873.7;3531.8;3769.4;3845.6;4611.7;6398.4;6859.7
"Ha Nam";95.5;103.5;114.4;120.7;184.3;192.9;250.0;298.5;256.5;290.2;318.8;344.6;372.4;453.2;487.1
"Nam Dinh";539.9;580.0;747.0;854.6;1030.1;1150.3;1327.0;1464.9;1926.5;2366.2;2633.3;3104.4;3572.6;4259.1;4468.9
"Ninh Binh";148.6;340.4;509.2;527.6;441.9;568.3;682.8;810.4;1627.1;2400.9;2654.5;3090.2;3769.2;4151.5;4240.2
"Northern midlands and mountain areas";577.6;708.6;906.7;1103.3;1354.1;1576.3;1994.6;2436.5;2917.1;2869.9;2935.7;3261.0;3500.4;3779.5;4053.4
"Ha Giang";9.6;10.2;10.9;11.7;14.3;16.3;17.9;21.5;27.2;33.7;34.1;39.1;41.2;41.4;43.6
"Cao Bang";30.0;31.0;31.7;36.7;54.0;58.3;59.7;68.3;81.1;63.3;72.6;78.5;75.5;71.0;76.6
"Bac Kan";14.5;15.6;16.9;21.0;23.8;20.3;21.4;24.1;29.9;36.9;38.4;37.8;32.3;28.0;28.7
"Tuyen Quang";61.5;136.8;158.1;188.5;206.3;247.0;297.9;386.4;448.5;483.1;544.4;542.6;561.2;579.6;599.6
"Lao Cai";3.3;5.0;8.8;10.0;11.9;13.6;16.6;22.6;30.1;35.1;35.5;37.9;47.1;60.7;67.2
"Yen Bai";37.2;40.0;42.0;47.6;62.5;65.8;73.6;77.9;79.8;88.1;92.8;107.3;137.6;153.1;151.2
"Thai  Nguyen";86.7;96.2;106.5;131.6;193.3;257.2;268.0;302.0;357.2;447.7;526.9;631.1;658.1;694.2;739.0
"Lang Son";43.3;45.8;77.2;84.4;80.9;46.6;49.9;56.3;78.7;86.0;92.4;139.8;156.8;171.1;174.3
"Bac Giang";77.1;80.8;86.7;93.0;105.9;137.7;162.0;192.2;206.4;244.0;241.3;285.3;358.3;379.5;421.1
"Phu Tho";95.0;106.4;190.2;251.6;298.7;389.7;566.8;861.1;1097.1;830.1;697.3;735.1;769.1;919.9;989.8
"Dien Bien";11.0;15.2;15.8;23.1;27.0;29.0;132.0;40.9;53.2;59.2;69.2;78.8;83.6;92.2;99.3
"Lai Chau";..;..;..;5.0;6.6;16.6;19.2;21.4;24.7;21.8;20.4;26.5;28.9;28.6;32.7
"Son La";68.5;84.0;115.9;139.0;193.6;198.6;214.6;244.6;261.0;284.1;309.1;323.8;340.2;366.3;409.9
"Hoa Binh";39.9;41.6;46.0;60.1;75.3;79.6;95.0;117.2;142.2;156.8;161.3;197.4;210.5;193.9;220.4
"Northern Central area and Central coastal area";3811.5;4246.2;4805.4;5437.1;6719.3;8164.1;9019.7;9364.1;9660.6;10170.6;10863.2;12361.7;13105.6;13908.8;14619.7
"Thanh Hoa";591.0;620.0;641.0;671.0;713.0;800.0;991.0;1127.1;1286.5;1500.3;1678.9;1988.9;2184.0;2367.9;2533.9
"Nghe An";516.0;545.2;703.9;750.6;947.7;987.7;1131.9;1211.5;1267.4;1343.3;1430.7;1685.0;1726.7;1961.0;1986.2
"Ha Tinh";175.8;216.8;175.8;204.6;142.5;151.4;157.8;150.7;188.4;230.8;250.6;312.2;390.8;494.4;533.1
"Quang Binh";105.8;121.3;149.3;177.2;248.6;261.2;201.1;276.6;292.5;339.3;344.4;432.1;483.5;492.9;529.6
"Quang Tri";81.9;89.7;125.0;105.5;114.2;158.2;189.3;195.3;263.2;337.1;394.2;470.4;454.0;502.6;536.8
"Thua Thien-Hue";130.5;145.6;190.7;186.2;243.6;190.3;216.3;262.6;288.6;331.3;344.4;402.8;450.5;488.9;514.5
"Da Nang";598.8;800.1;915.4;1026.3;1494.4;2175.9;2201.0;1916.7;2078.5;2190.7;2303.8;2392.0;2437.5;2292.1;2418.6
"Quang  Nam";97.7;121.1;139.2;187.5;209.7;216.4;241.6;285.3;351.5;403.3;440.6;580.1;563.2;573.6;593.8
"Quang  Ngai";239.2;245.2;252.2;261.5;275.7;380.7;417.5;513.1;543.9;625.4;726.5;915.6;1064.7;1089.7;1105.9
"Binh Dinh";262.9;278.6;351.4;463.3;613.3;907.6;1070.2;1051.2;901.9;925.6;941.4;1021.7;1159.5;1236.1;1295.6
"Phu Yen";265.1;280.4;294.7;309.2;346.3;345.1;322.0;346.8;336.2;373.5;431.1;463.2;514.7;547.7;585.6
"Khanh  Hoa";546.9;578.1;638.5;847.4;1114.0;1295.1;1533.2;1629.7;1423.0;1119.4;1086.5;1172.0;1103.4;1215.8;1292.5
"Ninh  Thuan";88.5;103.5;126.7;132.6;133.0;156.2;193.5;213.8;241.0;238.6;252.2;277.9;310.9;330.5;352.6
"Binh Thuan";111.3;100.5;101.6;114.4;123.2;138.3;153.2;183.7;198.0;212.0;237.9;247.8;262.2;315.6;341.0
"Central Highlands";592.2;610.7;699.9;809.6;963.8;1058.7;1330.0;1509.3;2058.1;2406.3;2674.8;3087.2;3432.2;4084.7;4367.3
"Kon Tum";39.5;38.7;42.4;44.7;51.1;52.9;71.2;92.5;124.0;160.6;173.8;183.7;199.7;353.1;386.5
"Gia Lai";185.8;187.0;267.5;337.5;410.3;451.0;522.6;424.4;796.0;965.9;1064.3;1279.7;1412.8;1572.7;1684.4
"Dak Lak";190.6;208.8;209.2;209.2;245.6;273.3;334.5;539.6;639.9;707.4;760.5;852.4;966.7;1119.4;1184.3
"Dak Nong";..;..;..;27.0;33.2;36.9;40.3;43.5;50.0;57.5;59.3;61.8;64.9;68.8;71.3
"Lam Dong";176.3;176.3;180.8;191.2;223.6;244.6;361.4;409.3;448.2;514.9;616.9;709.6;788.1;970.7;1040.8
"South East";5547.1;5009.9;4645.7;9867.4;10477.8;11486.7;13248.4;14213.2;15789.0;17039.8;18160.3;21598.1;23575.8;24199.5;25698.9
"Binh Phuoc";38.4;40.4;41.8;44.1;45.1;53.8;59.7;68.3;73.5;83.1;90.0;107.3;112.7;122.8;129.8
"Tay Ninh";315.7;336.6;335.4;405.2;463.3;426.3;501.4;510.1;556.5;586.5;607.0;652.5;668.6;710.6;722.1
"Binh  Duong";124.6;159.0;167.1;191.0;236.5;316.5;526.0;688.4;799.4;932.0;1046.0;1254.7;1526.6;1664.2;1760.8
"Dong Nai";542.0;573.1;657.0;748.2;970.2;1056.0;1229.3;1504.7;1487.8;1926.0;1961.3;2049.0;2436.4;2600.9;2770.1
"Ba Ria - Vung Tau";287.1;310.2;358.3;397.9;526.9;630.0;655.0;704.7;869.4;222.5;211.6;222.8;236.7;267.3;280.5
"Ho Chi Minh city";4239.3;3590.6;3086.1;8081.0;8235.8;9004.1;10277.0;10737.0;12002.4;13289.7;14244.4;17311.8;18594.8;18833.7;20035.6
"Mekong River Delta";2809.7;3075.5;3516.5;3486.4;4313.4;4650.9;4884.1;5383.2;5777.0;6918.6;7269.6;7065.9;7434.8;7723.8;7952.6
"Long An";399.3;416.5;498.9;531.6;481.1;416.0;368.4;445.0;483.2;661.1;733.2;783.0;767.5;793.5;803.9
"Tien Giang";296.7;275.2;290.9;316.1;795.1;485.8;551.4;589.9;690.1;836.6;898.5;1038.7;1101.3;1161.2;1184.7
"Ben Tre";161.0;182.9;198.8;205.8;221.7;257.0;269.9;296.1;308.5;329.6;351.5;384.5;535.3;515.6;506.1
"Tra Vinh";77.1;127.9;83.2;213.3;226.2;367.6;277.0;211.5;293.1;315.4;331.6;385.2;425.6;366.5;375.5
"Vinh Long";169.0;175.0;181.4;190.4;203.0;137.5;152.0;157.4;183.1;241.8;262.4;279.9;356.7;379.4;399.5
"Dong Thap";178.6;180.6;186.5;188.5;214.0;242.6;258.9;336.7;308.0;324.8;320.6;333.8;400.9;470.1;497.0
"An Giang";283.8;420.7;545.9;561.9;774.3;986.8;1043.1;1254.3;1759.6;2056.2;2163.5;1665.3;1526.6;1599.8;1647.0
"Kien  Giang";286.7;313.4;334.2;347.3;394.3;443.9;509.5;509.5;476.3;658.8;719.3;809.5;896.2;999.4;1060.9
"Can Tho";724.9;703.8;865.0;426.7;534.8;762.8;784.7;1018.1;804.2;985.0;939.1;769.4;739.1;725.0;735.8
"Hau Giang";..;..;..;122.9;129.9;133.2;188.4;123.3;127.3;138.7;148.7;163.4;173.8;193.1;201.8
"Soc Trang";113.8;114.8;127.9;133.5;142.6;150.0;158.3;119.3;161.9;120.6;133.7;165.4;203.8;219.1;229.2
"Bac Lieu";45.2;81.1;106.5;117.2;86.6;157.6;194.2;210.1;89.9;144.7;165.3;186.1;203.1;192.1;198.0
"Ca Mau";73.6;83.5;97.3;131.2;109.8;110.1;128.3;112.0;91.8;105.3;102.2;101.7;104.9;109.0;113.2
