"Volume of freight traffic by the road by province(*) by Cities, provincies and Year"

"Cities, provincies";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"WHOLE COUNTRY";7894.9;9098.5;10567.2;12237.8;14817.5;17524.8;20370.3;24675.8;27576.4;30955.4;33826.5;38511.1;42077.5;45026.2;47475.2
"Red River Delta";1765.6;2219.5;2933.3;3224.3;3893.6;4717.0;5715.8;7569.0;8388.2;9529.8;10476.3;12068.8;13031.2;13737.0;14372.6
"Ha Noi";507.5;525.7;667.7;827.7;1071.4;1454.6;1953.3;2315.5;3469.8;4113.1;4656.0;5199.6;5496.0;5441.0;5850.2
"Ha Tay";187.5;360.8;463.8;436.7;551.8;719.8;809.1;838.8;..;..;..;..;..;..;..
"Vinh Phuc";32.9;42.5;61.4;70.9;96.8;112.9;192.8;276.6;318.8;403.2;495.0;569.3;824.8;893.7;857.2
"Bac Ninh";42.4;68.4;80.5;92.4;113.7;172.4;194.5;231.1;272.2;334.3;372.4;388.1;451.1;465.4;464.5
"Quang Ninh";53.0;59.9;129.9;134.8;177.7;205.4;221.2;265.3;291.8;321.0;359.6;394.2;402.6;448.1;493.4
"Hai Duong";74.6;76.8;95.3;129.0;131.4;171.4;255.6;262.0;353.7;453.4;540.7;686.9;770.2;905.6;901.1
"Hai Phong";515.7;674.8;978.4;1037.9;1194.4;1293.5;1419.5;2532.1;2756.3;2775.5;2798.1;3399.7;3406.5;3719.9;3842.7
"Hung Yen";67.7;74.7;81.7;86.5;97.0;122.2;112.5;156.5;248.8;263.2;271.7;293.8;362.0;431.6;466.1
"Thai Binh";40.5;42.9;49.6;55.2;65.8;71.6;70.1;70.3;68.0;88.3;97.4;108.4;111.1;76.6;76.4
"Ha Nam";57.5;64.4;72.1;79.3;91.2;97.9;150.0;182.8;202.9;225.2;250.4;276.0;290.9;362.0;394.9
"Nam Dinh";80.5;85.3;97.5;109.9;117.4;128.7;150.0;162.9;180.5;232.3;260.3;291.3;345.8;390.4;395.1
"Ninh Binh";105.8;143.4;155.4;164.0;185.0;166.6;187.2;275.1;225.4;320.3;374.7;461.5;570.2;602.7;631.0
"Northern midlands and mountain areas";472.5;610.5;755.3;936.6;1164.0;1336.6;1658.8;1922.6;2210.0;2289.6;2455.0;2786.8;3021.6;3215.2;3415.6
"Ha Giang";9.6;10.2;10.9;11.7;14.3;16.3;17.9;21.5;27.2;33.7;34.1;39.1;41.2;41.4;43.6
"Cao Bang";30.0;31.0;31.7;36.7;54.0;58.3;59.7;68.3;81.1;63.3;72.6;78.5;75.5;71.0;76.6
"Bac Kan";14.5;15.5;16.8;20.9;23.5;20.1;21.3;24.1;29.9;36.9;38.5;37.8;32.3;28.0;28.7
"Tuyen Quang";44.0;124.9;145.0;177.7;202.2;244.5;295.9;384.4;448.0;482.5;543.9;542.1;560.8;579.5;599.4
"Lao Cai";3.1;4.9;8.7;9.9;11.8;13.5;16.4;22.4;30.0;35.1;35.5;37.9;47.1;60.7;66.2
"Yen Bai";23.8;30.0;32.0;39.9;54.3;61.6;66.8;70.9;75.3;83.4;87.2;102.0;131.7;147.0;145.1
"Thai  Nguyen";76.0;88.5;102.5;126.6;188.5;254.4;263.4;302.0;355.9;446.5;526.1;631.1;658.1;694.2;739.0
"Lang Son";43.3;45.8;77.2;84.4;80.9;46.7;49.9;56.3;78.7;86.0;92.4;139.8;156.8;171.1;174.3
"Bac Giang";53.5;59.1;63.2;75.4;90.4;118.0;130.9;170.1;176.3;195.7;211.8;253.9;332.7;353.3;394.7
"Phu Tho";60.9;67.2;96.6;130.1;149.1;185.7;283.5;388.7;445.8;326.2;274.0;315.9;349.1;416.6;480.8
"Dien Bien";11.0;15.2;15.8;23.1;27.0;29.0;132.0;40.9;53.2;59.2;69.2;78.8;83.6;92.2;99.3
"Lai Chau";..;..;..;5.0;6.7;16.6;19.2;21.4;24.7;21.8;20.4;26.5;28.9;28.6;32.7
"Son La";67.6;83.7;114.8;137.8;187.9;194.6;211.1;241.6;258.0;282.7;307.1;321.4;338.3;364.8;408.3
"Hoa Binh";35.3;34.5;39.9;57.4;73.4;77.3;90.8;110.0;125.9;136.6;142.2;182.0;185.5;166.8;193.1
"Northern Central area and Central coastal area";2454.9;2855.9;3075.7;3525.5;4232.2;5234.1;5713.9;6210.5;6701.3;7579.8;8338.8;9754.0;10326.1;10992.8;11592.0
"Thanh Hoa";175.0;187.0;199.0;212.7;226.0;273.2;294.8;444.3;507.4;606.7;694.2;928.4;1028.1;1145.1;1245.1
"Nghe An";339.3;363.1;487.6;530.8;646.8;704.9;810.3;843.0;893.3;983.2;1088.6;1353.2;1167.3;1301.0;1331.5
"Ha Tinh";57.5;78.4;62.0;63.3;77.4;103.7;123.0;136.6;170.0;214.9;239.4;301.4;379.3;484.2;522.9
"Quang Binh";83.3;95.1;111.8;129.4;152.8;174.1;118.2;204.7;244.7;276.5;290.7;354.2;408.4;410.6;445.6
"Quang Tri";34.6;43.8;76.1;92.2;112.2;153.6;188.5;194.8;259.7;332.3;390.1;465.9;447.9;497.7;531.6
"Thua Thien-Hue";127.3;145.0;187.7;178.3;230.6;168.5;189.2;239.2;274.0;313.9;330.2;387.2;433.0;464.5;489.6
"Da Nang";472.5;717.1;638.2;729.4;849.3;1463.9;1487.0;1275.8;1436.0;1581.0;1724.9;1847.4;1998.6;1897.3;1996.0
"Quang  Nam";91.2;112.0;127.6;170.3;198.7;207.4;230.4;278.1;312.9;359.4;395.7;504.5;507.0;519.7;538.9
"Quang  Ngai";197.7;194.9;199.8;199.9;252.2;328.5;365.4;471.0;542.7;624.0;724.8;913.4;1062.0;1086.5;1102.5
"Binh Dinh";220.7;236.0;258.9;359.9;413.9;517.4;580.0;634.5;710.6;787.1;820.1;930.0;1073.3;1193.5;1252.0
"Phu Yen";204.0;209.3;221.4;237.8;259.5;264.2;269.2;302.6;336.2;373.5;431.1;463.2;514.7;547.7;585.6
"Khanh  Hoa";272.5;284.1;284.5;382.6;559.0;582.3;714.2;791.7;579.1;681.9;723.5;782.8;736.6;799.8;858.1
"Ninh  Thuan";88.5;103.5;126.7;132.6;133.0;156.2;193.5;213.8;241.0;238.6;252.2;277.9;310.9;330.5;352.6
"Binh Thuan";90.8;86.6;94.4;106.4;121.0;136.2;150.3;180.4;193.7;206.8;233.3;244.5;259.0;314.7;340.0
"Central Highlands";591.8;610.3;699.7;809.4;963.6;1058.5;1329.8;1509.3;2057.8;2405.9;2674.4;3086.9;3431.8;4084.2;4366.8
"Kon Tum";39.5;38.7;42.4;44.7;51.1;52.9;71.2;92.5;124.0;160.6;173.8;183.7;199.7;353.1;386.5
"Gia Lai";185.8;187.0;267.5;337.5;410.3;451.0;522.6;424.4;796.0;965.8;1064.3;1279.7;1412.8;1572.7;1684.4
"Dak Lak";190.3;208.5;209.1;209.1;245.5;273.2;334.3;539.6;639.6;707.1;760.2;852.1;966.3;1118.9;1183.8
"Dak Nong";..;..;..;27.0;33.2;36.9;40.3;43.5;50.0;57.5;59.3;61.8;64.9;68.8;71.3
"Lam Dong";176.2;176.2;180.7;191.1;223.5;244.5;361.4;409.3;448.2;514.9;616.8;709.6;788.1;970.7;1040.8
"South East";1923.8;2021.4;2146.5;2660.4;3408.2;3858.9;4572.6;6048.3;6745.7;7523.2;8167.1;9035.5;10381.2;10962.5;11610.1
"Binh Phuoc";38.4;40.4;41.8;44.1;45.1;53.8;59.7;68.3;73.5;83.1;90.0;107.3;112.7;122.8;129.8
"Tay Ninh";308.9;326.8;325.9;387.5;441.6;421.7;488.4;493.7;529.2;569.6;588.9;636.7;652.5;697.0;708.2
"Binh  Duong";117.2;145.8;150.3;179.2;200.7;276.9;493.6;657.2;760.4;879.7;971.2;1178.1;1450.2;1595.5;1691.2
"Dong Nai";502.7;532.5;594.8;594.8;848.1;949.5;1018.9;1394.8;1441.1;1879.7;1919.2;1998.6;2385.1;2549.3;2717.5
"Ba Ria - Vung Tau";149.3;153.0;161.8;164.2;205.3;246.4;293.0;315.2;331.3;155.7;163.8;175.3;189.2;215.0;227.0
"Ho Chi Minh city";807.3;822.9;871.9;1290.6;1667.4;1910.6;2219.0;3119.1;3610.2;3955.4;4434.0;4939.5;5591.5;5782.9;6136.4
"Mekong River Delta";686.3;780.9;956.8;1081.6;1155.9;1319.7;1379.4;1416.1;1473.4;1627.1;1714.9;1779.1;1885.6;2034.5;2118.1
"Long An";67.5;70.8;120.9;127.3;102.4;109.7;87.4;43.2;51.9;54.1;56.4;71.0;79.0;97.4;101.6
"Tien Giang";138.7;133.7;123.4;108.0;128.0;144.7;179.7;155.4;185.8;217.3;225.5;277.9;304.1;324.1;335.2
"Ben Tre";56.0;60.3;68.4;98.8;127.0;116.4;113.3;146.5;152.4;155.2;163.2;189.7;193.5;203.5;206.5
"Tra Vinh";18.0;20.5;26.7;39.1;48.4;58.0;61.2;46.9;54.0;61.5;63.8;78.3;83.8;98.0;104.2
"Vinh Long";18.9;20.7;25.0;31.7;28.5;30.7;30.5;35.7;41.8;49.3;56.2;61.9;61.6;78.2;83.2
"Dong Thap";26.8;26.9;27.8;30.3;33.1;62.8;69.9;81.8;105.0;94.5;88.9;100.6;101.2;123.1;133.0
"An Giang";41.7;40.9;64.3;86.1;89.9;118.0;136.7;191.5;135.9;173.9;159.9;167.3;203.3;222.2;232.2
"Kien  Giang";96.3;97.9;110.9;120.6;124.7;100.1;118.0;118.0;136.3;174.1;190.3;203.9;226.7;254.6;272.2
"Can Tho";150.9;218.8;267.3;306.0;386.0;415.7;428.8;431.1;442.8;454.0;496.0;386.1;364.8;373.2;376.9
"Hau Giang";..;..;..;8.1;8.6;8.9;9.1;9.7;10.3;11.3;12.4;13.4;14.7;16.0;17.2
"Soc Trang";17.1;17.5;23.0;23.5;24.1;25.9;26.9;27.1;33.9;42.3;47.6;49.8;56.4;65.8;69.7
"Bac Lieu";25.0;33.1;48.3;51.2;0.0;70.8;78.7;88.8;83.5;110.3;127.0;148.9;166.0;145.5;151.0
"Ca Mau";29.4;39.8;50.7;50.9;55.2;58.0;39.2;40.4;39.8;29.3;27.7;30.3;30.5;32.9;35.2
