"Volume of freight traffic by the waterway by province (*) by Cities, provincies and Year"

"Cities, provincies";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"WHOLE COUNTRY";10592.1;12027.1;13054.1;19022.2;21633.5;25647.4;28674.1;29281.1;34404.0;37852.4;39745.5;43958.9;47562.5;52561.2;55391.8
"Red River Delta";3383.4;5255.2;6113.6;7331.9;8728.9;11518.6;12851.7;13481.5;17390.4;19872.8;21192.2;23027.2;25560.0;30154.1;31869.0
"Ha Noi";585.6;605.8;666.4;829.2;989.1;1264.9;1197.7;949.6;575.0;699.9;770.6;911.8;949.2;936.8;1020.2
"Ha Tay";52.6;64.8;87.2;95.7;146.8;215.9;349.6;277.2;..;..;..;..;..;..;..
"Vinh Phuc";69.3;75.1;87.4;84.0;98.7;145.8;166.2;316.1;322.5;468.5;516.2;538.2;664.6;617.5;622.5
"Bac Ninh";111.2;127.9;152.2;471.5;583.0;274.0;405.2;531.1;1202.5;712.9;766.9;843.1;829.1;896.4;899.1
"Quang Ninh";347.8;398.5;413.0;334.4;255.1;874.8;1221.7;1356.6;661.7;1242.0;1282.8;1385.1;1214.5;1327.4;1475.8
"Hai Duong";228.7;281.8;379.2;416.1;556.5;635.2;763.0;1330.3;1203.8;1346.7;1377.7;1380.5;2095.4;2352.8;2389.2
"Hai Phong";1306.9;2722.7;2844.0;3141.0;3543.0;4841.0;4941.4;5009.6;7242.0;7478.2;7867.1;8487.5;8530.0;9945.5;10651.6
"Hung Yen";51.5;58.3;73.3;75.5;87.0;88.8;136.5;230.6;176.0;201.6;217.7;233.4;269.3;247.2;252.1
"Thai Binh";89.6;189.5;365.3;735.0;1207.1;1660.0;1897.7;1749.6;2805.6;3443.5;3672.1;3737.2;4500.6;6321.8;6783.3
"Ha Nam";38.0;39.1;42.3;41.4;93.0;95.0;100.0;115.7;53.6;65.0;68.4;68.7;81.5;91.2;92.2
"Nam Dinh";459.4;494.7;649.5;744.5;912.7;1021.6;1177.0;1079.8;1746.0;2133.9;2372.9;2813.1;3226.8;3868.7;4073.8
"Ninh Binh";42.8;197.0;353.8;363.6;256.9;401.6;495.7;535.3;1401.7;2080.6;2279.8;2628.6;3199.0;3548.8;3609.2
"Northern midlands and mountain areas";105.1;98.1;151.7;166.8;190.3;239.6;335.8;511.8;707.1;580.3;480.7;474.2;478.8;564.3;571.6
"Bac Kan";..;0.1;0.1;0.1;0.3;0.2;0.1;..;..;..;..;..;..;..;..
"Tuyen Quang";17.5;11.9;13.1;10.8;4.2;2.5;2.1;..;0.5;0.6;0.5;0.5;0.5;0.1;0.2
"Lao Cai";0.2;0.1;0.1;0.1;0.1;0.1;0.2;0.2;0.1;..;..;..;..;..;1.0
"Yen Bai";13.5;10.0;10.0;7.7;8.2;4.2;6.8;6.9;4.5;4.7;5.6;5.4;5.9;6.1;6.1
"Thai  Nguyen";10.7;7.7;4.0;5.0;4.8;2.8;4.6;..;1.3;48.3;29.5;..;..;..;..
"Bac Giang";23.6;21.7;23.5;17.6;15.5;19.6;31.1;22.1;30.1;1.2;0.8;31.5;25.5;26.2;26.4
"Phu Tho";34.1;39.2;93.6;121.6;149.6;204.0;283.2;472.4;651.3;503.9;423.2;419.1;420.0;503.3;509.0
"Son La";0.9;0.3;1.1;1.2;5.7;3.9;3.5;3.0;3.0;1.4;2.0;2.4;1.9;1.5;1.6
