"Volume of freight traffic by transport sector by Items, Year and Transport sector"

"Items";"Year";"Total";"Domestic";"Overseas"
"Volume of freight traffic (Million.tons.km)";"1995";30910.5;17965.0;12945.5
"Volume of freight traffic (Million.tons.km)";"1996";38710.0;19479.7;19230.3
"Volume of freight traffic (Million.tons.km)";"1997";45306.7;21207.8;24098.9
"Volume of freight traffic (Million.tons.km)";"1998";46336.7;26706.7;19630.0
"Volume of freight traffic (Million.tons.km)";"1999";50054.6;30983.1;19071.5
"Volume of freight traffic (Million.tons.km)";"2000";55629.7;32484.5;23145.2
"Volume of freight traffic (Million.tons.km)";"2001";63164.4;34148.7;29015.7
"Volume of freight traffic (Million.tons.km)";"2002";69417.9;37736.6;31681.3
"Volume of freight traffic (Million.tons.km)";"2003";80029.5;39871.9;40157.6
"Volume of freight traffic (Million.tons.km)";"2004";90504.8;43487.0;47017.8
"Volume of freight traffic (Million.tons.km)";"2005";100728.3;39605.2;61123.1
"Volume of freight traffic (Million.tons.km)";"2006";113550.0;35638.2;77911.8
"Volume of freight traffic (Million.tons.km)";"2007";134883.0;43162.5;91720.5
"Volume of freight traffic (Million.tons.km)";"2008";172859.1;59982.1;112877.0
"Volume of freight traffic (Million.tons.km)";"2009";199070.2;65693.2;133377.0
"Volume of freight traffic (Million.tons.km)";"2010";217767.1;74644.1;143123.0
"Volume of freight traffic (Million.tons.km)";"2011";216129.5;80878.3;135251.2
"Volume of freight traffic (Million.tons.km)";"2012";215735.8;87609.4;128126.4
"Volume of freight traffic (Million.tons.km)";"2013";218228.1;93404.8;124823.3
"Volume of freight traffic (Million.tons.km)";"2014";223151.1;95955.0;127196.1
"Volume of freight traffic (Million.tons.km)";"Pre. 2015";229872.9;101909.8;127963.1
"Index (Previous year = 100) (%)";"1995";..;..;..
"Index (Previous year = 100) (%)";"1996";125.2;108.4;148.5
"Index (Previous year = 100) (%)";"1997";117.0;108.9;125.3
"Index (Previous year = 100) (%)";"1998";102.3;125.9;81.5
"Index (Previous year = 100) (%)";"1999";108.0;116.0;97.2
"Index (Previous year = 100) (%)";"2000";111.1;104.8;121.4
"Index (Previous year = 100) (%)";"2001";113.5;105.1;125.4
"Index (Previous year = 100) (%)";"2002";109.9;110.5;109.2
"Index (Previous year = 100) (%)";"2003";115.3;105.7;126.8
"Index (Previous year = 100) (%)";"2004";113.1;109.1;117.1
"Index (Previous year = 100) (%)";"2005";111.3;91.1;130.0
"Index (Previous year = 100) (%)";"2006";112.7;90.0;127.5
"Index (Previous year = 100) (%)";"2007";118.8;121.1;117.7
"Index (Previous year = 100) (%)";"2008";128.2;139.0;123.1
"Index (Previous year = 100) (%)";"2009";115.2;109.5;118.2
"Index (Previous year = 100) (%)";"2010";109.4;113.6;107.3
"Index (Previous year = 100) (%)";"2011";99.2;108.4;94.5
"Index (Previous year = 100) (%)";"2012";99.8;108.3;94.7
"Index (Previous year = 100) (%)";"2013";101.2;106.6;97.4
"Index (Previous year = 100) (%)";"2014";102.3;102.7;101.9
"Index (Previous year = 100) (%)";"Pre. 2015";103.0;106.2;100.6
