"Volume of freight traffic by type of transport by Items, Year and Type of transport"

"Items";"Year";"Total";"Rail";"Road";"Inland waterways";"Maritime transport";"Aviation transport"
"Volume of freight traffic (Mill. tons.km)";"1995";30910.5;1750.6;5064.2;8671.3;15335.2;89.2
"Volume of freight traffic (Mill. tons.km)";"1996";38710.0;1683.6;5710.8;9036.3;22172.2;107.1
"Volume of freight traffic (Mill. tons.km)";"1997";45306.7;1533.3;6203.0;10391.1;27059.1;120.2
"Volume of freight traffic (Mill. tons.km)";"1998";46336.7;1369.0;6651.9;12962.0;25237.2;116.6
"Volume of freight traffic (Mill. tons.km)";"1999";50054.6;1445.5;7057.5;13826.5;27619.6;105.5
"Volume of freight traffic (Mill. tons.km)";"2000";55629.7;1955.0;7969.9;14346.1;31244.6;114.1
"Volume of freight traffic (Mill. tons.km)";"2001";63164.4;2054.4;9184.9;16937.1;34829.8;158.2
"Volume of freight traffic (Mill. tons.km)";"2002";69417.9;2391.5;10667.6;15936.9;40250.1;171.8
"Volume of freight traffic (Mill. tons.km)";"2003";80029.5;2725.4;12338.0;15492.3;49263.2;210.6
"Volume of freight traffic (Mill. tons.km)";"2004";90504.8;2745.3;14938.8;16415.1;56169.8;235.8
"Volume of freight traffic (Mill. tons.km)";"2005";100728.3;2949.3;17668.3;17999.0;61872.4;239.3
"Volume of freight traffic (Mill. tons.km)";"2006";113550.0;3446.6;20537.1;18843.7;70453.2;269.4
"Volume of freight traffic (Mill. tons.km)";"2007";134883.0;3882.5;24646.9;22235.6;83838.1;279.9
"Volume of freight traffic (Mill. tons.km)";"2008";172859.1;4170.9;27968.0;24867.8;115556.8;295.6
"Volume of freight traffic (Mill. tons.km)";"2009";199070.2;3864.5;31587.2;31249.8;132052.1;316.6
"Volume of freight traffic (Mill. tons.km)";"2010";217767.1;3960.9;36179.0;31679.0;145521.4;426.8
"Volume of freight traffic (Mill. tons.km)";"2011";216129.5;4162.0;40130.1;34371.7;137039.0;426.7
"Volume of freight traffic (Mill. tons.km)";"2012";215735.8;4023.4;43468.5;36622.5;131146.3;475.1
"Volume of freight traffic (Mill. tons.km)";"2013";218228.1;3804.1;45668.4;38454.3;129831.5;469.8
"Volume of freight traffic (Mill. tons.km)";"2014";223151.1;4311.5;48189.8;40099.9;130015.5;534.4
"Volume of freight traffic (Mill. tons.km)";"Prel. 2015";229872.9;4035.6;51418.5;41904.4;131958.3;556.1
"Index (Previous year = 100) (%)";"1995";105.2;127.8;126.4;108.5;109.5;249.9
"Index (Previous year = 100) (%)";"1996";125.2;96.2;112.8;104.2;144.6;120.1
"Index (Previous year = 100) (%)";"1997";117.0;91.1;108.6;115.0;122.0;112.2
"Index (Previous year = 100) (%)";"1998";102.3;89.3;107.2;124.7;93.3;97.0
"Index (Previous year = 100) (%)";"1999";108.0;105.6;106.1;106.7;109.4;90.5
"Index (Previous year = 100) (%)";"2000";111.1;135.2;112.9;103.8;113.1;108.2
"Index (Previous year = 100) (%)";"2001";113.5;105.1;115.2;118.1;111.5;138.7
"Index (Previous year = 100) (%)";"2002";109.9;116.4;116.1;94.1;115.6;108.6
"Index (Previous year = 100) (%)";"2003";115.3;114.0;115.7;97.2;122.4;122.6
"Index (Previous year = 100) (%)";"2004";113.1;100.7;121.1;106.0;114.0;112.0
"Index (Previous year = 100) (%)";"2005";111.3;107.4;118.3;109.6;110.2;101.5
"Index (Previous year = 100) (%)";"2006";112.7;116.9;116.2;104.7;113.9;112.6
"Index (Previous year = 100) (%)";"2007";118.8;112.6;120.0;118.0;119.0;103.9
"Index (Previous year = 100) (%)";"2008";128.2;107.4;113.5;111.8;137.8;105.6
"Index (Previous year = 100) (%)";"2009";115.2;92.7;112.9;125.7;114.3;107.1
"Index (Previous year = 100) (%)";"2010";109.4;102.5;114.5;101.4;110.2;134.8
"Index (Previous year = 100) (%)";"2011";99.2;105.1;110.9;108.5;94.2;100.0
"Index (Previous year = 100) (%)";"2012";99.8;96.7;108.3;106.5;95.7;111.3
"Index (Previous year = 100) (%)";"2013";101.2;94.6;105.1;105.0;99.0;98.9
"Index (Previous year = 100) (%)";"2014";102.3;113.3;105.5;104.3;100.1;113.8
"Index (Previous year = 100) (%)";"Prel. 2015";103.0;93.6;106.7;104.5;101.5;104.1
