"Volume of freight traffic by types of ownership by Items, Year and Types of ownership"

"Items";"Year";"Total";"State";"Non-state";"FDI"
"Volume of freight traffic (Mill. tons. Km)";"1995";30910.5;21344.5;9566.0;..
"Volume of freight traffic (Mill. tons. Km)";"1996";38710.0;28375.3;10334.7;..
"Volume of freight traffic (Mill. tons. Km)";"1997";45306.7;33930.7;11376.0;..
"Volume of freight traffic (Mill. tons. Km)";"1998";46336.7;33229.1;13107.6;..
"Volume of freight traffic (Mill. tons. Km)";"1999";50054.6;36161.9;13892.7;..
"Volume of freight traffic (Mill. tons. Km)";"2000";55629.7;40932.9;14696.8;..
"Volume of freight traffic (Mill. tons. Km)";"2001";63164.5;46697.3;14762.9;1704.3
"Volume of freight traffic (Mill. tons. Km)";"2002";69417.9;51776.1;15831.2;1810.6
"Volume of freight traffic (Mill. tons. Km)";"2003";80029.5;54072.3;17547.4;8409.8
"Volume of freight traffic (Mill. tons. Km)";"2004";90504.8;60364.0;20009.5;10131.3
"Volume of freight traffic (Mill. tons. Km)";"2005";100728.3;64066.4;30570.2;6091.7
"Volume of freight traffic (Mill. tons. Km)";"2006";113550.0;70759.5;38493.4;4297.1
"Volume of freight traffic (Mill. tons. Km)";"2007";134883.0;88126.0;42057.0;4700.0
"Volume of freight traffic (Mill. tons. Km)";"2008";172859.1;120213.0;48449.0;4197.1
"Volume of freight traffic (Mill. tons. Km)";"2009";199070.2;142160.2;54147.1;2762.9
"Volume of freight traffic (Mill. tons. Km)";"2010";217767.1;157359.1;57667.7;2740.3
"Volume of freight traffic (Mill. tons. Km)";"2011";216129.5;155613.2;57879.5;2636.8
"Volume of freight traffic (Mill. tons. Km)";"2012";215735.8;151256.0;61948.5;2531.3
"Volume of freight traffic (Mill. tons. Km)";"2013";218228.1;149138.5;66629.2;2460.4
"Volume of freight traffic (Mill. tons. Km)";"2014";223151.1;150189.1;70484.2;2477.8
"Index (Previous year = 100) (%)";"1995";..;..;..;..
"Index (Previous year = 100) (%)";"1996";125.2;132.9;108.0;..
"Index (Previous year = 100) (%)";"1997";117.0;119.6;110.1;..
"Index (Previous year = 100) (%)";"1998";102.3;97.9;115.2;..
"Index (Previous year = 100) (%)";"1999";108.0;108.8;106.0;..
"Index (Previous year = 100) (%)";"2000";111.1;113.2;105.8;..
"Index (Previous year = 100) (%)";"2001";113.5;114.1;100.4;..
"Index (Previous year = 100) (%)";"2002";109.9;110.9;107.2;106.2
"Index (Previous year = 100) (%)";"2003";115.3;104.4;110.8;464.5
"Index (Previous year = 100) (%)";"2004";113.1;111.6;114.0;120.5
"Index (Previous year = 100) (%)";"2005";111.3;106.1;152.8;60.1
"Index (Previous year = 100) (%)";"2006";112.7;110.4;125.9;70.5
"Index (Previous year = 100) (%)";"2007";118.8;124.5;109.3;109.4
"Index (Previous year = 100) (%)";"2008";128.2;136.4;115.2;89.3
"Index (Previous year = 100) (%)";"2009";115.2;118.3;111.8;65.8
"Index (Previous year = 100) (%)";"2010";109.4;110.7;106.5;99.2
"Index (Previous year = 100) (%)";"2011";99.2;98.9;100.4;96.2
"Index (Previous year = 100) (%)";"2012";99.8;97.2;107.0;96.0
"Index (Previous year = 100) (%)";"2013";101.2;98.6;107.6;97.2
"Index (Previous year = 100) (%)";"2014";102.3;100.7;105.8;100.7
